width_mhz,sequence_count,time_ns,site,density
0.0,50,0.0,1,2.2866365501977254e-31
0.0,50,0.0,2,5.892306219677387e-31
0.0,50,0.0,3,5.171855561180426e-31
0.0,50,0.0,4,4.167437618463233e-31
0.0,50,0.0,5,2.7712962215601864e-31
0.0,50,0.0,6,1.0000000000000002
0.0,50,0.0,7,1.0000000000000002
0.0,50,0.0,8,2.9808144605573228e-31
0.0,50,0.0,9,3.6306985222147083e-31
0.0,50,0.0,10,6.120182877904383e-31
0.0,50,0.0,11,2.8041785086409996e-31
0.0,50,0.0,12,5.829959964421001e-31
0.0,50,0.5,1,5.14910693559983e-19
0.0,50,0.5,2,8.907067552969876e-15
0.0,50,0.5,3,9.7002298134328e-11
0.0,50,0.5,4,5.845652236992047e-07
0.0,50,0.5,5,0.001540335355178252
0.0,50,0.5,6,0.9985164980681085
0.0,50,0.5,7,0.9983769850165823
0.0,50,0.5,8,0.0015649835444563596
0.0,50,0.5,9,6.132466440987833e-07
0.0,50,0.5,10,1.0678725841338033e-10
0.0,50,0.5,11,1.0293780600903652e-14
0.0,50,0.5,12,6.249535291445043e-19
0.0,50,1.0,1,5.266500856992598e-16
0.0,50,1.0,2,2.276467529084859e-12
0.0,50,1.0,3,6.195580751112307e-09
0.0,50,1.0,4,9.328536414626166e-06
0.0,50,1.0,5,0.006139120123852338
0.0,50,1.0,6,0.9946761252786517
0.0,50,1.0,7,0.9929318042792681
0.0,50,1.0,8,0.006233825076586802
0.0,50,1.0,9,9.783685220568635e-06
0.0,50,1.0,10,6.8195159275840436e-09
0.0,50,1.0,11,2.6306122340305952e-12
0.0,50,1.0,12,6.391587788769786e-16
0.0,50,1.5,1,3.0308895548767715e-14
0.0,50,1.5,2,5.818045314918181e-11
0.0,50,1.5,3,7.032608476265264e-08
0.0,50,1.5,4,4.700985729009024e-05
0.0,50,1.5,5,0.01372480359495454
0.0,50,1.5,6,0.9896982923281361
0.0,50,1.5,7,0.9825698320680943
0.0,50,1.5,8,0.01391065086587163
0.0,50,1.5,9,4.9263459537379435e-05
0.0,50,1.5,10,7.737457129552607e-08
0.0,50,1.5,11,6.721317748803282e-11
0.0,50,1.5,12,3.677752420796644e-14
0.0,50,2.0,1,5.366829461797805e-13
0.0,50,2.0,2,5.788126602470924e-10
0.0,50,2.0,3,3.9313742085544065e-07
0.0,50,2.0,4,0.0001475694914643139
0.0,50,2.0,5,0.024165687965288195
0.0,50,2.0,6,0.9840615577313939
0.0,50,2.0,7,0.9670631085019413
0.0,50,2.0,8,0.024406855646169633
0.0,50,2.0,9,0.000154394117807222
0.0,50,2.0,10,4.321602006149466e-07
0.0,50,2.0,11,6.683154445494012e-10
0.0,50,2.0,12,6.510038036359339e-13
0.0,50,2.5,1,4.97943181902552e-12
0.0,50,2.5,2,3.4316075803127056e-09
0.0,50,2.5,3,1.4895281823261545e-06
0.0,50,2.5,4,0.0003569710895046527
0.0,50,2.5,5,0.03726357415551428
0.0,50,2.5,6,0.9765124640169893
0.0,50,2.5,7,0.9480229137449521
0.0,50,2.5,8,0.03746833658491671
0.0,50,2.5,9,0.0003726083276305595
0.0,50,2.5,10,1.6351508554561643e-06
0.0,50,2.5,11,3.958832872836306e-09
0.0,50,2.5,12,6.03678598245104e-12
0.0,50,3.0,1,3.068549242377112e-11
0.0,50,3.0,2,1.4656256104247777e-08
0.0,50,3.0,3,4.4094546405779895e-06
0.0,50,3.0,4,0.0007315572062081993
