time,overlap,probability_mean,probability_sem
1.0,0,0.01179956259204185,0.000996483951849541
1.0,1,0.048204979144269265,0.004007376588601804
1.0,2,0.24454681138814105,0.025773102020250075
1.79,0,0.029464112246437052,0.0010351081287038456
1.79,1,0.04003996110100044,0.001515112839697618
1.79,2,0.07755878309143899,0.009936569386318725
29.29,0,0.023415875016590502,0.0020506959642916933
29.29,1,0.0449876659543022,0.003405221073140414
29.29,2,0.10890988329951592,0.022024944859053167
100.0,0,0.026967012040804685,0.0024570284331282056
100.0,1,0.04408381135903333,0.0037104511717069924
100.0,2,0.06648908307952979,0.01643712030981841
1000.0,0,0.02907662066655935,0.002722350471041268
1000.0,1,0.033152366632472,0.0022722239906086835
1000.0,2,0.16602229041194577,0.03779488036701735
