time,sample_index,output_pair,probability,overlap
1.0,0,1-2,2.3724329483453637e-09,0
1.0,0,1-3,9.971708479509082e-06,1
1.0,0,1-4,0.00065853952300223,1
1.0,0,1-5,1.2812848704813515e-08,0
1.0,0,1-6,9.754278415109551e-08,0
1.0,0,1-7,1.263098101546531e-06,0
1.0,0,1-8,2.2218448087935728e-07,0
1.0,0,2-3,3.0405191039635435e-06,1
1.0,0,2-4,5.221125216864599e-06,1
1.0,0,2-5,4.718267820063275e-10,0
1.0,0,2-6,9.3373291107605e-10,0
1.0,0,2-7,5.017819305233095e-09,0
1.0,0,2-8,3.927502516048905e-09,0
1.0,0,3-4,0.9952939411969758,2
1.0,0,3-5,3.3376545976574715e-05,1
1.0,0,3-6,0.00014453134863036954,1
1.0,0,3-7,0.002129127509046312,1
1.0,0,3-8,0.00028936539322470045,1
1.0,0,4-5,0.0002935714928019361,1
1.0,0,4-6,5.533418281360644e-06,1
1.0,0,4-7,0.0008808040746697383,1
1.0,0,4-8,0.000250177757967362,1
1.0,0,5-6,3.942990366359693e-08,0
1.0,0,5-7,9.225849407142963e-07,0
1.0,0,5-8,4.0590280309673894e-08,0
1.0,0,6-7,8.865640980533509e-08,0
1.0,0,6-8,4.696393681307573e-08,0
1.0,0,7-8,5.179962234090382e-08,0
1.0,1,1-2,4.427114919103331e-08,0
1.0,1,1-3,1.3358363209444769e-05,1
1.0,1,1-4,0.0004812810334451605,1
1.0,1,1-5,3.028408407043117e-08,0
1.0,1,1-6,7.329532564978182e-07,0
1.0,1,1-7,5.180587849857545e-09,0
1.0,1,1-8,4.442060571681591e-08,0
1.0,1,2-3,0.00010758210851897301,1
1.0,1,2-4,4.548394600017459e-05,1
1.0,1,2-5,4.281839236882925e-08,0
1.0,1,2-6,8.437938008018532e-08,0
1.0,1,2-7,1.3979232588455026e-08,0
1.0,1,2-8,6.360988873188475e-09,0
1.0,1,3-4,0.997042936167522,2
1.0,1,3-5,2.4682035909803948e-05,1
1.0,1,3-6,0.0015417796937849595,1
1.0,1,3-7,1.588348201123531e-05,1
1.0,1,3-8,9.503487789112122e-05,1
1.0,1,4-5,0.000536775469970953,1
1.0,1,4-6,1.1326369925575211e-05,1
1.0,1,4-7,7.987561119442975e-05,1
1.0,1,4-8,1.9930239929163334e-06,1
1.0,1,5-6,8.081750846481929e-07,0
1.0,1,5-7,2.234647741486858e-09,0
1.0,1,5-8,4.808218692426809e-08,0
1.0,1,6-7,1.2995398104331614e-07,0
1.0,1,6-8,6.180563139336932e-09,0
1.0,1,7-8,8.542482239425926e-09,0
1.0,2,1-2,1.4362990111608287e-06,0
1.0,2,1-3,2.066760925110515e-05,1
1.0,2,1-4,0.0007266817963080311,1
1.0,2,1-5,4.6070270405966707e-07,0
1.0,2,1-6,1.787152152504946e-08,0
1.0,2,1-7,4.441834639609206e-08,0
1.0,2,1-8,4.7373922024079604e-07,0
1.0,2,2-3,0.002195699043013489,1
1.0,2,2-4,0.0002285008988612659,1
1.0,2,2-5,1.8219850034345974e-06,0
1.0,2,2-6,3.0313546690181646e-07,0
1.0,2,2-7,5.034387643543384e-07,0
1.0,2,2-8,8.905216454815923e-09,0
1.0,2,3-4,0.9945596207638157,2
1.0,2,3-5,0.0008044640763554292,1
1.0,2,3-6,4.325422176385412e-05,1
1.0,2,3-7,2.7981950077112396e-05,1
1.0,2,3-8,0.000597107390726825,1
1.0,2,4-5,0.00038225335197028114,1
1.0,2,4-6,9.214353033779923e-05,1
1.0,2,4-7,0.00027802887511363237,1
1.0,2,4-8,3.789150221365738e-05,1
1.0,2,5-6,1.613522245966095e-07,0
1.0,2,5-7,1.441405946118984e-07,0
1.0,2,5-8,9.457987940031372e-08,0
1.0,2,6-7,4.689129564076458e-09,0
1.0,2,6-8,3.8092932299702075e-08,0
1.0,2,7-8,1.916401769418894e-07,0
1.0,3,1-2,3.147433769115292e-09,0
1.0,3,1-3,0.001599452397523881,1
1.0,3,1-4,7.616718077141875e-05,1
1.0,3,1-5,1.3521489512232836e-06,0
1.0,3,1-6,1.5455014260110143e-06,0
1.0,3,1-7,6.99935214996353e-08,0
1.0,3,1-8,2.2875720301701565e-06,0
