ensemble,frequency,normalized_power
integrable_Poisson,0.0014265306122449152,0.002227794270333783
integrable_Poisson,0.0028530612244898304,0.04263529550540852
integrable_Poisson,0.004279591836734746,0.2700282951768149
integrable_Poisson,0.005706122448979661,0.04513620938431016
integrable_Poisson,0.007132653061224576,0.16658499465120552
integrable_Poisson,0.008559183673469492,0.007395259960671073
integrable_Poisson,0.009985714285714407,0.02439878310024894
integrable_Poisson,0.011412244897959322,0.006647715621039718
integrable_Poisson,0.012838775510204237,0.027943466033249716
integrable_Poisson,0.014265306122449152,0.14547815102345776
integrable_Poisson,0.015691836734694067,0.0046304912880424706
integrable_Poisson,0.017118367346938983,0.007991648613494287
integrable_Poisson,0.018544897959183897,0.0008734337315474028
integrable_Poisson,0.019971428571428813,0.0020359403766068234
integrable_Poisson,0.021397959183673727,0.006052056707268044
integrable_Poisson,0.022824489795918643,0.00021403690415820793
integrable_Poisson,0.02425102040816356,0.0035550880799525572
integrable_Poisson,0.025677551020408473,0.0007173422267292439
integrable_Poisson,0.02710408163265339,0.18128824563516924
integrable_Poisson,0.028530612244898303,0.008836342501627703
integrable_Poisson,0.02995714285714322,7.249258499694957e-05
integrable_Poisson,0.03138367346938813,0.00044953716998474586
integrable_Poisson,0.03281020408163305,0.02046035358557364
integrable_Poisson,0.03423673469387797,9.656577543774743e-05
integrable_Poisson,0.035663265306122884,0.0030564496822833636
integrable_Poisson,0.03708979591836779,0.0011931666754526845
integrable_Poisson,0.03851632653061271,0.000490091575966061
integrable_Poisson,0.03994285714285763,0.0008024490270807155
integrable_Poisson,0.041369387755102544,0.0009721355421771187
integrable_Poisson,0.04279591836734745,0.0010416543325255181
integrable_Poisson,0.04422244897959237,0.0003562383163383838
integrable_Poisson,0.04564897959183729,0.0016184715578962618
integrable_Poisson,0.047075510204082203,2.683328735020879e-05
integrable_Poisson,0.04850204081632712,0.0011984234157393504
integrable_Poisson,0.04992857142857203,0.000436326771339791
integrable_Poisson,0.05135510204081695,0.0004560807617816559
integrable_Poisson,0.05278163265306186,0.0006575600036427433
integrable_Poisson,0.05420816326530678,0.0019240526797991218
integrable_Poisson,0.05563469387755169,0.0009947042009351488
integrable_Poisson,0.05706122448979661,7.370812349641979e-05
integrable_Poisson,0.05848775510204152,0.0002688028850769585
integrable_Poisson,0.05991428571428644,0.0003280217199788671
integrable_Poisson,0.06134081632653136,4.930069314771864e-05
integrable_Poisson,0.06276734693877627,0.0004495758614304345
integrable_Poisson,0.06419387755102118,0.00010765787609388344
integrable_Poisson,0.0656204081632661,0.0001223033190786454
integrable_Poisson,0.06704693877551102,0.00311198535740347
integrable_Poisson,0.06847346938775593,0.00034224698944867175
integrable_Poisson,0.06990000000000085,0.00012614890186166475
integrable_Poisson,0.07132653061224577,0.0006658047575396276
integrable_Poisson,0.07275306122449067,1.650483626801284e-05
integrable_Poisson,0.07417959183673559,6.67234579002523e-05
integrable_Poisson,0.0756061224489805,9.583611373437312e-05
integrable_Poisson,0.07703265306122542,4.9451150327787746e-06
integrable_Poisson,0.07845918367347034,2.4843000016447826e-06
integrable_Poisson,0.07988571428571525,6.928612034251505e-05
integrable_Poisson,0.08131224489796017,2.6012528885302016e-05
integrable_Poisson,0.08273877551020509,0.00012529965910359244
integrable_Poisson,0.08416530612245,4.335412488213411e-05
integrable_Poisson,0.0855918367346949,0.00017218995724051724
integrable_Poisson,0.08701836734693982,3.862456983342391e-05
integrable_Poisson,0.08844489795918474,1.0436172876367822e-06
integrable_Poisson,0.08987142857142966,1.7936597362263925e-05
integrable_Poisson,0.09129795918367457,3.96304778691326e-06
integrable_Poisson,0.09272448979591949,0.00010145605029083217
integrable_Poisson,0.09415102040816441,3.111920724340501e-05
integrable_Poisson,0.09557755102040932,2.298738162497473e-05
integrable_Poisson,0.09700408163265424,3.062508240733422e-05
integrable_Poisson,0.09843061224489914,8.991517572998363e-06
integrable_Poisson,0.09985714285714406,5.045192839132368e-05
integrable_Poisson,0.10128367346938898,1.027649057875501e-05
integrable_Poisson,0.1027102040816339,6.339876119871973e-05
integrable_Poisson,0.10413673469387881,0.00026709738589175507
integrable_Poisson,0.10556326530612373,9.125825502038977e-05
integrable_Poisson,0.10698979591836864,8.854511647402126e-06
integrable_Poisson,0.10841632653061356,0.0001693654227396418
integrable_Poisson,0.10984285714285848,2.0693197223652384e-05
integrable_Poisson,0.11126938775510338,1.2917110142683238e-05
integrable_Poisson,0.1126959183673483,1.5386207957450808e-05
integrable_Poisson,0.11412244897959321,1.8996969256728395e-05
integrable_Poisson,0.11554897959183813,1.7496327345845898e-05
integrable_Poisson,0.11697551020408305,0.0002235471457133876
integrable_Poisson,0.11840204081632796,1.105433568212388e-05
integrable_Poisson,0.11982857142857288,1.4190309929385191e-07
integrable_Poisson,0.1212551020408178,5.132063412475918e-05
integrable_Poisson,0.12268163265306271,7.3464458008838185e-06
integrable_Poisson,0.12410816326530762,2.0501258731138028e-05
integrable_Poisson,0.12553469387755253,1.9402947671259437e-05
integrable_Poisson,0.12696122448979746,7.145383038254119e-06
integrable_Poisson,0.12838775510204237,3.5882202522482853e-05
integrable_Poisson,0.1298142857142873,5.081044970219397e-06
integrable_Poisson,0.1312408163265322,6.122754041834615e-06
integrable_Poisson,0.1326673469387771,1.2651786063066719e-05
integrable_Poisson,0.13409387755102203,4.819507277078015e-06
integrable_Poisson,0.13552040816326694,8.99753164682681e-06
integrable_Poisson,0.13694693877551187,1.2138896835287203e-05
integrable_Poisson,0.13837346938775677,1.408259234336661e-05
integrable_Poisson,0.1398000000000017,2.3488958945264083e-06
integrable_Poisson,0.1412265306122466,1.2563106884427788e-05
integrable_Poisson,0.14265306122449153,1.0620777301990294e-05
integrable_Poisson,0.14407959183673644,5.687298209771061e-06
integrable_Poisson,0.14550612244898134,1.1946904230065899e-05
integrable_Poisson,0.14693265306122627,2.219534920583884e-05
integrable_Poisson,0.14835918367347117,1.2105546416023333e-05
integrable_Poisson,0.1497857142857161,3.7547878184846956e-05
integrable_Poisson,0.151212244897961,1.7720240048056319e-06
integrable_Poisson,0.15263877551020594,6.641135354835852e-06
integrable_Poisson,0.15406530612245084,1.4817214396275455e-05
integrable_Poisson,0.15549183673469577,8.226407054902887e-06
integrable_Poisson,0.15691836734694067,1.2184091094898e-05
integrable_Poisson,0.15834489795918558,3.7365279053286107e-06
integrable_Poisson,0.1597714285714305,4.370132367482884e-06
