ensemble,output_pair,overlap,time,otoc
integrable_Poisson,1-2,0,0.001,1.5901979794233884e-18
integrable_Poisson,1-2,0,0.001067942212602404,2.0684365044274772e-18
integrable_Poisson,1-2,0,0.0011405005694581196,2.690501186275957e-18
integrable_Poisson,1-2,0,0.001217988701621406,3.499646507818666e-18
integrable_Poisson,1-2,0,0.0013007415489342952,4.552135363210333e-18
integrable_Poisson,1-2,0,0.0013891168077927694,5.921151223388902e-18
integrable_Poisson,1-2,0,0.0014834964772773985,7.701886850187198e-18
integrable_Poisson,1-2,0,0.0015842885103314987,1.0018163395133885e-17
integrable_Poisson,1-2,0,0.0016919285771239874,1.303104013171899e-17
integrable_Poisson,1-2,0,0.0018068819482190304,1.6950013485111124e-17
integrable_Poisson,1-2,0,0.0019296455056923738,2.204758406537936e-17
integrable_Poisson,1-2,0,0.0020607498908874005,2.867820459795944e-17
integrable_Poisson,1-2,0,0.0022007617980944532,3.730292626198502e-17
integrable_Poisson,1-2,0,0.002350286424067836,4.852145717381352e-17
integrable_Poisson,1-2,0,0.0025099700839683993,6.31138621399252e-17
integrable_Poisson,1-2,0,0.0026805030050390546,8.209480318597538e-17
integrable_Poisson,1-2,0,0.002862622310088801,1.0678409235957588e-16
integrable_Poisson,1-2,0,0.0030571152036812425,1.3889846253353815e-16
integrable_Poisson,1-2,0,0.003264822374799795,1.8067093726715865e-16
integrable_Poisson,1-2,0,0.0034866416306975324,2.350060997951725e-16
integrable_Poisson,1-2,0,0.0037235317776387767,3.056820573347236e-16
integrable_Poisson,1-2,0,0.003976516765306922,3.976131436820953e-16
integrable_Poisson,1-2,0,0.004246690112792429,5.171916262548195e-16
integrable_Poisson,1-2,0,0.0045352196352923,6.727321769470816e-16
integrable_Poisson,1-2,0,0.004843352491951932,8.750500113287769e-16
integrable_Poisson,1-2,0,0.005172420576668514,1.138212894599449e-15
integrable_Poisson,1-2,0,0.005523846275157575,1.4805193014541455e-15
integrable_Poisson,1-2,0,0.005899148613167335,1.9257707410683247e-15
integrable_Poisson,1-2,0,0.006299949822416334,2.504926710913684e-15
integrable_Poisson,1-2,0,0.006727982352635422,3.2582573459150356e-15
integrable_Poisson,1-2,0,0.007185096360023401,4.2381434318974385e-15
integrable_Poisson,1-2,0,0.0076732677044848785,5.512718459728884e-15
integrable_Poisson,1-2,0,0.008194606490218151,7.17060593759461e-15
integrable_Poisson,1-2,0,0.008751366186569593,9.327081322566672e-15
integrable_Poisson,1-2,0,0.009345953368579005,1.2132086971457058e-14
integrable_Poisson,1-2,0,0.009980938119319153,1.5780657328205225e-14
integrable_Poisson,1-2,0,0.01065906513899338,2.0526479113146627e-14
integrable_Poisson,1-2,0,0.011383265608809747,2.66995292016365e-14
integrable_Poisson,1-2,0,0.01215666986091314,3.4729016318155165e-14
integrable_Poisson,1-2,0,0.012982620909140546,4.517322132023052e-14
integrable_Poisson,1-2,0,0.013864688899085788,5.87583103147704e-14
integrable_Poisson,1-2,0,0.014806686539933675,7.642881844278963e-14
integrable_Poisson,1-2,0,0.015812685584767013,9.941331319718648e-14
integrable_Poisson,1-2,0,0.016887034430582232,1.2930980092093805e-13
integrable_Poisson,1-2,0,0.018034376914088976,1.6819681190139398e-13
integrable_Poisson,1-2,0,0.019259672384537907,2.18777883449179e-13
integrable_Poisson,1-2,0,0.020568217140340832,2.845694803287283e-13
integrable_Poisson,1-2,0,0.021965667322142293,3.701454088448291e-13
integrable_Poisson,1-2,0,0.023458063361296976,4.814547040253234e-13
integrable_Poisson,1-2,0,0.025051856089430894,6.262350706647659e-13
integrable_Poisson,1-2,0,0.02675393462194385,8.14550592035029e-13
integrable_Poisson,1-2,0,0.02857165613597878,1.0594910442873154e-12
integrable_Poisson,1-2,0,0.03051287767157225,1.3780813670306319e-12
integrable_Poisson,1-2,0,0.03258599009344538,1.7924644170491712e-12
integrable_Poisson,1-2,0,0.034799954360234094,2.3314390804347954e-12
integrable_Poisson,1-2,0,0.0371643402579311,3.0324604476001217e-12
integrable_Poisson,1-2,0,0.039689367764963554,3.944240765648824e-12
integrable_Poisson,1-2,0,0.042385951227705713,5.130131480489314e-12
integrable_Poisson,1-2,0,0.04526574653737365,6.6725207316242885e-12
integrable_Poisson,1-2,0,0.048341201512222445,8.678550882984321e-12
integrable_Poisson,1-2,0,0.05162560970282155,1.1287551885300018e-11
integrable_Poisson,1-2,0,0.05513316785297941,1.4680704721422173e-11
integrable_Poisson,1-2,0,0.05887903726469057,1.9093602988717904e-11
integrable_Poisson,1-2,0,0.06287940933235309,2.4832580318673596e-11
integrable_Poisson,1-2,0,0.06715157552952544,3.2295930412032264e-11
integrable_Poisson,1-2,0,0.07171400215073889,4.2001482558720056e-11
integrable_Poisson,1-2,0,0.07658641013143369,5.4622431342523855e-11
integrable_Poisson,1-2,0,0.08178986029103848,7.10338841550545e-11
integrable_Poisson,1-2,0,0.08734684436765319,9.237332203679326e-11
integrable_Poisson,1-2,0,0.09328138223782943,1.2011911703670226e-10
integrable_Poisson,1-2,0,0.09961912574167821,1.5619247555799817e-10
integrable_Poisson,1-2,0,0.10638746956208499,2.0308976276441645e-10
