time,pt_wasserstein,entropy_mean,entropy_sem,participation_ratio_mean,participation_ratio_sem,target_otoc_mean,target_otoc_sem,sff4_mean
0.05,0.060109797586527625,0.03136031669740043,0.0006469909723845268,1.0075676231248671,0.00017793665384166965,0.0003205537067895942,2.2884508222481033e-05,0.9945548200409121
0.10266666666666667,0.059250535251960765,0.10926891601379744,0.002176688686871515,1.0324133824048505,0.0007699844437449775,0.0013434154530402522,9.548623620950902e-05,0.9772356990024761
0.15533333333333332,0.05781417188773669,0.21969217541852712,0.004228615930263162,1.0762243508322904,0.0018429561901188917,0.003044273472978954,0.00021480355008729381,0.9486274440326532
0.20800000000000002,0.05582384610752511,0.3551178175556954,0.006598904583820363,1.1420538634731872,0.0035238109546697305,0.005381488260058553,0.00037592990275295507,0.909707973596807
0.26066666666666666,0.053315820369589366,0.5101044947279311,0.00915489417381231,1.2347711824237808,0.006030343513864987,0.008297896793351606,0.0005724606852529501,0.861779276552381
0.3133333333333333,0.05035318935855344,0.6801447488444886,0.011820717736230883,1.3618261506306932,0.00973878760621513,0.011720879184258412,0.0007968256693856838,0.8063976040958666
0.366,0.046980795844070555,0.8610272629096137,0.014554174543203985,1.534639713717556,0.0153635884007804,0.015560685856823533,0.0010405147126099164,0.74529240173747
0.4186666666666667,0.04333168523923084,1.048298452578227,0.017284529200331862,1.7711973197077917,0.024520245240199145,0.019706680295185568,0.0012941873061950288,0.6802796681060738
0.4713333333333333,0.0395431939613881,1.2368600791197393,0.019823263332061376,2.098859584253222,0.04084926705764736,0.024023485123536366,0.0015479102552852708,0.6131755836758707
0.524,0.03577224465983242,1.4210961863735065,0.02186428671517214,2.5393863955339944,0.06537313435615291,0.028353116638158437,0.0017919419207780198,0.54571592115195
0.5766666666666667,0.03221124748709168,1.595885432275884,0.02317614572176239,3.0741611247130036,0.08814550066884219,0.03252932454521281,0.0020178648440803376,0.47948598467158077
0.6293333333333334,0.028876310304012786,1.757933580722557,0.023788788591188315,3.684579304858206,0.10758221284011112,0.036400971874609375,0.0022193928038892127,0.4158647214901675
0.682,0.0257832497477012,1.9062042441509266,0.02391689700696303,4.367247602127169,0.12579360579300705,0.03985228190786848,0.0023930110131196395,0.3559853293965861
