D,p,conditional_density,porter_thomas_density
4,0.0006177606177606178,4.440677424848846,3.990128032164954
4,0.0018532818532818534,4.22405901388061,3.970457128176564
4,0.0030888030888030892,4.302829345141786,3.950883199638736
4,0.004324324324324324,4.22405901388061,3.931405768472882
4,0.00555984555984556,4.637603253001786,3.9120243589572894
4,0.006795366795366796,4.224059013880611,3.8927384977155035
4,0.008030888030888032,4.2535978881035525,3.8735477137047645
4,0.009266409266409266,4.18467384825002,3.8544515382045033
4,0.010501930501930504,4.35206080218002,3.8354495048048918
4,0.011737451737451738,4.460370007664138,3.8165411493954537
4,0.012972972972972974,4.06651835135826,3.7977260101537276
4,0.01420849420849421,4.332368219364726,3.7790036275339864
4,0.015444015444015444,3.9680554372817833,3.7603735442560153
4,0.01667953667953668,4.371753384995321,3.7418353052939417
4,0.017915057915057916,3.7415907349058943,3.7233884578651213
4,0.019150579150579154,4.06651835135826,3.7050325514190803
4,0.020386100386100385,4.263444179511202,3.6867671376265103
4,0.021621621621621623,4.036979477135308,3.6685917703683186
4,0.02285714285714286,3.9975943115047303,3.6505060057247314
4,0.024092664092664095,3.977901728689425,3.6325094019644526
4,0.02532818532818533,4.0271331857276715,3.6146015195338737
4,0.026563706563706567,4.155134974027084,3.596781921046338
4,0.0277992277992278,4.135442391211778,3.5790501712714584
4,0.029034749034749036,3.810514774759435,3.561405837124488
4,0.030270270270270273,3.7317444434982576,3.54384848765574
4,0.03150579150579151,4.096057225581189,3.5263776940400633
4,0.03274131274131274,3.908977688835895,3.508993029566371
4,0.03397683397683398,3.9779017286894467,3.491694069627213
4,0.03521235521235522,3.9385165630588364,3.4744803917084117
4,0.03644787644787645,4.155134974027072,3.4573515753787367
4,0.037683397683397686,3.9385165630588586,3.44030720227964
4,0.038918918918918924,4.145288682619425,3.423346856115035
4,0.040154440154440155,3.918823980243542,3.406470122641132
4,0.04138996138996139,4.17482755684239,3.3896765896563177
4,0.04262548262548263,4.096057225581189,3.372965846991089
4,0.04386100386100386,4.056672059950602,3.3563374864980347
4,0.0450965250965251,3.8203610661670924,3.3397911020418656
4,0.04633204633204634,3.7317444434982474,3.3233262894894975
4,0.04756756756756757,3.574203780975894,3.3069426467001777
4,0.04880308880308881,4.066518351358249,3.2906397735156654
4,0.05003861003861004,3.603742655198855,3.274417271750457
4,0.051274131274131274,4.1748275568423665,3.2582747451820593
4,0.05250965250965252,3.8695925232053066,3.2422117995413156
4,0.05374517374517375,4.10590351698886,3.2262280425027727
