mode,correlation_eigenvalue,entanglement_energy
0,8.6143237870064149e-15,32.385350020523795
1,8.836368391931443e-15,32.359900418061258
2,9.0584129968564696e-15,32.335082456109014
3,9.0584129968564696e-15,32.335082456109014
4,9.2804576017814978e-15,32.310865538791496
5,9.2804576017814978e-15,32.310865538791496
6,9.5025022067065259e-15,32.28722124080565
7,9.5025022067065259e-15,32.28722124080565
8,1.0612725231331667e-14,32.176722620286959
9,1.1056814441181723e-14,32.135729465513322
10,1.5497706539682281e-14,31.798084347115186
11,1.5719751144607306e-14,31.783858438530633
12,1.5719751144607306e-14,31.783858438530633
13,1.5941795749532338e-14,31.769832071085101
14,1.9938598638182838e-14,31.546118911774293
15,2.0160643243107863e-14,31.535044045316319
16,2.0826777057882951e-14,31.502536877586856
17,2.0826777057882951e-14,31.502536877586856
18,2.5267669156383507e-14,31.309250715343513
19,8.188904341226562e-14,30.133411193070948
20,2.6618606550003873e-13,28.954580836299826
21,8.6148765130403838e-13,27.780115672992295
22,2.7750680565479289e-12,26.610345844145968
23,8.8795183351467935e-12,25.44727380192424
24,2.8239365393955048e-11,24.290304175413208
25,8.9232353831601111e-11,23.139777430900523
26,2.8009190421793353e-10,21.995903336984913
27,8.7315194973521497e-10,20.858911519682042
28,2.7026040950651114e-09,19.729050046391439
29,8.3034763055300362e-09,18.606591569534448
30,2.5315870243561556e-08,17.491834330202195
31,7.6566273942249042e-08,16.385109068548989
32,2.2963282937281654e-07,15.286783968016293
33,6.8265722337100105e-07,14.197272289845978
34,2.0106671529508008e-06,13.117041963405395
35,5.8642590556423755e-06,12.046628552787105
36,1.6925825232226695e-05,10.986653056204318
37,4.8308863195909891e-05,9.9378472010893528
38,0.00013622170413713739,8.9010905910631308
39,0.00037904869217570282,7.8774667651871821
40,0.0010391123078589632,6.8683488278864617
41,0.0027994539801189603,5.8755275081378526
42,0.0073813832897096712,4.9013854598002755
43,0.018908208664584751,3.9490698756842093
44,0.046422067401390557,3.0224462181704577
45,0.10666741595995263,2.1252432143497542
46,0.2212366373949769,1.2584743428885934
47,0.39740963214071745,0.4162700745437844
48,0.60259036785920361,-0.41627007454345477
49,0.77876336260496493,-1.2584743428882557
50,0.89333258404001381,-2.1252432143494016
51,0.95357793259859325,-3.0224462181700913
52,0.98109179133540791,-3.9490698756838141
53,0.99261861671028673,-4.9013854597997843
54,0.99720054601987973,-5.8755275081373837
55,0.99896088769214086,-6.8683488278862956
56,0.99962095130782458,-7.8774667651879264
57,0.99986377829586182,-8.9010905910554445
58,0.99995169113680371,-9.9378472010814995
59,0.99998307417476717,-10.986653056168821
60,0.99999413574094442,-12.046628552798277
61,0.99999798933284711,-13.117041963438009
62,0.99999931734277692,-14.197272290267332
63,0.99999977036717047,-15.286783967335023
64,0.99999992343372546,-16.385109060705737
65,0.9999999746841296,-17.491834324022729
66,0.99999999169652309,-18.606591497212037
67,0.99999999729739553,-19.729049906347715
68,0.99999999912684723,-20.858910577610558
69,0.99999999971990949,-21.995908327766834
70,0.99999999991076949,-23.139798073439557
71,0.99999999997176292,-24.290385131378414
72,0.99999999999112188,-25.447431241113733
73,0.99999999999722611,-26.610769645896021
74,0.9999999999991388,-27.78044962918537
75,0.99999999999973432,-28.956497481768462
76,0.9999999999999184,-30.136930070464182
77,0.99999999999997524,-31.329628798216959
78,0.99999999999997946,-31.516444744598754
79,0.99999999999998013,-31.549414763836324
80,0.99999999999998013,-31.549414763836324
81,0.99999999999998057,-31.572014595753568
82,0.99999999999998324,-31.719520732862158
83,0.99999999999998368,-31.746367982898349
84,0.99999999999998368,-31.746367982898349
85,0.9999999999999839,-31.760066827256509
86,0.9999999999999879,-32.045452687447941
87,0.9999999999999879,-32.045452687447941
88,0.9999999999999899,-32.225941063160242
89,0.99999999999999012,-32.248164199944952
90,0.99999999999999056,-32.294149313186779
91,0.99999999999999079,-32.317959961880497
92,0.99999999999999145,-32.392995147823413
93,0.99999999999999167,-32.419312456140787
94,0.9999999999999919,-32.446341128528701
95,0.99999999999999223,-32.488305327627735
