P,M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_N_min_minus_1,continuous_threshold,binary_search_evaluations
2,7,29649,18033,415086,252462,0.00036909257990997926,0.000999892941738327,0.001000004151307915,18032.037325696016,31
3,9,43224,26280,778032,473040,0.0003689501514178739,0.0009999802075525437,0.00100005649819874,26279.740554221033,31
4,11,58404,35502,1284888,781044,0.000368859420957242,0.0009999692462267912,0.0010000257051590333,35501.45527899861,33
5,13,75036,45604,1950936,1185704,0.00036877886054141086,0.0009999682777392402,0.0010000122219948654,45603.27811835496,33
6,15,93002,56515,2790060,1695450,0.00036871519482271925,0.0009999716530843833,0.001000007108273255,56514.20048185769,33
7,17,112209,68179,3815106,2318086,0.0003686660316358419,0.0009999727630970027,0.0010000021492100949,68178.07313543592,35
8,19,132582,80550,5038116,3060900,0.0003686235522583597,0.0009999762218658539,0.0010000010924496366,80549.04392458827,35
