n_spins,M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_N_min_minus_1,continuous_threshold,binary_search_evaluations
2,5,10873127314,4000000200,54365636570,20000001000,3.678794479326638e-06,9.999999999999962e-06,1.0000000002499971e-05,4000000199.9999943,65
3,8,27835205924,10240000320,222681647392,81920002560,3.6787944539301327e-06,9.999999999999997e-06,1.0000000000976533e-05,10240000319.999994,69
4,12,62629213328,23040000480,751550559936,276480005760,3.678794439891448e-06,9.999999999999997e-06,1.0000000000434032e-05,23040000479.999996,71
5,15,97858145825,36000000600,1467872187375,540000009000,3.6787944342524723e-06,9.999999999999997e-06,1.0000000000277785e-05,36000000599.99999,73
6,19,157007958412,57760000760,2983151209828,1097440014440,3.6787944295168873e-06,9.999999999999997e-06,1.0000000000173122e-05,57760000759.999985,73
