M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_predecessor
7,19410,11822,271740,165508,0.0003697366287002204,0.0009999616046395458,0.0010001315041919935
9,24955,15200,449190,273600,0.00036975784888691087,0.0009999238550627394,0.0010000559879345106
11,30501,18578,671022,408716,0.0003697470456545074,0.0009998998337177325,0.0010000079365873615
13,36046,21955,937196,570830,0.0003697601342467456,0.0009999746722988063,0.0010000661530863667
15,41592,25333,1247760,759990,0.000369751907050498,0.0009999502795420504,0.001000029559265003
17,47138,28711,1602692,976174,0.0003697456158504038,0.00099993162685969,0.0010000015771097553
19,52683,32088,2001954,1219344,0.0003697547215867345,0.0009999794867641574,0.0010000420779778584
