n_spins,M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_N_min_minus_1,continuous_threshold,binary_search_evaluations
2,5,659489,400100,6594890,4001000,3.6799047433339483e-06,9.999999375208279e-06,1.0000049375389573e-05,400099.98750416486,39
3,8,1055182,640160,16882912,10242560,3.67990753372532e-06,9.999999375208297e-06,1.0000030625277653e-05,640159.9800066638,41
4,12,1582773,960240,37986552,23045760,3.679907533725307e-06,9.999999375208297e-06,1.0000020208571552e-05,960239.9700099956,41
5,15,1978466,1200300,59353980,36009000,3.6799084638564782e-06,9.999999375208297e-06,1.0000016041893738e-05,1200299.9625124945,43
6,19,2506057,1520380,95230166,57774440,3.679908268039357e-06,9.999999375208297e-06,1.0000012533114387e-05,1520379.9525158266,43
