M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_predecessor
7,26638651,9799912,186470557,68599384,0.0003678808080005643,0.0009999999009674976,0.0010000000030102624
9,44035322,16199817,396317898,145798353,0.0003678804961849968,0.0009999999729315785,0.00100000003466116
11,65781159,24199692,723592749,266196612,0.0003678803085869762,0.0009999999754334145,0.001000000016756522
13,91876164,33799536,1194390132,439393968,0.000367880175637623,0.000999999987026379,0.0010000000166127435
15,122320337,44999350,1834805055,674990250,0.00036788007654306074,0.0009999999784329199,0.0010000000006555683
17,157113677,57799132,2670932509,982585244,0.0003678800021937948,0.00099999999670409,0.0010000000140054585
19,196256184,72198884,3728867496,1371778796,0.00036787994437177934,0.0009999999986357085,0.0010000000124863874
