M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_predecessor
7,29649,18033,207543,126231,0.00036909257990997926,0.000999892941738327,0.001000004151307915
9,43224,26280,389016,236520,0.0003689501514178739,0.0009999802075525437,0.00100005649819874
11,58404,35502,642444,390522,0.000368859420957242,0.0009999692462267912,0.0010000257051590333
13,75036,45604,975468,592852,0.00036877886054141086,0.0009999682777392402,0.0010000122219948654
15,93002,56515,1395030,847725,0.00036871519482271925,0.0009999716530843833,0.001000007108273255
17,112209,68179,1907553,1159043,0.0003686660316358419,0.0009999727630970027,0.0010000021492100949
19,132582,80550,2519058,1530450,0.0003686235522583597,0.0009999762218658539,0.0010000010924496366
