M,N_analytic,N_min,g_analytic,g_min,epsilon_at_N_analytic,epsilon_at_N_min,epsilon_at_predecessor
5,851397,516498,8513970,5164980,3.6796500754106284e-06,9.99999108495474e-06,1.0000029814848155e-05
8,1723105,1045276,27569680,16724416,3.6794749309340715e-06,9.999992562406855e-06,1.0000011699051383e-05
12,3165545,1920240,75973080,46085760,3.6793519068464706e-06,9.999999843776041e-06,1.000001026045052e-05
15,4423984,2683582,132719520,80507460,3.6792923894733706e-06,9.999996692347479e-06,1.00000041459078e-05
19,6306771,3825630,239657298,145373940,3.6792367371898858e-06,9.99999701108063e-06,1.000000223949753e-05
