target_id,vp_recoil,vd_recoil,time_tau,edge_density_mean,edge_density_phase_std,sites,grid_points_per_site,phase_samples,parameter_match
T002,4.0,0.0,0.0,0.0,0.0,369,4,3,reduced_scale
T002,4.0,0.0,100.0,0.7886740611384386,0.0,369,4,3,reduced_scale
T002,4.0,0.0,200.0,0.5136758428064185,0.0,369,4,3,reduced_scale
T002,4.0,0.0,300.0,0.7549339480736026,0.0,369,4,3,reduced_scale
T002,4.0,0.0,400.0,0.5573069455289041,0.0,369,4,3,reduced_scale
T002,4.0,0.0,500.0,0.7458012624994482,0.0,369,4,3,reduced_scale
T002,4.0,0.0,600.0,0.5869055186543182,0.0,369,4,3,reduced_scale
T002,4.0,0.0,700.0,0.7383016829977703,0.0,369,4,3,reduced_scale
T002,4.0,0.0,800.0,0.6136267680888399,0.0,369,4,3,reduced_scale
T002,4.0,0.0,900.0,0.7211812600876885,1.1102230246251565e-16,369,4,3,reduced_scale
T002,4.0,0.0,1000.0,0.6379252355512743,0.0,369,4,3,reduced_scale
T002,4.0,0.0,1100.0,0.7009133176116121,1.1102230246251565e-16,369,4,3,reduced_scale
T002,4.0,0.0,1200.0,0.6618118777323496,0.0,369,4,3,reduced_scale
T002,4.0,0.0,1300.0,0.6805119884032355,1.1102230246251565e-16,369,4,3,reduced_scale
T002,4.0,0.0,1400.0,0.67702470575605,1.1102230246251565e-16,369,4,3,reduced_scale
T002,4.0,0.0,1500.0,0.6580411618583708,0.0,369,4,3,reduced_scale
T002,4.0,0.0,1600.0,0.6857643313948039,0.0,369,4,3,reduced_scale
T002,4.0,0.0,1700.0,0.6370144725592803,0.0,369,4,3,reduced_scale
T002,4.0,0.0,1800.0,0.6925209813462954,0.0,369,4,3,reduced_scale
T002,4.0,0.0,1900.0,0.6196424771176239,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2000.0,0.6976532789716013,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2100.0,0.6184529988255225,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2200.0,0.7019922148108226,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2300.0,0.6224784403167024,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2400.0,0.7032586530147249,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2500.0,0.6309840288555717,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2600.0,0.7013296242183422,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2700.0,0.6419104200373962,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2800.0,0.6924183138533677,0.0,369,4,3,reduced_scale
T002,4.0,0.0,2900.0,0.6574947646513016,0.0,369,4,3,reduced_scale
T002,4.0,0.0,3000.0,0.6833091495072079,0.0,369,4,3,reduced_scale
T002,4.0,0.57,0.0,0.0,0.0,369,4,3,reduced_scale
T002,4.0,0.57,100.0,0.024305680611854563,0.004163611484874146,369,4,3,reduced_scale
T002,4.0,0.57,200.0,0.02834453837437541,0.0044110142743466856,369,4,3,reduced_scale
T002,4.0,0.57,300.0,0.02049032665612401,0.011733899451372109,369,4,3,reduced_scale
T002,4.0,0.57,400.0,0.03524057965800239,0.004438898343319098,369,4,3,reduced_scale
T002,4.0,0.57,500.0,0.029475796690504968,0.00347916385851105,369,4,3,reduced_scale
T002,4.0,0.57,600.0,0.021920503120731943,0.004583754366459768,369,4,3,reduced_scale
T002,4.0,0.57,700.0,0.03138456247258137,0.00452314402433387,369,4,3,reduced_scale
T002,4.0,0.57,800.0,0.029825881250902537,0.006890478820892646,369,4,3,reduced_scale
T002,4.0,0.57,900.0,0.023546838204255367,0.008304241461740918,369,4,3,reduced_scale
T002,4.0,0.57,1000.0,0.029872118901416982,0.004934101889352206,369,4,3,reduced_scale
T002,4.0,0.57,1100.0,0.0280791210860033,0.0034444185830343763,369,4,3,reduced_scale
T002,4.0,0.57,1200.0,0.02660741368335336,0.002319873052169699,369,4,3,reduced_scale
T002,4.0,0.57,1300.0,0.03045693127764848,0.006034923912990703,369,4,3,reduced_scale
T002,4.0,0.57,1400.0,0.03269841455863831,0.008282853440748163,369,4,3,reduced_scale
T002,4.0,0.57,1500.0,0.035530582615846185,0.008647894850254438,369,4,3,reduced_scale
T002,4.0,0.57,1600.0,0.034475082909072786,0.013307958160689803,369,4,3,reduced_scale
T002,4.0,0.57,1700.0,0.03619075774050806,0.00894222002205326,369,4,3,reduced_scale
T002,4.0,0.57,1800.0,0.035803143663776606,0.008645045554301196,369,4,3,reduced_scale
T002,4.0,0.57,1900.0,0.03572789607533555,0.014484286714035543,369,4,3,reduced_scale
T002,4.0,0.57,2000.0,0.0400188739347123,0.00796653361168896,369,4,3,reduced_scale
T002,4.0,0.57,2100.0,0.036302391218459386,0.007129539689907463,369,4,3,reduced_scale
T002,4.0,0.57,2200.0,0.035656932677489594,0.010114873048325257,369,4,3,reduced_scale
T002,4.0,0.57,2300.0,0.04191961575707259,0.004899430057794787,369,4,3,reduced_scale
T002,4.0,0.57,2400.0,0.04038570847200318,0.011049902209818212,369,4,3,reduced_scale
T002,4.0,0.57,2500.0,0.04430779474339267,0.012988531137276677,369,4,3,reduced_scale
T002,4.0,0.57,2600.0,0.04612174343645244,0.006039434612364038,369,4,3,reduced_scale
T002,4.0,0.57,2700.0,0.03812639124426831,0.01071026092907032,369,4,3,reduced_scale
T002,4.0,0.57,2800.0,0.04706270501402254,0.01002773381982939,369,4,3,reduced_scale
T002,4.0,0.57,2900.0,0.047955629296314174,0.01030644160133615,369,4,3,reduced_scale
T002,4.0,0.57,3000.0,0.044704613418473094,0.016931324902192,369,4,3,reduced_scale
T002,4.0,1.04,0.0,0.0,0.0,369,4,3,reduced_scale
T002,4.0,1.04,100.0,0.00577499481617257,0.0008744364629653074,369,4,3,reduced_scale
T002,4.0,1.04,200.0,0.0036473723177168718,0.0015905588478175435,369,4,3,reduced_scale
T002,4.0,1.04,300.0,0.0034168798172610946,0.0013180816588977753,369,4,3,reduced_scale
T002,4.0,1.04,400.0,0.004773697158043248,0.00188569327915327,369,4,3,reduced_scale
T002,4.0,1.04,500.0,0.0034404859199676694,0.0022774427984075855,369,4,3,reduced_scale
T002,4.0,1.04,600.0,0.005930607086206259,0.0019189537260882704,369,4,3,reduced_scale
