target_id,trap_edge_recoil,vp_recoil,vd_recoil,time_tau,fwhm_reduced_sites,fwhm_paper_equivalent_sites,edge_density,rms_reduced_sites,rms_paper_equivalent_sites,sites,paper_sites,parameter_match
T005,0.0,4.0,0.0,0.0,26.0,118.44444444444444,0.23857052847353744,11.434325790516766,52.08970637902082,81,369,reduced_scale
T005,0.0,4.0,0.0,150.0,79.0,359.88888888888886,0.7260105672936026,24.75342443212265,112.76560019078096,81,369,reduced_scale
T005,0.0,4.0,0.0,300.0,79.0,359.88888888888886,0.6457063604592952,22.538044770562525,102.67331506589595,81,369,reduced_scale
T005,0.0,4.0,0.0,450.0,79.0,359.88888888888886,0.6412123571941165,22.443454986886294,102.24240605137089,81,369,reduced_scale
T005,0.0,4.0,0.0,600.0,79.0,359.88888888888886,0.6873538965814094,23.850880462967304,108.65401099796216,81,369,reduced_scale
T005,0.0,4.0,0.0,750.0,79.0,359.88888888888886,0.6368209083411431,22.557594429718424,102.76237462427282,81,369,reduced_scale
T005,0.0,4.0,0.0,900.0,79.0,359.88888888888886,0.6770312763776445,23.20520952840617,105.71262118496144,81,369,reduced_scale
T005,0.0,4.0,0.0,1050.0,79.0,359.88888888888886,0.7029036404826734,24.218600031719767,110.32917792227893,81,369,reduced_scale
T005,0.0,4.0,0.0,1200.0,79.0,359.88888888888886,0.6191746021893065,22.13319404658496,100.82899510110926,81,369,reduced_scale
T005,0.0,4.0,0.0,1350.0,79.0,359.88888888888886,0.6524073679894764,22.701106859429935,103.41615347073636,81,369,reduced_scale
T005,0.0,4.0,0.0,1500.0,79.0,359.88888888888886,0.6557096533940394,23.160151537892656,105.50735700595543,81,369,reduced_scale
T005,0.0,4.0,0.0,1650.0,79.0,359.88888888888886,0.6174280126229086,21.970755732155542,100.08899833537524,81,369,reduced_scale
T005,0.0,4.0,0.0,1800.0,79.0,359.88888888888886,0.7185054126488635,24.44950676221228,111.38108636118928,81,369,reduced_scale
T005,0.0,4.0,0.0,1950.0,79.0,359.88888888888886,0.6411997893588859,22.50056319433535,102.50256566308326,81,369,reduced_scale
T005,0.0,4.0,0.0,2100.0,79.0,359.88888888888886,0.610476409582049,21.821005222384027,99.40680156863834,81,369,reduced_scale
T005,0.0,4.0,0.0,2250.0,79.0,359.88888888888886,0.6734927930042303,23.518260087314772,107.1387403977673,81,369,reduced_scale
T005,0.0,4.0,0.0,2400.0,79.0,359.88888888888886,0.6363697964632485,22.614227070690177,103.02036776647746,81,369,reduced_scale
T005,0.0,4.0,0.0,2550.0,79.0,359.88888888888886,0.660665339418287,23.033016479748877,104.92818618552266,81,369,reduced_scale
T005,0.0,4.0,0.0,2700.0,79.0,359.88888888888886,0.6757623433670679,23.42911459708309,106.73263316448963,81,369,reduced_scale
T005,0.0,4.0,0.0,2850.0,79.0,359.88888888888886,0.6603818116209075,23.214664801660774,105.75569520756575,81,369,reduced_scale
T005,0.0,4.0,0.0,3000.0,79.0,359.88888888888886,0.6462980191624181,22.49554739940669,102.47971593063046,81,369,reduced_scale
T005,0.0,4.0,0.4,0.0,26.0,118.44444444444444,0.2385763214820289,11.434283555067742,52.089513973086376,81,369,reduced_scale
