target_ids,vp_recoil,vd_recoil,sites,grid_points_per_site,phase_samples,evaluation,reference_imbalance_time_tau,reference_edge_time_tau,parameter_match,averaging,imbalance,edge_density,imbalance_phase_std,edge_density_phase_std
T003;T004,3.0,1.0500000000000003,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.2583346604322976,0.08535028920965296,nan,nan
T003;T004,3.0,1.1250000000000002,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.3366565377905048,0.02377351450774895,0.009305459729020804,0.0006794337096496794
T003;T004,3.0,1.1250000000000002,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.2879157264907825,0.07989734135322209,nan,nan
T003;T004,3.0,1.2000000000000002,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.3641812513747821,0.021227315010577397,0.007961095200527596,4.557745721611717e-06
T003;T004,3.0,1.2000000000000002,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.31574079873015104,0.056790438113724195,nan,nan
T003;T004,3.0,1.2750000000000001,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.3905303469357598,0.01943615164759732,0.0074845353863680075,0.00011594978480494733
T003;T004,3.0,1.2750000000000001,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.346790006063195,0.03299300573429814,nan,nan
T003;T004,3.0,1.35,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.4138634075331218,0.018083112242411492,0.006220904790089854,0.00035745124956670926
T003;T004,3.0,1.35,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.3725292722825555,0.023691076304433456,nan,nan
T003;T004,4.0,0.0,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.005087855331222486,0.6639674718265676,0.0,0.0
T003;T004,4.0,0.0,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.005037251810348643,0.6639674485826241,nan,nan
T003;T004,4.0,0.05,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.0026449493781451447,0.6596826338382792,0.002459467115565147,1.7255835604967906e-05
T003;T004,4.0,0.05,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.0026303470660957668,0.6598883807322595,nan,nan
T003;T004,4.0,0.1,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.002712220715800274,0.657611446168982,0.002450015647423158,0.00010278773091354498
T003;T004,4.0,0.1,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.0026863720166893975,0.6579965011333068,nan,nan
T003;T004,4.0,0.15000000000000002,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.00286229069390524,0.6556232012960949,0.002427330243636997,0.00018727924161765497
T003;T004,4.0,0.15000000000000002,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,tube_proxy,0.002808446866023586,0.6561017212072398,nan,nan
T003;T004,4.0,0.2,369,4,2,stationary_diagonal_ensemble,3000.0,3000.0,reduced_scale,central,0.0031689197010645424,0.653271913250005,0.0023852742958884116,0.0005208496524348183
