target_id,vp_recoil,vd_recoil,imbalance_3000tau,edge_density_3000tau,averaging,sites,phase_samples,parameter_match
T006,4.0,0.0,-0.03187534845583623,0.6833091495072079,central,369,2,reduced_scale
T006,4.0,0.0,-0.017107241063933333,0.6827703272821944,tube_proxy,369,2,reduced_scale
T006,4.0,0.05,0.010378219120352845,0.6911216112851963,central,369,2,reduced_scale
T006,4.0,0.05,-0.004135643816178753,0.6947160601040543,tube_proxy,369,2,reduced_scale
T006,4.0,0.1,0.020759785603155972,0.6501531490136957,central,369,2,reduced_scale
T006,4.0,0.1,0.024968017564592156,0.6422050481717764,tube_proxy,369,2,reduced_scale
T006,4.0,0.15000000000000002,0.01363496827735903,0.6282774220688221,central,369,2,reduced_scale
T006,4.0,0.15000000000000002,0.007073574592369611,0.6542509672897213,tube_proxy,369,2,reduced_scale
T006,4.0,0.2,-0.03488963260431689,0.6371814779050045,central,369,2,reduced_scale
T006,4.0,0.2,-0.014204969445869032,0.6504655925678247,tube_proxy,369,2,reduced_scale
T006,4.0,0.25,-0.014005040997698594,0.6870763654870891,central,369,2,reduced_scale
T006,4.0,0.25,-0.008206151460722065,0.6677156361692407,tube_proxy,369,2,reduced_scale
T006,4.0,0.30000000000000004,0.01689047264913506,0.6652752342260404,central,369,2,reduced_scale
T006,4.0,0.30000000000000004,0.007893301306950236,0.6631354506236397,tube_proxy,369,2,reduced_scale
T006,4.0,0.35000000000000003,0.02337393537088228,0.6566356044255799,central,369,2,reduced_scale
T006,4.0,0.35000000000000003,0.013589590622770226,0.6569711207798851,tube_proxy,369,2,reduced_scale
T006,4.0,0.4,0.04961500606367357,0.6416630263602132,central,369,2,reduced_scale
T006,4.0,0.4,0.025383564982913526,0.6546443843426061,tube_proxy,369,2,reduced_scale
T006,4.0,0.45,0.01168274280380954,0.4771850450179843,central,369,2,reduced_scale
T006,4.0,0.45,0.03305499902383046,0.5424433800618724,tube_proxy,369,2,reduced_scale
T006,4.0,0.5,0.07500707922967431,0.2899203951201028,central,369,2,reduced_scale
T006,4.0,0.5,0.05308043405864464,0.42198062844228273,tube_proxy,369,2,reduced_scale
T006,4.0,0.55,0.1398732773329192,0.12564606627610742,central,369,2,reduced_scale
T006,4.0,0.55,0.08295175039196803,0.2796896075358996,tube_proxy,369,2,reduced_scale
T006,4.0,0.6000000000000001,0.14558632918915987,0.04211218161039715,central,369,2,reduced_scale
T006,4.0,0.6000000000000001,0.10718627549035577,0.18432768840061037,tube_proxy,369,2,reduced_scale
T006,4.0,0.65,0.24834597623420848,0.03401794377310119,central,369,2,reduced_scale
T006,4.0,0.65,0.17718403434695126,0.1298070362179861,tube_proxy,369,2,reduced_scale
T006,4.0,0.7000000000000001,0.30477328470728837,0.02774965108416555,central,369,2,reduced_scale
T006,4.0,0.7000000000000001,0.24827767260723904,0.09857137244952953,tube_proxy,369,2,reduced_scale
T006,4.0,0.75,0.2981958078510206,0.01517353221942147,central,369,2,reduced_scale
T006,4.0,0.75,0.24782407388030017,0.05756834587726613,tube_proxy,369,2,reduced_scale
T006,4.0,0.8,0.31098688188761753,0.01568438729532584,central,369,2,reduced_scale
T006,4.0,0.8,0.2705962863458967,0.02746392640489801,tube_proxy,369,2,reduced_scale
T006,4.0,0.8500000000000001,0.35606054164832235,0.01972320345972456,central,369,2,reduced_scale
T006,4.0,0.8500000000000001,0.3009375601575003,0.021890017485998652,tube_proxy,369,2,reduced_scale
T006,4.0,0.9,0.39375012114196606,0.018541074071333874,central,369,2,reduced_scale
T006,4.0,0.9,0.3411249081678944,0.020621507548693765,tube_proxy,369,2,reduced_scale
T006,4.0,0.9500000000000001,0.44515764243248757,0.009438914320016478,central,369,2,reduced_scale
T006,4.0,0.9500000000000001,0.3896343255062192,0.014103623915614406,tube_proxy,369,2,reduced_scale
T006,4.0,1.0,0.46189003198587153,0.0064907146998214316,central,369,2,reduced_scale
T006,4.0,1.0,0.40820476362862534,0.012401020396822554,tube_proxy,369,2,reduced_scale
T006,4.0,1.05,0.4786378367862566,0.009318893639450432,central,369,2,reduced_scale
T006,4.0,1.05,0.4311907227609405,0.011159485595132829,tube_proxy,369,2,reduced_scale
