molecule,failure_probability,qdrift,random_trotter_second_order
propane,0.10000000000000001,2.4205480249299999e+18,6.8042187595964146e+21
propane,0.092611872812879331,3.0472894190525604e+18,7.9331366405914367e+21
propane,0.085769589859089418,3.8363100867367501e+18,9.2493582557929412e+21
propane,0.079432823472428138,4.8296282557151836e+18,1.0783959992100566e+22
propane,0.073564225445964138,6.0801417406389791e+18,1.2573174256537189e+22
propane,0.068129206905796116,7.6544449446008371e+18,1.465924493424024e+22
propane,0.063095734448019331,9.6363752539373834e+18,1.7091424779253179e+22
propane,0.058434141337351753,1.2131477684766249e+19,1.9927138286813118e+22
propane,0.054116952654646375,1.5272625539966089e+19,2.3233337502897403e+22
propane,0.05011872336272722,1.9227096397079941e+19,2.7088082782099564e+22
propane,0.050000000000000003,1.9364384199439999e+19,2.7216875038385658e+22
propane,0.046415888336127795,2.4205480249299993e+19,3.1582385816001311e+22
propane,0.042986623470822764,3.0472894190525596e+19,3.6822358446493598e+22
propane,0.039810717055349734,3.8363100867367477e+19,4.2931717998172665e+22
propane,0.036869450645195756,4.8296282557151805e+19,5.0054708281460912e+22
propane,0.034145488738336005,6.0801417406389862e+19,5.8359505232210711e+22
propane,0.031622776601683791,7.654444944600834e+19,6.8042187595964169e+22
propane,0.029286445646252372,9.6363752539373781e+19,7.9331366405914281e+22
propane,0.027122725793320281,1.2131477684766247e+20,9.2493582557929433e+22
propane,0.025118864315095794,1.5272625539966108e+20,1.0783959992100567e+23
propane,0.023263050671536261,1.922709639707993e+20,1.257317425653719e+23
propane,0.021544346900318846,2.4205480249299973e+20,1.4659244934240221e+23
propane,0.019952623149688799,3.0472894190525573e+20,1.7091424779253178e+23
propane,0.018478497974222907,3.8363100867367521e+20,1.9927138286813118e+23
propane,0.01711328304161781,4.8296282557151799e+20,2.3233337502897407e+23
propane,0.015848931924611134,6.08014174063898e+20,2.7088082782099559e+23
propane,0.01467799267622069,7.6544449446008416e+20,3.1582385816001339e+23
propane,0.013593563908785255,9.6363752539373883e+20,3.6822358446493593e+23
propane,0.012589254117941675,1.2131477684766237e+21,4.2931717998172672e+23
propane,0.011659144011798317,1.5272625539966097e+21,5.0054708281460922e+23
propane,0.010797751623277094,1.9227096397079941e+21,5.8359505232210698e+23
propane,0.01,2.4205480249300002e+21,6.8042187595964154e+23
propane,0.009261187281287938,3.0472894190525554e+21,7.9331366405914274e+23
propane,0.0085769589859089456,3.8363100867367451e+21,9.2493582557929332e+23
propane,0.0079432823472428138,4.8296282557151833e+21,1.0783959992100564e+24
propane,0.0073564225445964136,6.0801417406389808e+21,1.2573174256537187e+24
propane,0.0068129206905796083,7.6544449446008481e+21,1.4659244934240252e+24
propane,0.0063095734448019303,9.6363752539373961e+21,1.7091424779253195e+24
propane,0.0058434141337351747,1.2131477684766252e+22,1.9927138286813122e+24
propane,0.0054116952654646375,1.527262553996609e+22,2.3233337502897401e+24
propane,0.0050118723362727246,1.9227096397079911e+22,2.7088082782099542e+24
propane,0.0046415888336127824,2.4205480249299942e+22,3.1582385816001267e+24
propane,0.004298662347082277,3.0472894190525587e+22,3.6822358446493582e+24
propane,0.0039810717055349734,3.8363100867367486e+22,4.2931717998172677e+24
propane,0.0036869450645195733,4.8296282557151894e+22,5.0054708281460976e+24
propane,0.0034145488738336009,6.0801417406389852e+22,5.8359505232210702e+24
propane,0.0031622776601683794,7.6544449446008326e+22,6.8042187595964151e+24
propane,0.0029286445646252374,9.6363752539373756e+22,7.9331366405914282e+24
propane,0.0027122725793320298,1.2131477684766226e+23,9.2493582557929308e+24
propane,0.0025118864315095794,1.5272625539966106e+23,1.0783959992100568e+25
propane,0.0023263050671536263,1.9227096397079927e+23,1.2573174256537187e+25
propane,0.0021544346900318821,2.4205480249300057e+23,1.4659244934240256e+25
propane,0.0019952623149688789,3.0472894190525616e+23,1.7091424779253195e+25
propane,0.0018478497974222907,3.8363100867367523e+23,1.9927138286813121e+25
propane,0.0017113283041617811,4.829628255715179e+23,2.3233337502897401e+25
propane,0.0015848931924611141,6.0801417406389726e+23,2.7088082782099538e+25
propane,0.0014677992676220704,7.6544449446008192e+23,3.1582385816001277e+25
propane,0.0013593563908785254,9.6363752539373893e+23,3.6822358446493601e+25
propane,0.0012589254117941675,1.2131477684766236e+24,4.293171799817267e+25
propane,0.001165914401179831,1.5272625539966126e+24,5.0054708281460978e+25
propane,0.0010797751623277093,1.9227096397079953e+24,5.835950523221071e+25
propane,0.001,2.4205480249299999e+24,6.8042187595964162e+25
propane,0.00092611872812879378,3.0472894190525557e+24,7.933136640591428e+25
propane,0.00085769589859089463,3.8363100867367444e+24,9.2493582557929316e+25
propane,0.00079432823472428131,4.8296282557151853e+24,1.0783959992100568e+26
propane,0.0007356422544596414,6.080141740638978e+24,1.2573174256537184e+26
propane,0.00068129206905796151,7.6544449446008259e+24,1.4659244934240221e+26
propane,0.00063095734448019298,9.6363752539373979e+24,1.7091424779253197e+26
propane,0.00058434141337351754,1.213147768476625e+25,1.9927138286813118e+26
propane,0.00054116952654646375,1.5272625539966088e+25,2.3233337502897399e+26
propane,0.00050118723362727253,1.9227096397079905e+25,2.7088082782099532e+26
propane,0.00046415888336127773,2.4205480249300023e+25,3.1582385816001343e+26
propane,0.00042986623470822767,3.0472894190525592e+25,3.6822358446493587e+26
propane,0.00039810717055349735,3.8363100867367482e+25,4.2931717998172668e+26
propane,0.00036869450645195771,4.8296282557151756e+25,5.005470828146087e+26
propane,0.00034145488738336009,6.0801417406389853e+25,5.835950523221069e+26
propane,0.00031622776601683794,7.654444944600833e+25,6.8042187595964148e+26
propane,0.00029286445646252375,9.6363752539373749e+25,7.9331366405914273e+26
propane,0.00027122725793320298,1.2131477684766224e+26,9.2493582557929313e+26
propane,0.00025118864315095795,1.5272625539966107e+26,1.0783959992100567e+27
propane,0.00023263050671536262,1.9227096397079929e+26,1.2573174256537187e+27
propane,0.00021544346900318845,2.4205480249299977e+26,1.4659244934240222e+27
propane,0.00019952623149688788,3.0472894190525624e+26,1.70914247792532e+27
propane,0.00018478497974222906,3.8363100867367534e+26,1.9927138286813121e+27
propane,0.0001711328304161781,4.8296282557151797e+26,2.3233337502897403e+27
propane,0.00015848931924611142,6.0801417406389724e+26,2.7088082782099536e+27
propane,0.00014677992676220689,7.6544449446008423e+26,3.1582385816001348e+27
propane,0.00013593563908785255,9.6363752539373877e+26,3.6822358446493592e+27
propane,0.00012589254117941674,1.213147768476624e+27,4.2931717998172683e+27
propane,0.00011659144011798323,1.5272625539966072e+27,5.0054708281460864e+27
propane,0.00010797751623277094,1.9227096397079945e+27,5.8359505232210694e+27
propane,0.0001,2.4205480249299997e+27,6.8042187595964159e+27
propane,9.2611872812879369e-05,3.0472894190525569e+27,7.9331366405914295e+27
