molecule,qubits,lambda_one,lambda_max,terms,time,qdrift,first_order_deterministic,first_order_random,higher_order_deterministic,higher_order_deterministic_k,higher_order_random,higher_order_random_k
propane,46,426.61000000000001,6.5846600000000004,241582,100,3639921927322,3056542447900034673748014,8849164136525645680,1303967212350828960,2,124382320588532380,2
propane,46,426.61000000000001,6.5846600000000004,241582,112.2018454301963,4582390199572,3847958959888900018452620,10517249371035817058,1505797845318094020,2,143634435621582180,2
propane,46,426.61000000000001,6.5846600000000004,241582,125.89254117941675,5768887455891,4844293318145194768577140,12499772153995178448,1738868224210452060,2,165866431211425560,2
propane,46,426.61000000000001,6.5846600000000004,241582,141.2537544622754,7262599001296,6098603960397666550489448,14856004635147145162,2008013698903628460,2,191539539186411680,2
propane,46,426.61000000000001,6.5846600000000004,241582,158.48931924611142,9143070421902,7677687502213181559508908,17656391893005491186,2318818044319609800,2,221186381745210420,2
propane,46,426.61000000000001,6.5846600000000004,241582,177.82794100389228,11510443677442,9665635900350651904210264,20984658056390005450,2677729303146022620,2,255422021412660740,2
propane,46,426.61000000000001,6.5846600000000004,241582,199.52623149688787,14490790025785,12168314656101419576653794,24940309434510676778,3092193558916501380,2,294956721309209520,2
propane,46,426.61000000000001,6.5846600000000004,241582,223.87211385683401,18242823777127,15319000539273498911968828,29641609492590199742,3570809414750893260,2,340610680493317960,2
propane,46,426.61000000000001,6.5846600000000004,241582,251.18864315095797,22966354409757,19285479062179946137048956,35229114616953660062,4123506382620764920,2,393331050055371780,2
propane,46,426.61000000000001,6.5846600000000004,241582,281.83829312644548,28912927153373,24278979670002706592726794,41869876379637958190,4761750884074986780,2,454211583018277480,2
propane,46,426.61000000000001,6.5846600000000004,241582,316.22776601683796,36399218689812,30565424479000350830603966,49762435939160164814,5498784136141429100,2,524515325658805800,2
propane,46,426.61000000000001,6.5846600000000004,241582,354.81338923357532,45823901341119,38479589598888994477151450,59142759896862705118,6349896857700358600,2,605700821073673820,2
propane,46,426.61000000000001,6.5846600000000004,241582,398.10717055349733,57688873824437,48442933181451936010838086,70291295075297499588,7332746495447012860,2,699452368547449880,2
propane,46,426.61000000000001,6.5846600000000004,241582,446.68359215096302,72625989188867,60986039603976657685851468,83541353137934399752,8467723550716829300,2,807714966550414560,2
propane,46,426.61000000000001,6.5846600000000004,241582,501.18723362727246,91430703294375,76776875022131798232832322,99289075728229236410,9778374607115961660,2,932734664274237660,2
propane,46,426.61000000000001,6.5846600000000004,241582,562.34132519034904,115104435736957,96656359003506489603161702,118005278059458838114,11291890835189048920,2,1077105158866823240,2
propane,46,426.61000000000001,6.5846600000000004,241582,630.957344480193,144907899093795,121683146561014207325511894,140249525047455670704,13039672108824935640,2,1243821605063943180,2
propane,46,426.61000000000001,6.5846600000000004,241582,707.94578438413805,182428236465181,153190005392734972179233694,166686860825532023548,15057978436705047800,2,1436342753594655280,2
propane,46,426.61000000000001,6.5846600000000004,241582,794.32823472428129,229663542632114,192854790621799423641420710,198107691810026972710,17388682223628329240,2,1658662707490374300,2
propane,46,426.61000000000001,6.5846600000000004,241582,891.25093813374588,289129269889455,242789796700027061016389044,235451417767764897358,20080136968301301540,2,1915393784971780520,2
propane,46,426.61000000000001,6.5846600000000004,241582,1000,363992185053220,305654244790003453056719424,279834517392104615666,23188180419929335580,2,2211862208032820200,2
propane,46,426.61000000000001,6.5846600000000004,241582,1122.0184543019629,458239011341172,384795895988889985780542164,332583928072346266624,26777293005359706920,2,2554218601868734900,2
propane,46,426.61000000000001,6.5846600000000004,241582,1258.9254117941675,576888735921773,484429331814519458824825610,395276717823691082918,30921935559878027940,2,2949565597655003580,2
propane,46,426.61000000000001,6.5846600000000004,241582,1412.5375446227554,726259889282678,609860396039767843715247426,469787235463998849254,35708094114634454040,2,3406105185913426920,2
propane,46,426.61000000000001,6.5846600000000004,241582,1584.893192461114,914307030019779,767768750221317939481822864,558343148703478688374,41235063789334988540,2,3933308877530951380,2
propane,46,426.61000000000001,6.5846600000000004,241582,1778.2794100389228,1151044354088818,966563590035065164950794558,663592045538646574812,47617508799378950300,2,4542114202647256620,2
propane,46,426.61000000000001,6.5846600000000004,241582,1995.2623149688789,1449078987256891,1216831465610142173028484940,788680590156872109664,54987841314996725520,2,5245151624025218400,2
propane,46,426.61000000000001,6.5846600000000004,241582,2238.7211385683399,1824282360521588,1531900053927349859125181226,937348599904669123380,63498968524923338440,2,6057006572508800700,2
propane,46,426.61000000000001,6.5846600000000004,241582,2511.8864315095821,2296635421686969,1928547906217998109464803306,1114040855973403706590,73327464896026611160,2,6994522040883291420,2
propane,46,426.61000000000001,6.5846600000000004,241582,2818.3829312644548,2891292693694919,2427897967000270618916164718,1324039990647579616466,84677235441605354020,2,8077148013774190120,2
propane,46,426.61000000000001,6.5846600000000004,241582,3162.2776601683795,3639921844698119,3056542447900034844457585824,1573624424094606228796,97783745997602729240,2,9327344983025720200,2
propane,46,426.61000000000001,6.5846600000000004,241582,3548.133892335753,4582390106865769,3847958959888899396893781242,1870256072590301282590,112918908269361246360,2,10771049919981636340,2
propane,46,426.61000000000001,6.5846600000000004,241582,3981.0717055349733,5768887351873050,4844293318145194274186099714,2222803440161985711536,130396720995636480880,2,12438214371883697980,2
propane,46,426.61000000000001,6.5846600000000004,241582,4466.8359215096352,7262598884585915,6098603960397679357702376334,2641806763502046618434,150579784263150891440,2,14363425845889613020,2
propane,46,426.61000000000001,6.5846600000000004,241582,5011.8723362727251,9143070290951396,7677687502213180977037070514,3139793137287015043670,173886822119690987560,2,16586625372158916580,2
propane,46,426.61000000000001,6.5846600000000004,241582,5623.4132519034911,11510443530513547,9665635900350652317436999746,3731651041319758165642,200801369552189114940,2,19153936132753462260,2
propane,46,426.61000000000001,6.5846600000000004,241582,6000,13103718636319320,11003552812440124262318824656,4112708173540804511432,217748781556279743660,2,20770506996640836380,2
propane,46,426.61000000000001,6.5846600000000004,241582,6309.5734448019302,14490789860928382,12168314656101420642201454056,4435075466870544139358,231881804052510548420,2,22118620347388041400,2
propane,46,426.61000000000001,6.5846600000000004,241582,7079.457843841381,18242823592154998,15319000539273501444287882188,5271096950323079648388,267772929888910619800,2,25542184267850793840,2
propane,46,426.61000000000001,6.5846600000000004,241582,7943.2823472428217,22966354202215144,19285479062179985952581093194,6264710330839109785460,309219355414001455060,2,29495654205628353160,2
propane,46,426.61000000000001,6.5846600000000004,241582,8912.5093813374588,28912926920506507,24278979670002705974033117762,7445622030241038818988,357080940939026115460,2,34061050065660906860,2
propane,46,426.61000000000001,6.5846600000000004,241582,10000,36399218428532200,30565424479000345162502476994,8849138196814356429142,412350637660735409240,2,39333086956540100240,2
propane,46,426.61000000000001,6.5846600000000004,241582,11220.184543019654,45823901047957783,38479589598889163033273163518,10517220266192168012264,476175087732798805120,2,45421140179326930920,2
propane,46,426.61000000000001,6.5846600000000004,241582,12589.254117941662,57688873495504478,48442933181451845655310330386,12499739497814219092508,549878412857136049720,2,52451514361244298740,2
propane,46,426.61000000000001,6.5846600000000004,241582,14125.375446227554,72625988819799250,60986039603976784169291377178,14855967994299749062614,634989684920652874560,2,60570063810362223040,2
propane,46,426.61000000000001,6.5846600000000004,241582,15848.931924611141,91430702880274262,76776875022131793721270836514,17656350781288201415598,733274648591599900500,2,69945218454014181520,2
propane,46,426.61000000000001,6.5846600000000004,241582,17782.794100389227,115104435272327996,96656359003506505369705572352,20984611928273502241612,846772354002421671440,2,80771478137935768480,2
propane,46,426.61000000000001,6.5846600000000004,241582,19952.623149688829,144907898572473859,121683146561014717102713353834,24940257677901060860552,977837459511912033100,2,93273447779977342020,2
propane,46,426.61000000000001,6.5846600000000004,241582,22387.211385683378,182428235880247482,153190005392734711882159529686,29641551420706786143858,1129189082172863136040,2,107710497092914514260,2
propane,46,426.61000000000001,6.5846600000000004,241582,25118.864315095823,229663541975809673,192854790621799856652965379594,35229049459215758099426,1303967209372079415240,2,124382141548394233020,2
propane,46,426.61000000000001,6.5846600000000004,241582,28183.82931264455,289129269153068758,242789796700027061488110029406,41869803271439639121582,1505797841975932672640,2,143634256217172198500,2
propane,46,426.61000000000001,6.5846600000000004,241582,31622.776601683792,363992184226981156,305654244790003425999188995412,49762353910397774242652,1738868220461348249460,2,165866251399860523160,2
propane,46,426.61000000000001,6.5846600000000004,241582,35481.338923357602,458239010414118151,384795895988891457484464562930,59142667859062097270092,2008013694696581810260,2,191539358916051019500,2
propane,46,426.61000000000001,6.5846600000000004,241582,39810.717055349691,576888734881597955,484429331814518380373589672760,70291191807170070822470,2318818039599092688360,2,221186200961712680760,2
propane,46,426.61000000000001,6.5846600000000004,241582,44668.359215096345,726259888115583857,609860396039767798600000017362,83541237269172314942002,2677729297850093421660,2,255421840053337808840,2
propane,46,426.61000000000001,6.5846600000000004,241582,50118.723362727251,914307028710278850,767768750221318096986176380994,99288945721321418932804,3092193552974238867220,2,294956539304348079180,2
propane,46,426.61000000000001,6.5846600000000004,241582,56234.132519034909,1151044352619533900,966563590035065230938595346030,118005132189289564666084,3570809408082234742160,2,340610497762427718760,2
propane,46,426.61000000000001,6.5846600000000004,241582,63095.73444801943,1449078985608333241,1216831465610147077541363306332,140249361378413313070660,4123506375139728947480,2,393330866511611256800,2
propane,46,426.61000000000001,6.5846600000000004,241582,70794.578438413737,1824282358671865995,1531900053927347114002368746348,166686677185823565508276,4761750875681263674760,2,454211398560411737740,2
propane,46,426.61000000000001,6.5846600000000004,241582,79432.823472428208,2296635419611550677,1928547906217998108541299339230,198107485762862434729212,5498784126723743777020,2,524515140178647171620,2
propane,46,426.61000000000001,6.5846600000000004,241582,89125.093813374595,2891292691366261450,2427897967000271140956602635636,235451186579018846106286,6349896847133433881540,2,605700634444389339680,2
propane,46,426.61000000000001,6.5846600000000004,241582,100000,3639921842085322000,3056542447900034514818576237212,279834257994039040916690,7332746483589950876200,2,699452180627950828100,2
propane,46,426.61000000000001,6.5846600000000004,241582,112201.84543019652,4582390103934180908,3847958959888914929922151638658,332583637022902993328084,8467723537414370131100,2,807714777183341669180,2
propane,46,426.61000000000001,6.5846600000000004,241582,125892.54117941661,5768887348583720568,4844293318145183794136872224796,395276391260813497376348,9778374592190781702180,2,932734473285308843820,2
propane,46,426.61000000000001,6.5846600000000004,241582,141253.75446227554,7262598880895240229,6098603960397678414906857211620,469786869054393387506174,11291890818443031606700,2,1077104966057375956580,2
propane,46,426.61000000000001,6.5846600000000004,241582,158489.31924611141,9143070286810389876,7677687502213179369858046458780,558342737585106652995564,13039672090034260079860,2,1243821410211282310100,2
propane,46,426.61000000000001,6.5846600000000004,241582,177827.94100389228,11510443525867263669,9665635900350651621501960354100,663591584256211501219868,15057978415622988712240,2,1436342556449241112540,2
propane,46,426.61000000000001,6.5846600000000004,241582,199526.2314968883,14490789855715227863,12168314656101471707414788402266,788680072589432732585558,17388682199972472434980,2,1658662507771408828920,2
