panel,theta_degrees,number_sites,fidelity,overlap_amplitude,exact_energy,mps_energy,sector_dimension,lowest_multiplicity,residual_norm,generated_data_provenance
first_excited,40,4,0.9951369239150166,0.9975654985588749,-0.25277424713041485,-0.24651366686487797,6,1,7.473417450352271e-16,independent_numerics
first_excited,40,6,0.9948780016779064,0.9974357130551855,-0.3920812242285273,-0.38517760447637184,16,1,1.4498801792902295e-15,independent_numerics
first_excited,40,8,0.9948680839528297,0.9974307414316192,-0.5304489195341835,-0.5223741988327177,42,1,4.236909300261098e-15,independent_numerics
first_excited,40,10,0.994511179752279,0.9972518136119277,-0.6684900170694061,-0.6588638005297647,110,1,3.5227241095370107e-15,independent_numerics
first_excited,40,12,0.9939625130064214,0.9969766862903171,-0.8064573453422669,-0.7951777656856647,288,1,6.877592076329331e-15,independent_numerics
first_excited,30,4,0.9745876309853482,0.9872120496556696,-0.776844962228203,-0.7320508075688779,6,1,9.292938109463748e-16,independent_numerics
first_excited,30,6,0.9707937488570518,0.9852886627060375,-1.196230091058599,-1.1438293868263716,16,1,1.107791749636883e-15,independent_numerics
first_excited,30,8,0.9684615523286735,0.9841044417787542,-1.6144741696887766,-1.5512505208007168,42,1,4.460883158903254e-15,independent_numerics
first_excited,30,10,0.9649926137537215,0.9823403757118616,-2.032738221231913,-1.9565721584113644,110,1,6.057078096623741e-15,independent_numerics
first_excited,30,12,0.9607920824500953,0.9802000216537925,-2.451108026120596,-2.361372223025997,288,1,7.537287065884236e-15,independent_numerics
first_excited,20,4,0.9532602439847362,0.9763504719027569,-1.2985612116691538,-1.195344954920479,6,1,9.238896857051836e-16,independent_numerics
first_excited,20,6,0.9426478619374529,0.9709005417330103,-1.9940994401913372,-1.8677264920632486,16,1,3.1480255910393996e-15,independent_numerics
first_excited,20,8,0.9345649860988046,0.9667290137876304,-2.689077864492115,-2.5329928806648248,42,1,4.730677113667734e-15,independent_numerics
first_excited,20,10,0.9251003105458173,0.9618213506394092,-3.384708796007362,-3.194831061332917,110,1,6.022640135406684e-15,independent_numerics
first_excited,20,12,0.9147222009987436,0.9564111045981971,-4.080729761872397,-3.855817580281685,288,1,7.415155395558331e-15,independent_numerics
first_excited,10,4,0.9333418389835623,0.9660961851614788,-1.7946948275932768,-1.622319150690555,6,1,6.933340566559918e-16,independent_numerics
first_excited,10,6,0.9135775259143184,0.9558124951654056,-2.7541328420776163,-2.5348736729539922,16,1,3.1006841635969763e-15,independent_numerics
first_excited,10,8,0.8971277767390669,0.9471682937783902,-3.7137779985389985,-3.4377715336061754,42,1,7.44677490237944e-15,independent_numerics
first_excited,10,10,0.8794574296092942,0.9377939163853081,-4.674687738114311,-4.336016639118392,110,1,5.456847813175655e-15,independent_numerics
first_excited,10,12,0.8610854491610247,0.9279468999684328,-5.636236257922575,-5.233105871498358,288,1,7.342805593171424e-15,independent_numerics
first_excited,0,4,0.9140794932423437,0.9560750458213747,-2.246979603717466,-1.9999999999999991,6,1,1.2008898127460164e-15,independent_numerics
first_excited,0,6,0.882940471229538,0.9396491213370755,-3.4500908814834244,-3.1249999999999987,16,1,3.966620384365759e-15,independent_numerics
first_excited,0,8,0.8558552921325662,0.9251244738588241,-4.654158075404722,-4.238095238095237,42,1,6.009322493362994e-15,independent_numerics
first_excited,0,10,0.8281472035139363,0.9100259356270767,-5.859994423052741,-5.345454545454541,110,1,6.3242527100898336e-15,independent_numerics
first_excited,0,12,0.8003861850478373,0.8946430489574249,-7.066637125883799,-6.451388888888888,288,1,6.070608231459257e-15,independent_numerics
