stage,m,d,L,p,time,observable,mean,standard_deviation,standard_error,realizations
base,5,15,16,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,5,15,16,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,7,21,8,0.2,9,half_chain_entropy,18.5,1.1785113019775775,0.833333333333332,2
base,7,21,8,0.2,9,tripartite_mutual_information,-15.666666666666666,2.3570226039551576,1.666666666666666,2
base,7,21,8,0.395,9,half_chain_entropy,13.333333333333334,0.0,0.0,2
base,7,21,8,0.395,9,tripartite_mutual_information,-11.5,0.235702260395515,0.16666666666666607,2
base,7,21,8,0.5900000000000001,9,half_chain_entropy,7.833333333333334,0.7071067811865481,0.5000000000000004,2
base,7,21,8,0.5900000000000001,9,tripartite_mutual_information,-5.333333333333334,0.9428090415820631,0.6666666666666664,2
base,7,21,8,0.7849999999999999,9,half_chain_entropy,1.8333333333333335,0.7071067811865477,0.5000000000000001,2
base,7,21,8,0.7849999999999999,9,tripartite_mutual_information,-0.16666666666666666,0.23570226039551584,0.16666666666666666,2
base,7,21,8,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,7,21,8,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,7,21,12,0.2,9,half_chain_entropy,28.5,0.2357022603955175,0.16666666666666782,2
base,7,21,12,0.2,9,tripartite_mutual_information,-26.5,0.2357022603955175,0.16666666666666782,2
base,7,21,12,0.395,9,half_chain_entropy,20.166666666666668,0.7071067811865476,0.5,2
base,7,21,12,0.395,9,tripartite_mutual_information,-17.666666666666664,0.4714045207910325,0.33333333333333387,2
base,7,21,12,0.5900000000000001,9,half_chain_entropy,11.833333333333334,0.7071067811865476,0.5,2
base,7,21,12,0.5900000000000001,9,tripartite_mutual_information,-9.333333333333332,0.9428090415820638,0.666666666666667,2
base,7,21,12,0.7849999999999999,9,half_chain_entropy,3.5,0.23570226039551562,0.1666666666666665,2
base,7,21,12,0.7849999999999999,9,tripartite_mutual_information,-0.6666666666666666,0.4714045207910317,0.3333333333333333,2
base,7,21,12,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,7,21,12,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,7,21,16,0.2,9,half_chain_entropy,34.83333333333333,1.1785113019775775,0.833333333333332,2
base,7,21,16,0.2,9,tripartite_mutual_information,-28.0,0.942809041582065,0.6666666666666677,2
base,7,21,16,0.395,9,half_chain_entropy,26.333333333333336,0.4714045207910325,0.33333333333333387,2
base,7,21,16,0.395,9,tripartite_mutual_information,-22.0,1.885618083164125,1.333333333333332,2
base,7,21,16,0.5900000000000001,9,half_chain_entropy,16.5,0.2357022603955175,0.16666666666666782,2
base,7,21,16,0.5900000000000001,9,tripartite_mutual_information,-11.833333333333332,1.6499158227686113,1.1666666666666667,2
base,7,21,16,0.7849999999999999,9,half_chain_entropy,3.1666666666666665,0.7071067811865476,0.5,2
base,7,21,16,0.7849999999999999,9,tripartite_mutual_information,-0.16666666666666666,0.23570226039551584,0.16666666666666666,2
base,7,21,16,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,7,21,16,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,9,27,8,0.2,9,half_chain_entropy,25.5,0.7071067811865476,0.5,2
base,9,27,8,0.2,9,tripartite_mutual_information,-22.666666666666668,0.0,0.0,2
base,9,27,8,0.395,9,half_chain_entropy,18.666666666666664,0.9428090415820625,0.666666666666666,2
base,9,27,8,0.395,9,tripartite_mutual_information,-15.5,0.7071067811865476,0.5,2
base,9,27,8,0.5900000000000001,9,half_chain_entropy,11.833333333333332,0.23570226039551626,0.16666666666666693,2
base,9,27,8,0.5900000000000001,9,tripartite_mutual_information,-10.0,0.4714045207910325,0.33333333333333387,2
base,9,27,8,0.7849999999999999,9,half_chain_entropy,4.166666666666666,0.23570226039551562,0.1666666666666665,2
base,9,27,8,0.7849999999999999,9,tripartite_mutual_information,-2.333333333333333,0.47140452079103157,0.3333333333333332,2
base,9,27,8,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,9,27,8,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,9,27,12,0.2,9,half_chain_entropy,37.66666666666667,0.47140452079103,0.33333333333333215,2
base,9,27,12,0.2,9,tripartite_mutual_information,-35.5,0.23570226039551248,0.16666666666666427,2
base,9,27,12,0.395,9,half_chain_entropy,28.333333333333336,0.4714045207910325,0.33333333333333387,2
base,9,27,12,0.395,9,tripartite_mutual_information,-25.833333333333336,1.1785113019775801,0.8333333333333339,2
base,9,27,12,0.5900000000000001,9,half_chain_entropy,16.833333333333336,0.235702260395515,0.16666666666666607,2
base,9,27,12,0.5900000000000001,9,tripartite_mutual_information,-14.5,0.7071067811865476,0.5,2
base,9,27,12,0.7849999999999999,9,half_chain_entropy,6.666666666666666,0.4714045207910319,0.3333333333333335,2
base,9,27,12,0.7849999999999999,9,tripartite_mutual_information,-3.833333333333333,0.23570226039551595,0.16666666666666674,2
base,9,27,12,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,9,27,12,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,9,27,16,0.2,9,half_chain_entropy,48.0,0.471404520791035,0.33333333333333565,2
base,9,27,16,0.2,9,tripartite_mutual_information,-41.5,0.23570226039551248,0.16666666666666427,2
base,9,27,16,0.395,9,half_chain_entropy,34.16666666666667,0.2357022603955175,0.16666666666666782,2
base,9,27,16,0.395,9,tripartite_mutual_information,-29.666666666666664,0.9428090415820625,0.666666666666666,2
base,9,27,16,0.5900000000000001,9,half_chain_entropy,21.666666666666664,0.4714045207910325,0.33333333333333387,2
base,9,27,16,0.5900000000000001,9,tripartite_mutual_information,-18.0,1.4142135623730951,1.0,2
base,9,27,16,0.7849999999999999,9,half_chain_entropy,6.166666666666666,1.1785113019775795,0.8333333333333335,2
base,9,27,16,0.7849999999999999,9,tripartite_mutual_information,-2.8333333333333335,1.6499158227686108,1.1666666666666665,2
base,9,27,16,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,9,27,16,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,11,33,8,0.2,9,half_chain_entropy,32.0,0.4714045207910325,0.33333333333333387,2
base,11,33,8,0.2,9,tripartite_mutual_information,-29.5,0.2357022603955175,0.16666666666666782,2
base,11,33,8,0.395,9,half_chain_entropy,23.333333333333332,0.0,0.0,2
base,11,33,8,0.395,9,tripartite_mutual_information,-20.666666666666664,0.4714045207910325,0.33333333333333387,2
base,11,33,8,0.5900000000000001,9,half_chain_entropy,14.833333333333332,0.23570226039551626,0.16666666666666693,2
base,11,33,8,0.5900000000000001,9,tripartite_mutual_information,-12.0,0.0,0.0,2
base,11,33,8,0.7849999999999999,9,half_chain_entropy,5.333333333333334,0.4714045207910319,0.3333333333333335,2
