panel,depth,measurement_fraction,time,entropy_density_mean,entropy_density_standard_deviation,entropy_density_standard_error,measurement_change_mean,measurement_change_standard_deviation,measurement_change_standard_error,realizations
A,3,0.1,0,0.0,0.0,0.0,,,,2
A,3,0.1,1,0.0,0.0,0.0,0.0,0.0,0.0,2
A,3,0.1,2,0.011363636363636364,0.0,0.0,-0.5,0.7071067811865476,0.5,2
A,3,0.1,3,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,2
A,3,0.1,4,0.019886363636363636,0.0040176521658326575,0.0028409090909090914,0.0,0.0,0.0,2
A,3,0.1,5,0.019886363636363636,0.0040176521658326575,0.0028409090909090914,0.0,0.0,0.0,2
A,3,0.1,6,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,2
A,3,0.1,7,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,2
A,3,0.1,8,0.03409090909090909,0.0,0.0,-1.0,0.0,0.0,2
A,3,0.1,9,0.03409090909090909,0.0,0.0,0.0,0.0,0.0,2
A,3,0.1,10,0.04261363636363637,0.0040176521658326575,0.0028409090909090914,0.0,0.0,0.0,2
A,3,0.1,11,0.04261363636363637,0.0040176521658326575,0.0028409090909090914,0.0,0.0,0.0,2
A,3,0.1,12,0.05113636363636363,0.00803530433166531,0.005681818181818179,0.0,0.0,0.0,2
B,3,0.2,0,0.0,0.0,0.0,,,,2
B,3,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,2
B,3,0.2,2,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,2
B,3,0.2,3,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,2
B,3,0.2,4,0.008522727272727272,0.004017652165832657,0.002840909090909091,-0.5,0.7071067811865476,0.5,2
B,3,0.2,5,0.008522727272727272,0.004017652165832657,0.002840909090909091,0.0,0.0,0.0,2
B,3,0.2,6,0.017045454545454544,0.0,0.0,0.0,0.0,0.0,2
B,3,0.2,7,0.014204545454545454,0.004017652165832655,0.0028409090909090897,-0.5,0.7071067811865476,0.5,2
B,3,0.2,8,0.019886363636363636,0.012052956497497968,0.008522727272727272,-0.5,0.7071067811865476,0.5,2
B,3,0.2,9,0.019886363636363636,0.012052956497497968,0.008522727272727272,0.0,0.0,0.0,2
B,3,0.2,10,0.022727272727272728,0.008035304331665313,0.005681818181818182,-0.5,0.7071067811865476,0.5,2
B,3,0.2,11,0.019886363636363636,0.012052956497497968,0.008522727272727272,-0.5,0.7071067811865476,0.5,2
B,3,0.2,12,0.028409090909090908,0.00803530433166531,0.005681818181818179,-0.5,0.7071067811865476,0.5,2
C,3,0.3,0,0.0,0.0,0.0,,,,2
C,3,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,2
C,3,0.3,2,0.002840909090909091,0.004017652165832657,0.002840909090909091,0.0,0.0,0.0,2
