depth,critical_probability,critical_probability_error,critical_exponent,critical_exponent_error,cost,unscaled_cost,probability_at_boundary,exponent_at_boundary,leave_one_size_out_probability_span
1,0.17187500000000006,0.023583779626224738,1.53125,0.18694971332553573,0.7535633873137412,102.63279909996784,False,False,0.008750000000000008
3,0.43093750000000003,0.0497706327608628,1.26875,0.15822501777531894,0.39430416433007276,51.10729577870879,False,False,0.11375000000000007
5,0.6003125,0.05375546039770696,1.1749999999999998,0.18032089451863303,0.31521546348238766,22.84454566399262,False,False,0.030624999999999902
7,0.7003125000000001,0.08211109540036125,1.025,0.08256153008514316,0.34396440719917987,25.831708284105428,False,False,0.045937500000000075
11,0.81125,0.04163854519769577,0.9874999999999999,0.09219544457292882,0.13455906660348316,42.23446566187817,False,False,0.015312499999999951
15,0.8609375000000001,0.017500000000000016,0.875,0.12203114996794877,0.386646835945845,28.983167486995058,False,False,0.006562500000000027
23,0.8871875000000001,0.017500000000000016,0.89375,0.13267456072096107,0.24832523482720203,47.92369405306271,False,False,0.006562500000000027
31,0.9134375000000001,0.020129490742923518,1.0437500000000002,0.07460835241445826,0.42401527065661465,57.49022819018496,False,False,0.015312500000000062
