target_id,condition,time,observable,value,seed,gamma_lead,gamma_rec,parameter_match,artifact_stage
T009,without_rescue,7.0,dark,0.7791961578886503,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,8.0,dark,0.7681204921262488,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,9.0,dark,0.7588525477243606,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,10.0,dark,0.7566794054325017,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,11.0,dark,0.7560710418640568,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,12.0,dark,0.7522967371311442,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,13.0,dark,0.7469378207865978,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,14.0,dark,0.7399013190970889,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,15.0,dark,0.7324730414975127,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,16.0,dark,0.725002210411976,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,17.0,dark,0.7231099743712583,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,18.0,dark,0.7211522153065035,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,19.0,dark,0.7163630300498165,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,20.0,dark,0.7083818904479142,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,21.0,dark,0.6954657888595193,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,22.0,dark,0.6929841226444501,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,23.0,dark,0.6909985266156178,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,24.0,dark,0.6812775156635494,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,25.0,dark,0.6745510539739679,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,26.0,dark,0.6723832293158829,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,27.0,dark,0.6702911836598793,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,28.0,dark,0.6692203885453313,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,29.0,dark,0.66807763284224,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,30.0,dark,0.666959822027383,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,31.0,dark,0.6594436136577926,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,32.0,dark,0.6450624008023327,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,33.0,dark,0.6401090506627164,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,34.0,dark,0.6381690234901534,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,35.0,dark,0.6294758202240807,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,36.0,dark,0.6250774124469185,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,37.0,dark,0.6223298760214457,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,38.0,dark,0.6218836744684715,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,39.0,dark,0.6203636755455566,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,40.0,dark,0.6186567959816365,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,41.0,dark,0.6161310205509933,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,42.0,dark,0.6091627085146532,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,43.0,dark,0.6003695981383732,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,44.0,dark,0.595576373503296,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,45.0,dark,0.5950584366256879,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,46.0,dark,0.5928591351824991,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,47.0,dark,0.588029062203342,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,48.0,dark,0.5823539008091777,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,49.0,dark,0.576019194178307,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,50.0,dark,0.5751863186343659,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,51.0,dark,0.5708882447952056,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,52.0,dark,0.5661854761834297,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,53.0,dark,0.5652537570032311,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,54.0,dark,0.5622901701858068,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,55.0,dark,0.5599200771185011,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,56.0,dark,0.5583999149192196,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,57.0,dark,0.5575281792148852,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,58.0,dark,0.5560991546274316,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,59.0,dark,0.5441548800182806,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,60.0,dark,0.5367202165895582,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,0.0,cavity,0.0,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,1.0,cavity,0.0888846680016136,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,2.0,cavity,0.1830170389528115,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,3.0,cavity,0.15075065692885414,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,4.0,cavity,0.020655213691460686,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,5.0,cavity,0.016942679154672846,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,6.0,cavity,0.10754421599628107,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,7.0,cavity,0.11572323719490962,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,8.0,cavity,0.12208543616694348,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,9.0,cavity,0.009553538859717355,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,10.0,cavity,0.024607525572471103,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,11.0,cavity,0.1604539545956857,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,12.0,cavity,0.1432383317584153,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,13.0,cavity,0.08439622345881691,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,14.0,cavity,0.008152382638761585,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,15.0,cavity,0.10123921866995385,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,16.0,cavity,0.1766631124304691,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,17.0,cavity,0.09286259945681491,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,18.0,cavity,0.02414842613700845,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,19.0,cavity,0.020357886618709613,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,20.0,cavity,0.11465481213417707,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,21.0,cavity,0.1171327006013541,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,22.0,cavity,0.10135073621586559,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,23.0,cavity,0.010729533067785147,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,24.0,cavity,0.025293574959470478,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,25.0,cavity,0.19124815775579923,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,26.0,cavity,0.1178694544490687,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,27.0,cavity,0.052723716973396575,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,28.0,cavity,0.017940138809799572,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,29.0,cavity,0.08572955708328393,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,30.0,cavity,0.17563350437648,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,31.0,cavity,0.060391483170969824,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,32.0,cavity,0.018233463493994496,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,33.0,cavity,0.028088837616478273,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,34.0,cavity,0.09796033680953488,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,35.0,cavity,0.14092530323280608,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,36.0,cavity,0.07735573266396031,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,37.0,cavity,0.006479498615390353,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,38.0,cavity,0.04372144892762256,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,39.0,cavity,0.17737181802770213,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,40.0,cavity,0.12229963048870233,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,41.0,cavity,0.031763072516274006,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,42.0,cavity,0.03153327476776824,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,43.0,cavity,0.08464898269620216,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,44.0,cavity,0.1354335817347311,0,0.05,0.0,paper_subset,exploratory
