target_id,n_sites,thermal_ratio,rate_ratio,gamma_rec,gamma_abs,eta_rescue,eta_rescue_sem,eta_deph,delta_eta,samples,parameter_match,artifact_stage
T010,64,0.029999999999999995,0.004999999999999999,0.0024999999999999996,8.345594488412495e-18,0.06610070172618418,0.0001366150401906005,0.09286619849126679,-0.026765496765082608,2,paper_subset,exploratory
T010,64,0.29999999999999993,0.004999999999999999,0.0024999999999999996,8.918498336813092e-05,0.06549190552837751,0.00013555336794858483,0.09286619849126679,-0.027374292962889277,2,paper_subset,exploratory
T010,64,2.9999999999999996,0.004999999999999999,0.0024999999999999996,0.001791328276434473,0.05568129372581096,0.00011885457743435537,0.09286619849126679,-0.03718490476545583,2,paper_subset,exploratory
T010,64,29.999999999999996,0.004999999999999999,0.0024999999999999996,0.0024180402512050145,0.052765686154447745,0.0001140462481440882,0.09286619849126679,-0.04010051233681904,2,paper_subset,exploratory
T010,64,0.029999999999999995,0.023207944168063883,0.011603972084031942,3.8736818187275775e-17,0.2273075786492811,0.00018068409553301243,0.09286619849126679,0.13444138015801432,2,paper_subset,exploratory
T010,64,0.29999999999999993,0.023207944168063883,0.011603972084031942,0.00041396002292745773,0.21882202979580503,0.0001745324039654217,0.09286619849126679,0.12595583130453825,2,paper_subset,exploratory
T010,64,2.9999999999999996,0.023207944168063883,0.011603972084031942,0.008314609325233072,0.12774357758939092,0.0001118640145312405,0.09286619849126679,0.034877379098124134,2,paper_subset,exploratory
T010,64,29.999999999999996,0.023207944168063883,0.011603972084031942,0.01122354862921943,0.1107969368856068,0.00010078017112066795,0.09286619849126679,0.017930738394340007,2,paper_subset,exploratory
T010,64,0.029999999999999995,0.10772173450159415,0.05386086725079708,1.7980038274774767e-16,0.6727557998960182,0.00021819120716037865,0.09286619849126679,0.5798896014047514,2,paper_subset,exploratory
T010,64,0.29999999999999993,0.10772173450159415,0.05386086725079708,0.0019214322199821781,0.5991100457858114,0.00020608110575209837,0.09286619849126679,0.5062438472945446,2,paper_subset,exploratory
T010,64,2.9999999999999996,0.10772173450159415,0.05386086725079708,0.03859299779985451,0.19689514079513687,8.875785511712474e-05,0.09286619849126679,0.10402894230387008,2,paper_subset,exploratory
T010,64,29.999999999999996,0.10772173450159415,0.05386086725079708,0.05209509799089493,0.15806602819224536,7.334062775195271e-05,0.09286619849126679,0.06519982970097857,2,paper_subset,exploratory
T010,64,0.029999999999999995,0.5,0.25,8.345594488412496e-16,0.9859496778605874,3.735251988151722e-05,0.09286619849126679,0.8930834793693206,2,paper_subset,exploratory
T010,64,0.29999999999999993,0.5,0.25,0.008918498336813093,0.8801883013786295,0.00011264338724337186,0.09286619849126679,0.7873221028873627,2,paper_subset,exploratory
T010,64,2.9999999999999996,0.5,0.25,0.17913282764344732,0.22395676625940591,4.702955513127826e-05,0.09286619849126679,0.13109056776813913,2,paper_subset,exploratory
T010,64,29.999999999999996,0.5,0.25,0.24180402512050148,0.17484698851727665,2.897481030797455e-05,0.09286619849126679,0.08198079002600986,2,paper_subset,exploratory
