target_id,scenario,n_sites,g,final_time,drain,eta_rec,eta_deph,delta_eta,best_gamma_rec,best_gamma_deph,paper_eta_rec,paper_eta_deph,samples,parameter_match,artifact_stage
T006,Site-N baseline,6,1.5,25.0,site_n,0.6152061425559073,0.733717043828773,-0.11851090127286568,0.46415888336127775,2.154434690031882,0.684,0.727,3,paper_subset,exploratory
T006,Longer time,6,1.5,100.0,site_n,0.977329994687775,0.9958740484199332,-0.018544053732158172,0.46415888336127775,2.154434690031882,0.99,0.995,3,paper_subset,exploratory
T006,Larger system,10,1.5,25.0,site_n,0.4803960699361214,0.5146380919002222,-0.034242021964100866,0.46415888336127775,2.1544346900318834,0.468,0.52,3,paper_subset,exploratory
T006,Stronger coupling,6,3.0,25.0,site_n,0.6313071029252185,0.7736408643127876,-0.14233376138756904,0.46415888336127775,4.6415888336127775,0.664,0.771,3,paper_subset,exploratory
T006,Cavity drain,6,1.5,25.0,cavity,0.9999094221969581,0.7965310890019527,0.20337833319500542,10.0,10.0,1.0,0.799,3,paper_subset,exploratory
T006,"Cavity drain, large N",10,1.5,25.0,cavity,0.9998136880401672,0.6444227715303354,0.3553909165098318,10.0,10.0,1.0,0.645,3,paper_subset,exploratory
T006,"Cavity drain, longer time",6,1.5,100.0,cavity,1.0000000000000229,0.9983648820348595,0.0016351179651633574,10.0,10.0,1.0,0.998,3,paper_subset,exploratory
