target_id,panel,mechanism,n_sites,time,observable,mean,sem,samples,parameter_match,artifact_stage
T002,ab,rescue,4,0.0,bright,0.2756076030079942,0.008164967105783532,3,paper_subset,exploratory
T002,ab,rescue,4,0.5,bright,0.49225896107587097,0.005713461086642693,3,paper_subset,exploratory
T002,ab,rescue,4,1.0,bright,0.5920345457221092,0.006865074300475303,3,paper_subset,exploratory
T002,ab,rescue,4,1.5,bright,0.60345205054381,0.008682364335938893,3,paper_subset,exploratory
T002,ab,rescue,4,2.0,bright,0.5858400535862348,0.008111266082725256,3,paper_subset,exploratory
T002,ab,rescue,4,2.5,bright,0.5500380481720802,0.007012038495612187,3,paper_subset,exploratory
T002,ab,rescue,4,3.0,bright,0.5064327793987533,0.005591933814834711,3,paper_subset,exploratory
T002,ab,rescue,4,3.5,bright,0.45976564974932693,0.004412973969271603,3,paper_subset,exploratory
T002,ab,rescue,4,4.0,bright,0.41327708964785304,0.0034418903189804115,3,paper_subset,exploratory
T002,ab,rescue,4,4.5,bright,0.3680921468374858,0.0029053458932532705,3,paper_subset,exploratory
T002,ab,rescue,4,5.0,bright,0.3266949617352842,0.0023473311127948883,3,paper_subset,exploratory
T002,ab,rescue,4,5.5,bright,0.28897320755311046,0.0020786667603520602,3,paper_subset,exploratory
T002,ab,rescue,4,6.0,bright,0.25526729642182777,0.0017761559635118779,3,paper_subset,exploratory
T002,ab,rescue,4,6.5,bright,0.22520034860651647,0.0015606702742354487,3,paper_subset,exploratory
T002,ab,rescue,4,7.0,bright,0.19847806544115612,0.0013975238760791718,3,paper_subset,exploratory
T002,ab,rescue,4,7.5,bright,0.17475976154899567,0.0012607768184638264,3,paper_subset,exploratory
T002,ab,rescue,4,8.0,bright,0.15379725751587306,0.001153721645211562,3,paper_subset,exploratory
T002,ab,rescue,4,8.5,bright,0.13528306667770995,0.001078959318316333,3,paper_subset,exploratory
T002,ab,rescue,4,9.0,bright,0.11898012349155489,0.0010192705642732363,3,paper_subset,exploratory
T002,ab,rescue,4,9.5,bright,0.10462549901987671,0.0009713228349782325,3,paper_subset,exploratory
T002,ab,rescue,4,10.0,bright,0.09199473586725464,0.0009229868860405295,3,paper_subset,exploratory
T002,ab,rescue,4,10.5,bright,0.08088126952064358,0.000874437009753196,3,paper_subset,exploratory
T002,ab,rescue,4,11.0,bright,0.07110518152230373,0.0008257008567927911,3,paper_subset,exploratory
T002,ab,rescue,4,11.5,bright,0.06250762048067447,0.0007773461286184061,3,paper_subset,exploratory
