target_id,n_sites,thermal_ratio,mechanism,gamma_rec,gamma_abs,gamma_deph,eta_mean,eta_sem,samples,parameter_match,artifact_stage
T004,6,0.029999999999999995,rescue,0.025,8.345594488412497e-17,0.0,0.5309759364780652,0.00715263642284373,3,paper_subset,exploratory
T004,6,0.029999999999999995,both,0.025,8.345594488412497e-17,0.5,0.7280119649048857,0.0018411627767390222,3,paper_subset,exploratory
T004,6,0.029999999999999995,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,6,0.09486832980505137,rescue,0.025,6.608063613745353e-07,0.0,0.5309738808163079,0.007152635399309834,3,paper_subset,exploratory
T004,6,0.09486832980505137,both,0.025,6.608063613745353e-07,0.5,0.7280108290418005,0.0018411613256456739,3,paper_subset,exploratory
T004,6,0.09486832980505137,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,6,0.29999999999999993,rescue,0.025,0.0008918498336813094,0.0,0.5282183907228847,0.00715126065007773,3,paper_subset,exploratory
T004,6,0.29999999999999993,both,0.025,0.0008918498336813094,0.5,0.7264826100003833,0.0018392649956315617,3,paper_subset,exploratory
T004,6,0.29999999999999993,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,6,0.9486832980505137,rescue,0.025,0.008712713418717537,0.0,0.5053966961021049,0.007139350647858094,3,paper_subset,exploratory
T004,6,0.9486832980505137,both,0.025,0.008712713418717537,0.5,0.7133756492064177,0.001827515294064781,3,paper_subset,exploratory
T004,6,0.9486832980505137,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,6,2.9999999999999996,rescue,0.025,0.017913282764344732,0.0,0.48131953858652915,0.007124578360123225,3,paper_subset,exploratory
T004,6,2.9999999999999996,both,0.025,0.017913282764344732,0.5,0.6986182445728012,0.001823628984306834,3,paper_subset,exploratory
T004,6,2.9999999999999996,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,6,9.486832980505136,rescue,0.025,0.022498903383899385,0.0,0.4702895160528631,0.00711655878241452,3,paper_subset,exploratory
T004,6,9.486832980505136,both,0.025,0.022498903383899385,0.5,0.6915133907056022,0.0018251411099597463,3,paper_subset,exploratory
T004,6,9.486832980505136,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,6,29.999999999999996,rescue,0.025,0.02418040251205015,0.0,0.4663915234926552,0.0071134836153492675,3,paper_subset,exploratory
T004,6,29.999999999999996,both,0.025,0.02418040251205015,0.5,0.6889480032894295,0.0018262110447421567,3,paper_subset,exploratory
T004,6,29.999999999999996,dephasing,0.0,0.0,0.5,0.6499752315450448,0.0023374082081481,3,paper_subset,exploratory
T004,64,0.029999999999999995,rescue,0.025,8.345594488412497e-17,0.0,0.4138757382690743,0.00015179201806427955,3,paper_subset,exploratory
T004,64,0.029999999999999995,both,0.025,8.345594488412497e-17,0.5,0.31345207658529534,0.00012361465695242315,3,paper_subset,exploratory
T004,64,0.029999999999999995,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
T004,64,0.09486832980505137,rescue,0.025,6.608063613745353e-07,0.0,0.4138529944044403,0.0001517896985161583,3,paper_subset,exploratory
T004,64,0.09486832980505137,both,0.025,6.608063613745353e-07,0.5,0.31344213150845524,0.00012361171165750997,3,paper_subset,exploratory
T004,64,0.09486832980505137,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
T004,64,0.29999999999999993,rescue,0.025,0.0008918498336813094,0.0,0.3853288418557612,0.00014914945874241857,3,paper_subset,exploratory
T004,64,0.29999999999999993,both,0.025,0.0008918498336813094,0.5,0.30059192665241774,0.00011991451296132373,3,paper_subset,exploratory
T004,64,0.29999999999999993,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
T004,64,0.9486832980505137,rescue,0.025,0.008712713418717537,0.0,0.24088342203868973,0.0001448394964748452,3,paper_subset,exploratory
T004,64,0.9486832980505137,both,0.025,0.008712713418717537,0.5,0.22142633791854624,9.797468706929215e-05,3,paper_subset,exploratory
T004,64,0.9486832980505137,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
T004,64,2.9999999999999996,rescue,0.025,0.017913282764344732,0.0,0.16761909792451457,0.0001486241905842374,3,paper_subset,exploratory
T004,64,2.9999999999999996,both,0.025,0.017913282764344732,0.5,0.16932320835384496,8.562140477025006e-05,3,paper_subset,exploratory
T004,64,2.9999999999999996,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
T004,64,9.486832980505136,rescue,0.025,0.022498903383899385,0.0,0.14562571613509281,0.00015051626290564602,3,paper_subset,exploratory
T004,64,9.486832980505136,both,0.025,0.022498903383899385,0.5,0.1516003789943335,8.335726416937277e-05,3,paper_subset,exploratory
T004,64,9.486832980505136,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
T004,64,29.999999999999996,rescue,0.025,0.02418040251205015,0.0,0.13894885060579076,0.00015115606765123187,3,paper_subset,exploratory
T004,64,29.999999999999996,both,0.025,0.02418040251205015,0.5,0.14600287021405522,8.297440865077732e-05,3,paper_subset,exploratory
T004,64,29.999999999999996,dephasing,0.0,0.0,0.5,0.09296249730229407,0.0001369765316014132,3,paper_subset,exploratory
