n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
3,rescue,0.001,0.4974755040303931,2
3,rescue,0.004641588833612777,0.5306950302238609,2
3,rescue,0.021544346900318832,0.6563102818594855,2
3,rescue,0.1,0.9046916150261877,2
3,rescue,0.46415888336127775,0.9901458219629529,2
3,rescue,2.154434690031882,0.9990102905593656,2
3,rescue,4.6415888336127775,0.9997545945269519,2
3,rescue,10.0,0.9999670735577433,2
3,dephasing,0.001,0.49194511329980034,2
3,dephasing,0.004641588833612777,0.5062526700481427,2
3,dephasing,0.021544346900318832,0.5654262458487118,2
3,dephasing,0.1,0.7339932479856981,2
3,dephasing,0.46415888336127775,0.8941745062920924,2
3,dephasing,2.154434690031882,0.9314555388081218,2
3,dephasing,4.6415888336127775,0.9368249236017789,2
3,dephasing,10.0,0.9324695688270614,2
6,rescue,0.001,0.2477647200872762,2
6,rescue,0.004641588833612777,0.3009917042353021,2
6,rescue,0.021544346900318832,0.5011547152039089,2
6,rescue,0.1,0.8860543992430799,2
6,rescue,0.46415888336127775,0.9961574342993795,2
6,rescue,2.154434690031882,0.9987670968784881,2
6,rescue,4.6415888336127775,0.999471351222848,2
6,rescue,10.0,0.9999113050665172,2
6,dephasing,0.001,0.23483181474532766,2
6,dephasing,0.004641588833612777,0.243481023907673,2
6,dephasing,0.021544346900318832,0.2810232643185055,2
6,dephasing,0.1,0.4117558814029567,2
6,dephasing,0.46415888336127775,0.6415019741336097,2
6,dephasing,2.154434690031882,0.7747183439380336,2
6,dephasing,4.6415888336127775,0.7950021128697433,2
6,dephasing,10.0,0.7962367678051518,2
16,rescue,0.001,0.08844459224150714,2
16,rescue,0.004641588833612777,0.15447338351090056,2
16,rescue,0.021544346900318832,0.4017645806553468,2
16,rescue,0.1,0.869350150950001,2
16,rescue,0.46415888336127775,0.995896656023377,2
16,rescue,2.154434690031882,0.9982446258538509,2
16,rescue,4.6415888336127775,0.998845869351592,2
16,rescue,10.0,0.999638467514999,2
16,dephasing,0.001,0.07053705585459111,2
16,dephasing,0.004641588833612777,0.07466436209226932,2
16,dephasing,0.021544346900318832,0.09291356322920352,2
16,dephasing,0.1,0.16167362709109412,2
16,dephasing,0.46415888336127775,0.3164265960126196,2
16,dephasing,2.154434690031882,0.4511817822186739,2
16,dephasing,4.6415888336127775,0.4815494239667011,2
16,dephasing,10.0,0.49258165616462035,2
32,rescue,0.001,0.05266905126620751,2
32,rescue,0.004641588833612777,0.12179243304709372,2
32,rescue,0.021544346900318832,0.38033600454009864,2
32,rescue,0.1,0.8665857556035124,2
32,rescue,0.46415888336127775,0.9958710068447603,2
32,rescue,2.154434690031882,0.9980567752777012,2
32,rescue,4.6415888336127775,0.9984886358678955,2
32,rescue,10.0,0.9992625429080273,2
32,dephasing,0.001,0.033298744189675863,2
32,dephasing,0.004641588833612777,0.03540006811390227,2
32,dephasing,0.021544346900318832,0.04477066185279692,2
32,dephasing,0.1,0.08132361773174611,2
32,dephasing,0.46415888336127775,0.17210610354595213,2
32,dephasing,2.154434690031882,0.2638497126843699,2
32,dephasing,4.6415888336127775,0.2875490960041426,2
32,dephasing,10.0,0.2983485649708112,2
