regime,convention,parameter_origin,ground_state_scope,coupling_sign,delta,block_length,entropy_bits,energy,residual_norm
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,7,2.176300817247132,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,7,0.0,-40.0,0.0
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,8,1.928972028986742,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,8,1.7314032585751153,-49.45319343920378,2.758523520724202e-10
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,polarized_ground_representative,-1.0,1.0,8,0.0,-20.0,0.0
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,8,2.2151682107614645,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,8,0.0,-40.0,0.0
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,9,1.9473109928202306,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,9,1.7423854592465124,-49.45319343920378,2.758523520724202e-10
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,polarized_ground_representative,-1.0,1.0,9,0.0,-20.0,0.0
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,9,2.23748199298446,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,9,0.0,-40.0,0.0
critical,caption_implied_antiferromagnetic,paper_n_delta_and_caption_semantics,unique_fixed_sz_ground_state,1.0,1.0,10,1.9533206401646976,-35.617546119505725,2.751274073537733e-12
representative_noncritical_easy_axis,caption_implied_antiferromagnetic,declared_reconstruction_delta_not_printed,unique_fixed_sz_ground_state,1.0,2.0,10,1.745912561954582,-49.45319343920378,2.758523520724202e-10
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,polarized_ground_representative,-1.0,1.0,10,0.0,-20.0,0.0
critical,literal_printed_ferromagnetic,paper_eq3_literal_sign,symmetric_dicke_ground_representative,-1.0,1.0,10,2.244763967634077,-20.0,0.0
representative_noncritical_easy_axis,literal_printed_ferromagnetic,declared_delta_with_paper_eq3_literal_sign,polarized_ground_representative,-1.0,2.0,10,0.0,-40.0,0.0
