model,block_length,retained_weight,epsilon_effective_rank,resolved_float_rank_zero_tolerance,resolved_rank_at_1e_15,algebraic_spectrum_dimension,full_rank_upper_bound,rank_semantics
critical_ising,2,0.99,3,4,4,4,4,declared_retained_weight_proxy_not_exact_rank
critical_ising,2,0.999,4,4,4,4,4,declared_retained_weight_proxy_not_exact_rank
critical_ising,2,0.9999,4,4,4,4,4,declared_retained_weight_proxy_not_exact_rank
critical_ising,4,0.99,3,16,16,16,16,declared_retained_weight_proxy_not_exact_rank
critical_ising,4,0.999,5,16,16,16,16,declared_retained_weight_proxy_not_exact_rank
critical_ising,4,0.9999,6,16,16,16,16,declared_retained_weight_proxy_not_exact_rank
critical_ising,6,0.99,4,64,49,64,64,declared_retained_weight_proxy_not_exact_rank
critical_ising,6,0.999,5,64,49,64,64,declared_retained_weight_proxy_not_exact_rank
critical_ising,6,0.9999,8,64,49,64,64,declared_retained_weight_proxy_not_exact_rank
critical_ising,8,0.99,4,256,79,256,256,declared_retained_weight_proxy_not_exact_rank
critical_ising,8,0.999,6,256,79,256,256,declared_retained_weight_proxy_not_exact_rank
critical_ising,8,0.9999,9,256,79,256,256,declared_retained_weight_proxy_not_exact_rank
critical_ising,10,0.99,4,1024,103,1024,1024,declared_retained_weight_proxy_not_exact_rank
critical_ising,10,0.999,6,1024,103,1024,1024,declared_retained_weight_proxy_not_exact_rank
critical_ising,10,0.9999,10,1024,103,1024,1024,declared_retained_weight_proxy_not_exact_rank
critical_ising,12,0.99,4,2048,123,4096,4096,declared_retained_weight_proxy_not_exact_rank
critical_ising,12,0.999,7,2048,123,4096,4096,declared_retained_weight_proxy_not_exact_rank
critical_ising,12,0.9999,10,2048,123,4096,4096,declared_retained_weight_proxy_not_exact_rank
critical_ising,14,0.99,4,4096,140,16384,16384,declared_retained_weight_proxy_not_exact_rank
critical_ising,14,0.999,7,4096,140,16384,16384,declared_retained_weight_proxy_not_exact_rank
critical_ising,14,0.9999,11,4096,140,16384,16384,declared_retained_weight_proxy_not_exact_rank
critical_ising,16,0.99,5,32768,159,65536,65536,declared_retained_weight_proxy_not_exact_rank
critical_ising,16,0.999,8,32768,159,65536,65536,declared_retained_weight_proxy_not_exact_rank
critical_ising,16,0.9999,12,32768,159,65536,65536,declared_retained_weight_proxy_not_exact_rank
gapped_ising,2,0.99,2,4,4,4,4,declared_retained_weight_proxy_not_exact_rank
gapped_ising,2,0.999,3,4,4,4,4,declared_retained_weight_proxy_not_exact_rank
gapped_ising,2,0.9999,4,4,4,4,4,declared_retained_weight_proxy_not_exact_rank
gapped_ising,4,0.99,3,16,16,16,16,declared_retained_weight_proxy_not_exact_rank
gapped_ising,4,0.999,3,16,16,16,16,declared_retained_weight_proxy_not_exact_rank
gapped_ising,4,0.9999,4,16,16,16,16,declared_retained_weight_proxy_not_exact_rank
gapped_ising,6,0.99,3,64,27,64,64,declared_retained_weight_proxy_not_exact_rank
gapped_ising,6,0.999,3,64,27,64,64,declared_retained_weight_proxy_not_exact_rank
gapped_ising,6,0.9999,4,64,27,64,64,declared_retained_weight_proxy_not_exact_rank
gapped_ising,8,0.99,3,256,32,256,256,declared_retained_weight_proxy_not_exact_rank
gapped_ising,8,0.999,3,256,32,256,256,declared_retained_weight_proxy_not_exact_rank
gapped_ising,8,0.9999,4,256,32,256,256,declared_retained_weight_proxy_not_exact_rank
gapped_ising,10,0.99,3,256,34,1024,1024,declared_retained_weight_proxy_not_exact_rank
gapped_ising,10,0.999,3,256,34,1024,1024,declared_retained_weight_proxy_not_exact_rank
gapped_ising,10,0.9999,4,256,34,1024,1024,declared_retained_weight_proxy_not_exact_rank
gapped_ising,12,0.99,3,1024,34,4096,4096,declared_retained_weight_proxy_not_exact_rank
gapped_ising,12,0.999,3,1024,34,4096,4096,declared_retained_weight_proxy_not_exact_rank
gapped_ising,12,0.9999,4,1024,34,4096,4096,declared_retained_weight_proxy_not_exact_rank
gapped_ising,14,0.99,3,2048,34,16384,16384,declared_retained_weight_proxy_not_exact_rank
gapped_ising,14,0.999,3,2048,34,16384,16384,declared_retained_weight_proxy_not_exact_rank
gapped_ising,14,0.9999,4,2048,34,16384,16384,declared_retained_weight_proxy_not_exact_rank
gapped_ising,16,0.99,3,4096,34,65536,65536,declared_retained_weight_proxy_not_exact_rank
gapped_ising,16,0.999,3,4096,34,65536,65536,declared_retained_weight_proxy_not_exact_rank
gapped_ising,16,0.9999,4,4096,34,65536,65536,declared_retained_weight_proxy_not_exact_rank
