series_id,model,convention,block_length,entropy_bits,guide_entropy_bits,plot_role
critical_xx,XY,paper_exact_zero_field_limit,28,2.6499139423642,2.64964919188247,paper_series
critical_xx,XY,paper_exact_zero_field_limit,29,2.66679138124355,2.66652454957245,paper_series
critical_xx,XY,paper_exact_zero_field_limit,30,2.68309645577299,2.68282774973277,paper_series
critical_xx,XY,paper_exact_zero_field_limit,31,2.69886672123934,2.69859632132556,paper_series
critical_xx,XY,paper_exact_zero_field_limit,32,2.71413615341026,2.71386421786326,paper_series
critical_xx,XY,paper_exact_zero_field_limit,33,2.72893558950813,2.72866225764942,paper_series
critical_xx,XY,paper_exact_zero_field_limit,34,2.7432931032944,2.74301849828004,paper_series
critical_xx,XY,paper_exact_zero_field_limit,35,2.75723432573843,2.75695855684492,paper_series
critical_xx,XY,paper_exact_zero_field_limit,36,2.77078272047853,2.7705058850107,paper_series
critical_xx,XY,paper_exact_zero_field_limit,37,2.78395982151303,2.78368200640625,paper_series
critical_xx,XY,paper_exact_zero_field_limit,38,2.79678543917303,2.79650672234446,paper_series
critical_xx,XY,paper_exact_zero_field_limit,39,2.80927783932407,2.80899829081735,paper_series
critical_xx,XY,paper_exact_zero_field_limit,40,2.82145389986504,2.82117358282572,paper_series
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,1,1,1.0471975511966,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,1,1,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,1,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,2,1.37012242644836,1.38053088452993,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,2,1.47168509439862,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,2,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,3,1.56652145939179,1.57551838477032,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,3,1.74248756954212,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,3,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,4,1.69438310270228,1.71386421786326,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,4,1.91593357883803,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,4,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,5,1.78479844630531,1.82117358282572,paper_series_under_review
