model,block_length,entropy_bits,fit_window_start
critical_ising,1,0.6837604580675671,20
critical_ising,2,0.856107516093395,20
critical_ising,3,0.9542102495147423,20
critical_ising,4,1.023550623739169,20
critical_ising,5,1.0772778689091824,20
critical_ising,6,1.1211553521168691,20
critical_ising,7,1.158243609003475,20
critical_ising,8,1.1903658344306434,20
critical_ising,9,1.2186967009644976,20
critical_ising,10,1.2440376995748332,20
critical_ising,11,1.266960228944612,20
critical_ising,12,1.2878860464892896,20
critical_ising,13,1.307135360004559,20
critical_ising,14,1.324957025268775,20
critical_ising,15,1.3415482899849196,20
critical_ising,16,1.3570681473680324,20
critical_ising,17,1.3716466314269038,20
critical_ising,18,1.3853914496885198,20
critical_ising,19,1.398392819257628,20
critical_ising,20,1.4107270603782094,20
critical_ising,21,1.4224593119405333,20
critical_ising,22,1.4336456144537342,20
critical_ising,23,1.444334529456322,20
critical_ising,24,1.4545684139107797,20
critical_ising,25,1.4643844341999515,20
critical_ising,26,1.473815381077404,20
critical_ising,27,1.4828903306960814,20
critical_ising,28,1.4916351853326626,20
critical_ising,29,1.500073119166637,20
critical_ising,30,1.5082249484396277,20
critical_ising,31,1.5161094408873077,20
critical_ising,32,1.5237435760194389,20
critical_ising,33,1.5311427653298608,20
critical_ising,34,1.5383210396189892,20
critical_ising,35,1.5452912091521638,20
critical_ising,36,1.5520650012471424,20
critical_ising,37,1.5586531790047264,20
critical_ising,38,1.5650656442004955,20
critical_ising,39,1.5713115268083677,20
critical_ising,40,1.5773992631851157,20
critical_ising,41,1.5833366646009648,20
critical_ising,42,1.5891309775082143,20
critical_ising,43,1.5947889367170274,20
critical_ising,44,1.6003168124581866,20
critical_ising,45,1.605720452153585,20
critical_ising,46,1.6110053175983516,20
critical_ising,47,1.6161765181393375,20
critical_ising,48,1.6212388403649844,20
critical_ising,49,1.6261967747284838,20
critical_ising,50,1.6310545394855192,20
critical_ising,51,1.6358161022584452,20
critical_ising,52,1.6404851995064011,20
critical_ising,53,1.6450653541422482,20
critical_ising,54,1.6495598915018062,20
critical_ising,55,1.653971953847103,20
critical_ising,56,1.6583045135633956,20
critical_ising,57,1.6625603851888526,20
critical_ising,58,1.6667422363958762,20
critical_ising,59,1.670852598034906,20
critical_ising,60,1.6748938733355354,20
critical_ising,61,1.6788683463435112,20
critical_ising,62,1.6827781896752287,20
critical_ising,63,1.6866254716494358,20
critical_ising,64,1.6904121628575361,20
critical_ising,65,1.6941401422276114,20
critical_ising,66,1.6978112026191676,20
critical_ising,67,1.7014270560032771,20
critical_ising,68,1.7049893382566845,20
critical_ising,69,1.708499613604136,20
critical_ising,70,1.7119593787445584,20
critical_ising,71,1.7153700666807854,20
critical_ising,72,1.7187330502859253,20
critical_ising,73,1.7220496456189187,20
critical_ising,74,1.7253211150170524,20
critical_ising,75,1.7285486699824884,20
critical_ising,76,1.731733473873689,20
critical_ising,77,1.7348766444237325,20
critical_ising,78,1.7379792560951492,20
critical_ising,79,1.7410423422863484,20
critical_ising,80,1.7440668973959208,20
critical_ising,81,1.7470538787620333,20
critical_ising,82,1.75000420848076,20
critical_ising,83,1.7529187751156485,20
critical_ising,84,1.7557984353034681,20
critical_ising,85,1.7586440152656466,20
critical_ising,86,1.7614563122321822,20
critical_ising,87,1.7642360957813679,20
critical_ising,88,1.7669841091056533,20
critical_ising,89,1.7697010702016436,20
critical_ising,90,1.7723876729979071,20
critical_ising,91,1.7750445884196604,20
critical_ising,92,1.7776724653918028,20
critical_ising,93,1.7802719317938318,20
critical_ising,94,1.7828435953572737,20
critical_ising,95,1.785388044518989,20
critical_ising,96,1.787905849230837,20
critical_ising,97,1.790397561725663,20
critical_ising,98,1.7928637172432058,20
critical_ising,99,1.7953048347199931,20
critical_ising,100,1.7977214174465295,20
critical_xx,1,1.0,20
critical_xx,2,1.3675209157381039,20
critical_xx,3,1.5714494641609695,20
critical_xx,4,1.712215030110728,20
critical_xx,5,1.8203637341207397,20
critical_xx,6,1.9084204941840468,20
critical_xx,7,1.9827583817988417,20
critical_xx,8,2.047101238763525,20
