n_sites,hilbert_dimension,ground_energy,spectral_gap,parity_expectation_real,parity_expectation_imag_abs,parity_eigenstate_residual,hamiltonian_parity_commutator_norm,max_majorana_parity_anticommutator_norm,max_odd_majorana_expectation_abs
4,16,-4.755851777650321,0.5946020826771807,0.9999999999999999,0.0,2.856221710750112e-16,0.0,0.0,1.6774089933959158e-16
6,64,-7.048804475009554,0.49167432666455646,1.0000000000000018,0.0,1.7571800347198923e-15,0.0,0.0,1.5419484746988978e-16
8,256,-9.365204456437201,0.44810298381372604,0.999999999999999,0.0,1.3309717527170031e-15,0.0,0.0,6.204586009806193e-16
