block_length,covariance_dimension,density_spectrum_dimension,mode_entropy_bits,explicit_spectrum_entropy_bits,entropy_identity_error,spectrum_normalization_error,quadrature_convergence_error
4,8,16,1.023550623739169,1.0235506237391683,6.661338147750939e-16,1.1102230246251565e-16,4.357404659316444e-09
8,16,256,1.1903658344306434,1.190365834430641,2.4424906541753444e-15,1.1102230246251565e-16,1.7618927428131315e-08
12,24,4096,1.2878860464892896,1.287886046489287,2.6645352591003757e-15,5.551115123125783e-16,3.972059037238296e-08
16,32,65536,1.3570681473680324,1.3570681473680395,7.105427357601002e-15,2.220446049250313e-16,7.066290708124257e-08
