model,ell,integral_value,printed_literal_value,independent_closed_form_value,printed_absolute_error,closed_form_absolute_error
critical_xx_zero_field,0,3.3881317890172014e-20,-1.5,0.0,1.5,3.3881317890172014e-20
critical_ising,0,-0.6366197724285363,0.0,-0.6366197723675814,0.6366197724285363,6.095490778790236e-11
critical_xx_zero_field,1,0.6366197726114011,0.6366197723675814,0.6366197723675814,2.438197421739119e-10,2.438197421739119e-10
critical_ising,1,-0.21220659097205852,-2.0,-0.2122065907891938,1.7877934090279415,1.8286472336370707e-10
critical_xx_zero_field,2,2.1816520519527336e-20,3.8981718325193755e-17,3.8981718325193755e-17,3.895990180467423e-17,3.895990180467423e-17
critical_ising,2,-0.12732395477829087,0.0,-0.12732395447351627,0.12732395477829087,3.04774594450663e-10
critical_xx_zero_field,3,-0.21220659152065283,-0.2122065907891938,-0.2122065907891938,7.314590322327064e-10,7.314590322327064e-10
critical_ising,3,-0.09094568219348173,-0.6666666666666666,-0.09094568176679733,0.5757209844731849,4.266843961486799e-10
critical_xx_zero_field,4,-8.01637288388706e-20,-3.8981718325193755e-17,-3.8981718325193755e-17,3.8901554596354886e-17,3.8901554596354886e-17
critical_ising,4,-0.07073553081165886,0.0,-0.0707355302630646,0.07073553081165886,5.485942533578481e-10
critical_xx_zero_field,5,0.1273239556926147,0.12732395447351627,0.12732395447351627,1.2190984333138033e-09,1.2190984333138033e-09
critical_ising,5,-0.05787452543119332,-0.4,-0.057874524760689224,0.3421254745688067,6.705040966892284e-10
