a,gamma,block_length,entropy_bits,mode_min,mode_max,quadrature_points
0,1.0,1,0,1,1,65536
0,1.0,2,0,1,1,65536
0,1.0,3,0,1,1,65536
0,1.0,4,0,1,1,65536
0,1.0,5,0,1,1,65536
0,1.0,6,0,1,1,65536
0,1.0,7,0,1,1,65536
0,1.0,8,0,1,1,65536
0,1.0,9,0,1,1,65536
0,1.0,10,0,1,1,65536
0,1.0,11,0,1,1,65536
0,1.0,12,0,1,1,65536
0,1.0,13,0,1,1,65536
0,1.0,14,0,1,1,65536
0,1.0,15,0,1,1,65536
0,1.0,16,0,1,1,65536
0,1.0,17,0,1,1,65536
0,1.0,18,0,1,1,65536
0,1.0,19,0,1,1,65536
0,1.0,20,0,1,1,65536
0.02,1.0,1,0.000786572155002773,0.99989999249875,0.99989999249875,65536
0.02,1.0,2,0.000836638823007749,0.999948991148918,0.999950991348956,65536
0.02,1.0,3,0.000836653264733715,0.999949972495686,0.999999999999938,65536
0.02,1.0,4,0.000836653269862529,0.999949990897799,0.99999999999997,65536
0.02,1.0,5,0.000836653269833783,0.999949991241279,1,65536
0.02,1.0,6,0.000836653269855838,0.999949991247719,1,65536
0.02,1.0,7,0.000836653269891973,0.99994999124784,1,65536
0.02,1.0,8,0.000836653269920191,0.999949991247843,1,65536
0.02,1.0,9,0.000836653269871112,0.999949991247843,1,65536
0.02,1.0,10,0.000836653269882521,0.999949991247843,1,65536
0.02,1.0,11,0.0008366532699135,0.999949991247843,1,65536
0.02,1.0,12,0.000836653269889296,0.999949991247843,1,65536
0.02,1.0,13,0.000836653269907972,0.999949991247843,1,65536
0.02,1.0,14,0.00083665326988731,0.999949991247843,1,65536
0.02,1.0,15,0.000836653269911716,0.999949991247843,1,65536
0.02,1.0,16,0.000836653269919457,0.999949991247843,1,65536
0.02,1.0,17,0.000836653269919713,0.999949991247843,1,65536
0.02,1.0,18,0.000836653269995219,0.999949991247843,1,65536
0.02,1.0,19,0.000836653269947939,0.999949991247843,1,65536
0.02,1.0,20,0.000836653270068594,0.999949991247843,1,65536
0.04,1.0,1,0.00274679035261631,0.99959987991993,0.99959987991993,65536
0.04,1.0,2,0.00294769721074162,0.999791856729539,0.999807863134343,65536
0.04,1.0,3,0.00294792883596789,0.9997995597238,0.999999999996005,65536
0.04,1.0,4,0.00294792916347232,0.999799848656238,0.999999999998155,65536
0.04,1.0,5,0.00294792916394233,0.999799859441621,1,65536
0.04,1.0,6,0.002947929163943,0.999799859845995,1,65536
0.04,1.0,7,0.00294792916395796,0.999799859861242,1,65536
0.04,1.0,8,0.00294792916395649,0.999799859861821,1,65536
0.04,1.0,9,0.00294792916397662,0.999799859861842,1,65536
0.04,1.0,10,0.00294792916396083,0.999799859861843,1,65536
0.04,1.0,11,0.00294792916397521,0.999799859861843,1,65536
0.04,1.0,12,0.00294792916396829,0.999799859861843,1,65536
0.04,1.0,13,0.00294792916404446,0.999799859861843,1,65536
0.04,1.0,14,0.00294792916397852,0.999799859861842,1,65536
0.04,1.0,15,0.00294792916400159,0.999799859861843,1,65536
0.04,1.0,16,0.00294792916403002,0.999799859861843,1,65536
0.04,1.0,17,0.00294792916405548,0.999799859861842,1,65536
0.04,1.0,18,0.00294792916405728,0.999799859861843,1,65536
0.04,1.0,19,0.00294792916401603,0.999799859861842,1,65536
0.04,1.0,20,0.0029479291640253,0.999799859861843,1,65536
0.06,1.0,1,0.00565545275129645,0.999099391586952,0.999099391586952,65536
0.06,1.0,2,0.00610957108286972,0.999522266132829,0.999576314815015,65536
0.06,1.0,3,0.00611074769933009,0.999547769351061,0.99999999995456,65536
0.06,1.0,4,0.00611075143965504,0.999549204528202,0.99999999997983,65536
0.06,1.0,5,0.00611075145155368,0.999549284884306,1,65536
0.06,1.0,6,0.00611075145159307,0.999549289403092,1,65536
0.06,1.0,7,0.0061107514515941,0.999549289658657,1,65536
0.06,1.0,8,0.00611075145159275,0.999549289673188,1,65536
0.06,1.0,9,0.0061107514516268,0.999549289674019,1,65536
0.06,1.0,10,0.00611075145163262,0.999549289674066,1,65536
0.06,1.0,11,0.0061107514516577,0.999549289674068,1,65536
0.06,1.0,12,0.00611075145164999,0.999549289674069,1,65536
0.06,1.0,13,0.00611075145168203,0.999549289674069,1,65536
0.06,1.0,14,0.00611075145164044,0.999549289674069,1,65536
0.06,1.0,15,0.0061107514516503,0.999549289674069,1,65536
0.06,1.0,16,0.0061107514516456,0.999549289674069,1,65536
0.06,1.0,17,0.00611075145174302,0.999549289674068,1,65536
0.06,1.0,18,0.00611075145170905,0.999549289674069,1,65536
0.06,1.0,19,0.00611075145172676,0.999549289674068,1,65536
0.06,1.0,20,0.00611075145173506,0.999549289674069,1,65536
0.08,1.0,1,0.00939376483657864,0.998398074862007,0.998398074862007,65536
0.08,1.0,2,0.0102057227886378,0.999133652924484,0.999261858341188,65536
0.08,1.0,3,0.0102094571999805,0.999192942284715,0.99999999974522,65536
0.08,1.0,4,0.010209478283333,0.999197392008456,0.999999999891249,65536
0.08,1.0,5,0.0102094784024872,0.999197724190672,1,65536
0.08,1.0,6,0.0102094784031874,0.999197749095715,1,65536
0.08,1.0,7,0.0102094784031914,0.999197750973609,1,65536
0.08,1.0,8,0.0102094784032065,0.999197751115971,1,65536
0.08,1.0,9,0.0102094784031658,0.999197751126815,1,65536
0.08,1.0,10,0.010209478403162,0.999197751127644,1,65536
0.08,1.0,11,0.0102094784032401,0.999197751127707,1,65536
0.08,1.0,12,0.0102094784032152,0.999197751127712,1,65536
0.08,1.0,13,0.0102094784032491,0.999197751127712,1,65536
0.08,1.0,14,0.0102094784032467,0.999197751127712,1,65536
0.08,1.0,15,0.0102094784032835,0.999197751127713,1,65536
0.08,1.0,16,0.0102094784033014,0.999197751127712,1,65536
0.08,1.0,17,0.0102094784033534,0.999197751127712,1,65536
0.08,1.0,18,0.0102094784032776,0.999197751127712,1,65536
0.08,1.0,19,0.0102094784033254,0.999197751127712,1,65536
0.08,1.0,20,0.0102094784033127,0.999197751127712,1,65536
0.1,1.0,1,0.0138797515018342,0.997495292861261,0.997495292861261,65536
0.1,1.0,2,0.0151569460156565,0.998619200584409,0.998869828531299,65536
0.1,1.0,3,0.0151661077962085,0.998732744810873,0.999999999030679,65536
0.1,1.0,4,0.0151661885172478,0.998743400131635,0.99999999960205,65536
0.1,1.0,5,0.015166189230054,0.998744394438044,0.999999999999999,65536
0.1,1.0,6,0.0151661892364709,0.998744487616396,1,65536
0.1,1.0,7,0.0151661892365359,0.998744496398087,1,65536
0.1,1.0,8,0.015166189236522,0.998744497230196,1,65536
0.1,1.0,9,0.0151661892365531,0.998744497309418,1,65536
0.1,1.0,10,0.0151661892365515,0.998744497316991,1,65536
0.1,1.0,11,0.0151661892366041,0.998744497317718,1,65536
0.1,1.0,12,0.0151661892366168,0.998744497317788,1,65536
