block_length,covariance_dimension,dominant_dense_eigensolver_cost_scale,fine_quadrature_points,coarse_quadrature_points,fine_entropy_bits,coarse_entropy_bits,absolute_difference
20,40,64000,65536,32768,1.4107270603782094,1.410726949932619,1.1044559045103597e-07
40,80,512000,65536,32768,1.5773992631851157,1.5773988212156345,4.4196948123520485e-07
80,160,4096000,65536,32768,1.7440668973959208,1.7440651293279772,1.768067943608287e-06
