model,block_length,spectrum_dimension,normalization_error,covariance_entropy_bits,explicit_spectrum_entropy_bits,entropy_identity_error,largest_eigenvalue,smallest_eigenvalue,purity
critical_ising,2,4,0.0,0.856107516093395,0.8561075160933953,3.3306690738754696e-16,0.7676557836749489,0.0025340394747654592,0.6382240008318906
critical_ising,4,16,1.1102230246251565e-16,1.023550623739169,1.0235506237391683,6.661338147750939e-16,0.7201581531918466,1.352514248083355e-10,0.5817166985289507
critical_ising,6,64,2.220446049250313e-16,1.1211553521168691,1.1211553521168693,2.220446049250313e-16,0.6940638030213898,1.1531447995668199e-22,0.5517531749008097
critical_ising,8,256,1.1102230246251565e-16,1.1903658344306434,1.190365834430641,2.4424906541753444e-15,0.6762747760095571,1.5283068606887167e-39,0.5316634555518072
critical_ising,10,1024,0.0,1.2440376995748332,1.244037699574832,1.3322676295501878e-15,0.6628699633801033,3.032105043819832e-61,0.5166836594137942
critical_ising,12,4096,5.551115123125783e-16,1.2878860464892896,1.287886046489287,2.6645352591003757e-15,0.6521617461736547,0.0,0.5048084506128051
critical_ising,14,16384,0.0,1.324957025268775,1.324957025268779,3.9968028886505635e-15,0.6432734883681214,0.0,0.4950104189089909
critical_ising,16,65536,2.220446049250313e-16,1.3570681473680324,1.3570681473680395,7.105427357601002e-15,0.635693040287005,0.0,0.4866951309312218
gapped_ising,2,4,0.0,0.2480232883509343,0.24802328835093457,2.7755575615628914e-16,0.9652666257283107,0.00023568513063945983,0.9324748068668985
gapped_ising,4,16,2.220446049250313e-16,0.2559628494741317,0.25596284947413284,1.1102230246251565e-15,0.9649986521748354,3.4305199162000318e-15,0.9318309147566401
gapped_ising,6,64,2.220446049250313e-16,0.2563268895623309,0.2563268895623318,8.881784197001252e-16,0.9649906625168561,2.9755268957703552e-33,0.9318089927351092
gapped_ising,8,256,2.220446049250313e-16,0.2563455624308442,0.25634556243084516,9.43689570931383e-16,0.9649903435691501,1.522380609204635e-58,0.9318080500647667
gapped_ising,10,1024,0.0,0.2563465745921926,0.2563465745921872,5.440092820663267e-15,0.9649903290758045,0.0,0.9318080051426216
gapped_ising,12,4096,2.220446049250313e-16,0.25634663123324114,0.2563466312332462,5.051514762044462e-15,0.9649903283675613,0.0,0.9318080028735931
gapped_ising,14,16384,2.220446049250313e-16,0.2563466344673277,0.256346634467329,1.3322676295501878e-15,0.964990328331312,0.0,0.931808002754597
gapped_ising,16,65536,3.3306690738754696e-16,0.25634663465455043,0.2563466346545484,2.0539125955565396e-15,0.9649903283293972,0.0,0.9318080027481915
