length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
64,0.1,2,0.0980171403295606,1.8822653772041253,0.08980092396214516,12,60.0
64,0.1,3,0.14673047445536175,2.7396319291649114,0.12853511585117755,12,60.0
64,0.1,4,0.19509032201612825,3.5362733687020325,0.30074237248360713,12,60.0
64,0.1,5,0.24298017990326387,4.305057680060224,0.36822438857427964,12,60.0
64,0.1,6,0.29028467725446233,4.9788297454669115,0.3997915008465264,12,60.0
64,0.1,7,0.33688985339222005,5.5677832994617065,0.3984631278553371,12,60.0
64,0.1,9,0.4275550934302821,6.8005882825888255,0.5979985856591957,12,60.0
64,0.1,10,0.47139673682599764,7.377357895326821,0.6164546080911512,12,60.0
64,0.1,12,0.5555702330196022,8.392577960886166,0.66828632226272,12,60.0
64,0.1,14,0.6343932841636455,9.364681348923325,0.6041773202988832,12,60.0
64,0.1,17,0.7409511253549591,10.674008603279313,0.7897726896454037,12,60.0
64,0.1,20,0.8314696123025452,11.592245678494173,0.7397769652360621,12,60.0
64,0.1,23,0.9039892931234433,12.372656728135738,0.7254621616502563,12,60.0
64,0.1,27,0.970031253194544,13.051661458812752,0.7150509817798802,12,60.0
64,0.1,32,1.0,13.265411600196996,0.5628821467329399,12,60.0
64,0.15,2,0.0980171403295606,1.8305670151776334,0.0919761170923479,12,40.0
64,0.15,3,0.14673047445536175,2.664509084419605,0.1337254496677293,12,40.0
64,0.15,4,0.19509032201612825,3.420004727597125,0.21772340324118133,12,40.0
64,0.15,5,0.24298017990326387,4.102142795224817,0.40743345777568374,12,40.0
64,0.15,6,0.29028467725446233,4.812842828659362,0.5057500410759853,12,40.0
64,0.15,7,0.33688985339222005,5.449389444363842,0.5069681687488415,12,40.0
64,0.15,9,0.4275550934302821,6.52498263431139,0.633991204128174,12,40.0
64,0.15,10,0.47139673682599764,7.004160165706989,0.7076986259023026,12,40.0
64,0.15,12,0.5555702330196022,7.962408062509989,0.8853505578764101,12,40.0
64,0.15,14,0.6343932841636455,8.85702498368595,0.9818931967515806,12,40.0
64,0.15,17,0.7409511253549591,9.89256297996029,0.9259148976688926,12,40.0
64,0.15,20,0.8314696123025452,10.658304644080612,0.7949038449289211,12,40.0
64,0.15,23,0.9039892931234433,11.458083129751921,1.0293646063456825,12,40.0
64,0.15,27,0.970031253194544,11.949763873711092,0.9263337284906986,12,40.0
64,0.15,32,1.0,12.276952958894498,1.0163884542564183,12,40.0
64,0.2,2,0.0980171403295606,1.709832047157313,0.32499981300309294,12,30.0
64,0.2,3,0.14673047445536175,2.439612515910707,0.3708255341785281,12,30.0
64,0.2,4,0.19509032201612825,3.1415914048174245,0.36491203719150866,12,30.0
64,0.2,5,0.24298017990326387,3.860242499875225,0.4401323763977665,12,30.0
64,0.2,6,0.29028467725446233,4.436967783822055,0.5717125986488806,12,30.0
64,0.2,7,0.33688985339222005,4.819633930859844,0.683909612531484,12,30.0
64,0.2,9,0.4275550934302821,5.885909210797067,0.6785597018837694,12,30.0
64,0.2,10,0.47139673682599764,6.331669455627007,0.70701277139207,12,30.0
64,0.2,12,0.5555702330196022,7.324167891433539,0.8223872317689152,12,30.0
64,0.2,14,0.6343932841636455,8.180669179941669,1.0078087446363917,12,30.0
64,0.2,17,0.7409511253549591,9.15413925242826,0.9578260912710104,12,30.0
64,0.2,20,0.8314696123025452,9.705136561592385,0.9740245670481376,12,30.0
64,0.2,23,0.9039892931234433,10.118315062776995,1.1562329262090045,12,30.0
64,0.2,27,0.970031253194544,10.520358185269497,1.216913009384853,12,30.0
64,0.2,32,1.0,10.856558213553017,1.0615006801972118,12,30.0
64,0.25,2,0.0980171403295606,1.686854674210818,0.3814139301258608,12,24.0
64,0.25,3,0.14673047445536175,2.365694719196813,0.4233883029250235,12,24.0
64,0.25,4,0.19509032201612825,2.9814307008090206,0.4543200877670185,12,24.0
64,0.25,5,0.24298017990326387,3.664612959534894,0.5178357568086523,12,24.0
64,0.25,6,0.29028467725446233,4.177775445289349,0.5897252417532907,12,24.0
64,0.25,7,0.33688985339222005,4.5573081338925014,0.5186574580515084,12,24.0
64,0.25,9,0.4275550934302821,5.429793906469161,0.7582968273757003,12,24.0
64,0.25,10,0.47139673682599764,5.972345320477728,0.7483405904261716,12,24.0
64,0.25,12,0.5555702330196022,6.6604065427643135,0.8853666612645716,12,24.0
64,0.25,14,0.6343932841636455,7.362699565976545,0.8497067214596874,12,24.0
64,0.25,17,0.7409511253549591,8.17952180560571,0.8206112710526133,12,24.0
64,0.25,20,0.8314696123025452,8.823196262335713,0.795296360123654,12,24.0
64,0.25,23,0.9039892931234433,9.154712354941113,0.8639548910525341,12,24.0
64,0.25,27,0.970031253194544,9.61471848465278,1.1565719415897944,12,24.0
64,0.25,32,1.0,9.873333421162926,1.2876606472784096,12,24.0
64,0.3,2,0.0980171403295606,1.6100208570956518,0.34459107792786187,12,20.0
64,0.3,3,0.14673047445536175,2.3383919927010908,0.3640453345020889,12,20.0
64,0.3,4,0.19509032201612825,3.005342713673229,0.4296532142313584,12,20.0
64,0.3,5,0.24298017990326387,3.528813659651734,0.6220007937451824,12,20.0
64,0.3,6,0.29028467725446233,4.084329475954081,0.6565786596068999,12,20.0
64,0.3,7,0.33688985339222005,4.539810508417571,0.5648492528294717,12,20.0
64,0.3,9,0.4275550934302821,5.232140383196514,0.4030611434297363,12,20.0
64,0.3,10,0.47139673682599764,5.5692984046913,0.4785366288833188,12,20.0
64,0.3,12,0.5555702330196022,6.100137406438473,0.6392725516833773,12,20.0
64,0.3,14,0.6343932841636455,6.386299988914267,0.7538410090032011,12,20.0
64,0.3,17,0.7409511253549591,7.007899795320856,0.787152164919197,12,20.0
64,0.3,20,0.8314696123025452,7.528234860545992,0.9259609082557899,12,20.0
64,0.3,23,0.9039892931234433,7.9967388721219725,0.9522525661258877,12,20.0
64,0.3,27,0.970031253194544,8.371125784539295,0.9248379440099183,12,20.0
64,0.3,32,1.0,8.799018631737002,1.0756033403179632,12,20.0
64,0.4,2,0.0980171403295606,1.6775714065953051,0.22503965213789684,12,20.0
64,0.4,3,0.14673047445536175,2.3869861985319347,0.3719151745512745,12,20.0
