protocol,length,gamma,distance,scaled_distance,mean_correlation,std_correlation,trajectories
qsd,32,0.0,1,0.9983943930356184,0.005184713027048172,0.0,1
qsd,32,0.0,2,1.9871737022884115,1.0015616875161461e-05,0.0,1
qsd,32,0.0,3,2.956815442488522,0.0017950710123393202,0.0,1
qsd,32,0.0,4,3.8979814336177308,0.013651059473763145,0.0,1
qsd,32,0.0,5,4.801607732687796,0.0037799535021584858,0.0,1
qsd,32,0.0,6,5.658991924466292,0.0013325488886320636,0.0,1
qsd,32,0.0,7,6.461876930492518,0.003922143625782953,0.0,1
qsd,32,0.0,8,7.2025305292568484,0.027375475581603727,0.0,1
qsd,32,0.0,9,7.873819821720744,0.0060871533444550666,0.0,1
qsd,32,0.0,11,8.983176232889269,0.017346429695994987,0.0,1
qsd,32,0.0,12,9.410559642918447,0.005613186888922596,0.0,1
qsd,32,0.0,14,9.990196831228465,2.172987518309921e-05,0.0,1
qsd,32,0.0,16,10.185916357881302,0.021787264250347514,0.0,1
qsd,32,0.05,1,0.9983943930356184,0.010307433764791044,0.0027013582193851503,8
qsd,32,0.05,2,1.9871737022884115,0.009428385279685004,0.001840081653966716,8
qsd,32,0.05,3,2.956815442488522,0.007091524696205807,0.0016350976364112304,8
qsd,32,0.05,4,3.8979814336177308,0.007275767702059278,0.0016153264611390606,8
qsd,32,0.05,5,4.801607732687796,0.007158895804959419,0.0018111181219580442,8
qsd,32,0.05,6,5.658991924466292,0.0076844884383995005,0.0023564237362303656,8
qsd,32,0.05,7,6.461876930492518,0.007879902874424761,0.0012960792351571879,8
qsd,32,0.05,8,7.2025305292568484,0.007615754540613319,0.0023305959312355353,8
qsd,32,0.05,9,7.873819821720744,0.006807321952007488,0.001448803499780547,8
qsd,32,0.05,11,8.983176232889269,0.0065582152953276495,0.001618100215487078,8
qsd,32,0.05,12,9.410559642918447,0.005982052598158029,0.0009268477540501621,8
qsd,32,0.05,14,9.990196831228465,0.006198042770939577,0.0020969480409089004,8
qsd,32,0.05,16,10.185916357881302,0.005820607803454034,0.0019657352586851277,8
qsd,32,0.1,1,0.9983943930356184,0.01673308711369492,0.003530747593457702,8
