protocol,length,gamma,block,gap,eta,mean_mutual_information,std_mutual_information,trajectories
qsd,96,0.25,2,1,0.44523879638753144,0.2295570484282673,0.18060568214840536,8
qsd,96,0.25,2,2,0.2510739863794532,0.1674023146825298,0.2144224452350396,8
qsd,96,0.25,2,4,0.11238946512589537,0.1231212831495917,0.10146377153288284,8
qsd,96,0.25,2,6,0.06385642403746912,0.07678599294674932,0.07410814383586141,8
qsd,96,0.25,2,8,0.04139983989214574,0.0612159029942036,0.0407394891673952,8
qsd,96,0.25,2,12,0.021866807775402806,0.07259760664467668,0.06528818391327959,8
qsd,96,0.25,2,16,0.013858592292389631,0.033438608507888545,0.020314480590873128,8
qsd,96,0.25,2,24,0.00756739532888626,0.0310199394934792,0.03614263146876759,8
qsd,96,0.25,4,1,0.6420624996209334,0.6011254536398156,0.18368633842593554,8
qsd,96,0.25,4,2,0.4476348455950307,0.4836884615970941,0.14095973178259763,8
qsd,96,0.25,4,4,0.2543330950302498,0.3132113838172095,0.15887702592710112,8
qsd,96,0.25,4,6,0.1648909968298242,0.3029532186377695,0.09959704799140609,8
qsd,96,0.25,4,8,0.11633650601051979,0.3129461406332744,0.17260304416530192,8
qsd,96,0.25,4,12,0.06814834742186342,0.1699525907042152,0.061198664701031184,8
qsd,96,0.25,4,16,0.0459728133673441,0.15177172546439488,0.13119313065779137,8
qsd,96,0.25,4,24,0.027068365261471425,0.15568050288553315,0.16750463763375298,8
qsd,96,0.25,6,1,0.7381217014785784,1.0216176709391591,0.20394341007889144,8
qsd,96,0.25,6,2,0.5681709043275456,0.8121096455101278,0.15018795780386765,8
qsd,96,0.25,6,4,0.36836050287961475,0.7894376057187391,0.27945477727747803,8
qsd,96,0.25,6,6,0.259891532474145,0.7272176074541676,0.33957391090106886,8
qsd,96,0.25,6,8,0.19456278887801673,0.6400600048887584,0.2707512049922572,8
qsd,96,0.25,6,12,0.123308641756286,0.4279379943163091,0.20788476896858457,8
qsd,96,0.25,6,16,0.08754774072271797,0.3296529098065507,0.17499938496696105,8
qsd,96,0.25,6,24,0.05505270816654587,0.26672228809485543,0.11569262455186205,8
qsd,96,0.25,8,1,0.7949580965545048,1.8272434174619498,0.35333798088218854,8
qsd,96,0.25,8,2,0.6483269383806006,1.6286049238414426,0.4339418620377106,8
qsd,96,0.25,8,4,0.45741788341262857,1.3414048129661393,0.4736266410169514,8
qsd,96,0.25,8,6,0.34243708608819046,1.078456463830962,0.26304464907319514,8
qsd,96,0.25,8,8,0.2679491924311227,0.8789153908704456,0.1298987786199377,8
qsd,96,0.25,8,12,0.18075828221205817,0.6388904988417967,0.29478177465691496,8
qsd,96,0.25,8,16,0.13397459621556135,0.5711205233682568,0.27526843393434186,8
qsd,96,0.25,8,24,0.0893163974770409,0.44173926218147974,0.1542975462777272,8
qsd,96,6.0,2,1,0.44523879638753144,0.001780115276634767,0.0029055145484318404,8
qsd,96,6.0,2,2,0.2510739863794532,0.0018445997921980994,0.002638700710121277,8
qsd,96,6.0,2,4,0.11238946512589537,2.7080184753526786e-06,4.560074096495024e-06,8
qsd,96,6.0,2,6,0.06385642403746912,1.7058098000528182e-08,3.019675006971809e-08,8
qsd,96,6.0,2,8,0.04139983989214574,3.7103476163875826e-09,9.816811381515194e-09,8
qsd,96,6.0,2,12,0.021866807775402806,2.2783820186403347e-13,4.4293253132975074e-13,8
qsd,96,6.0,2,16,0.013858592292389631,2.291569711765362e-15,3.864505169916434e-15,8
qsd,96,6.0,2,24,0.00756739532888626,4.0722633598555547e-16,5.477208061319241e-15,8
qsd,96,6.0,4,1,0.6420624996209334,0.03581788451467071,0.07501027068823507,8
qsd,96,6.0,4,2,0.4476348455950307,0.0019120175821745774,0.003154577539326482,8
qsd,96,6.0,4,4,0.2543330950302498,1.3251833291697511e-05,2.6255101418767866e-05,8
qsd,96,6.0,4,6,0.1648909968298242,7.262961636244009e-06,2.0512604719611435e-05,8
qsd,96,6.0,4,8,0.11633650601051979,2.3625878405927198e-06,6.667009917822344e-06,8
qsd,96,6.0,4,12,0.06814834742186342,2.0783374370461627e-11,5.863428201623196e-11,8
qsd,96,6.0,4,16,0.0459728133673441,-1.3062467774105357e-15,2.0378288725823465e-14,8
qsd,96,6.0,4,24,0.027068365261471425,1.547373340571312e-15,2.5711863803203713e-14,8
qsd,96,6.0,6,1,0.7381217014785784,0.0031422459648988398,0.004472325198016125,8
qsd,96,6.0,6,2,0.5681709043275456,0.0006743047583730429,0.001375603010636595,8
qsd,96,6.0,6,4,0.36836050287961475,0.0004047256785393474,0.0011032479063723688,8
qsd,96,6.0,6,6,0.259891532474145,0.000155286743331845,0.00043914926302135915,8
qsd,96,6.0,6,8,0.19456278887801673,3.441731623361581e-06,9.733300338910839e-06,8
qsd,96,6.0,6,12,0.123308641756286,1.6909639487250328e-11,4.7033112440623207e-11,8
qsd,96,6.0,6,16,0.08754774072271797,9.710114656780178e-15,5.498284366377563e-14,8
qsd,96,6.0,6,24,0.05505270816654587,6.957108500404985e-15,2.8115467712092165e-14,8
qsd,96,6.0,8,1,0.7949580965545048,0.01628017002198901,0.040857735232658135,8
qsd,96,6.0,8,2,0.6483269383806006,0.014486359387187933,0.04075378077395574,8
qsd,96,6.0,8,4,0.45741788341262857,0.005714002173556288,0.016159685222787948,8
qsd,96,6.0,8,6,0.34243708608819046,7.681550779797797e-06,2.1709188525716253e-05,8
qsd,96,6.0,8,8,0.2679491924311227,1.7343779925194265e-07,4.894690517209723e-07,8
qsd,96,6.0,8,12,0.18075828221205817,8.32322492178017e-14,1.3255241630874634e-13,8
qsd,96,6.0,8,16,0.13397459621556135,-5.470016800623867e-15,3.246453283560448e-14,8
qsd,96,6.0,8,24,0.0893163974770409,8.577990748270814e-15,6.47922933304403e-14,8
