protocol,length,gamma,trajectory,half_entropy,t_final
qsd,64,0.25,0,9.83744114712369,24.0
qsd,64,0.25,1,6.760692603438999,24.0
qsd,64,0.25,2,8.76441568048001,24.0
qsd,64,0.25,3,8.480421095633277,24.0
qsd,64,0.25,4,8.071393793644354,24.0
qsd,64,0.25,5,8.056386302147573,24.0
qsd,64,0.25,6,9.075481750668786,24.0
qsd,64,0.25,7,8.343165737489773,24.0
qsd,64,0.25,8,9.141357639859876,24.0
qsd,64,0.25,9,9.076415002407108,24.0
qsd,64,0.25,10,8.5835026009739,24.0
qsd,64,0.25,11,8.001763329219933,24.0
qsd,64,0.25,12,8.125288784357743,24.0
qsd,64,0.25,13,8.498091779485804,24.0
qsd,64,0.25,14,8.00617434441552,24.0
qsd,64,0.25,15,8.513114767612215,24.0
qsd,64,0.25,16,8.779866276108368,24.0
qsd,64,0.25,17,8.808487939798297,24.0
qsd,64,0.25,18,9.64397852440322,24.0
qsd,64,0.25,19,8.275580370405688,24.0
qsd,64,0.25,20,8.407672443656583,24.0
qsd,64,0.25,21,8.403902810134552,24.0
qsd,64,0.25,22,8.351225958798102,24.0
qsd,64,0.25,23,8.020712950003844,24.0
qsd,64,0.25,24,8.312226474976091,24.0
qsd,64,0.25,25,7.934229312722472,24.0
qsd,64,0.25,26,8.790094457579873,24.0
qsd,64,0.25,27,8.910790923927864,24.0
qsd,64,0.25,28,7.644505004052132,24.0
qsd,64,0.25,29,8.969657169384874,24.0
qsd,64,0.25,30,8.111069427722297,24.0
qsd,64,0.25,31,8.224036107119641,24.0
qsd,64,0.25,32,8.76527131236881,24.0
qsd,64,0.25,33,8.593320303076823,24.0
qsd,64,0.25,34,8.564973948194503,24.0
qsd,64,0.25,35,7.439203089822616,24.0
qsd,64,0.25,36,7.8628639743823525,24.0
qsd,64,0.25,37,8.966867035074987,24.0
qsd,64,0.25,38,8.25103824102588,24.0
qsd,64,0.25,39,9.713399435120895,24.0
qsd,64,0.25,40,8.99776020989324,24.0
qsd,64,0.25,41,8.077002916817047,24.0
qsd,64,0.25,42,8.928108417661397,24.0
qsd,64,0.25,43,7.853667872441969,24.0
qsd,64,0.25,44,8.300776509937803,24.0
qsd,64,0.25,45,7.768282158449024,24.0
qsd,64,0.25,46,9.072945372057134,24.0
qsd,64,0.25,47,8.052610453883837,24.0
qsd,64,0.25,48,9.082902782106437,24.0
qsd,64,0.25,49,8.412484055374627,24.0
qsd,64,0.25,50,8.220122761331613,24.0
qsd,64,0.25,51,8.773120353285755,24.0
qsd,64,0.25,52,8.22324378304409,24.0
qsd,64,0.25,53,8.30921520231414,24.0
qsd,64,0.25,54,8.593532085065087,24.0
qsd,64,0.25,55,8.833794594816252,24.0
qsd,64,0.25,56,9.094569481812005,24.0
qsd,64,0.25,57,7.0204531325783,24.0
qsd,64,0.25,58,8.804288256638085,24.0
qsd,64,0.25,59,8.589849655575104,24.0
qsd,64,0.25,60,9.156921196111362,24.0
qsd,64,0.25,61,9.158324409886056,24.0
qsd,64,0.25,62,9.384688612811011,24.0
qsd,64,0.25,63,8.166911876491223,24.0
qsd,64,0.25,64,8.840728069817908,24.0
qsd,64,0.25,65,7.8160738255803,24.0
qsd,64,0.25,66,7.682634055261792,24.0
qsd,64,0.25,67,8.194176887634034,24.0
qsd,64,0.25,68,8.185428012310435,24.0
qsd,64,0.25,69,8.368253725272144,24.0
qsd,64,0.25,70,8.833147148422178,24.0
qsd,64,0.25,71,8.303699208435358,24.0
qsd,64,0.25,72,9.165220930172547,24.0
qsd,64,0.25,73,9.40285502362324,24.0
qsd,64,0.25,74,8.479437935078597,24.0
qsd,64,0.25,75,7.626146284805245,24.0
qsd,64,0.25,76,8.494549003801776,24.0
qsd,64,0.25,77,7.1738661466505,24.0
qsd,64,0.25,78,6.821352143854277,24.0
qsd,64,0.25,79,8.064096774405456,24.0
qsd,64,0.25,80,8.796734917088884,24.0
qsd,64,0.25,81,8.737337871241092,24.0
qsd,64,0.25,82,8.32789510638736,24.0
qsd,64,0.25,83,6.922439489588911,24.0
qsd,64,0.25,84,8.622174162773018,24.0
qsd,64,0.25,85,8.04256844607388,24.0
qsd,64,0.25,86,9.835075610365301,24.0
qsd,64,0.25,87,7.964334157975577,24.0
qsd,64,0.25,88,9.832968483485486,24.0
qsd,64,0.25,89,8.68572322782067,24.0
qsd,64,0.25,90,8.370747382490915,24.0
