length,gamma,central_charge,residual_entropy,r_squared,trajectories
64,0.1,10.773523073780128,-3.442138437368284,0.9492617825518236,12
64,0.15,9.806687036907478,-2.908978328412433,0.9578815752678363,12
64,0.2,8.696834639403985,-2.450324623577822,0.9630219007122717,12
64,0.25,7.708463689317157,-1.9577104964490193,0.9655255093700991,12
64,0.3,6.382953464380153,-1.1440120619641558,0.9785063547682018,12
64,0.4,6.051575944860701,-0.9666727898309992,0.9810351285932183,12
64,0.5,4.36064881272589,-0.1804388654887201,0.9893214235153928,12
64,0.6,3.6006111660936586,0.01767308239600169,0.9918130297578376,12
64,0.8,2.87729154424727,-0.005041431034347624,0.9908199037374957,12
64,1.0,2.0788961726147983,0.5778200443405737,0.9784114108394724,12
64,2.0,0.3784309724367528,0.8119414449061172,0.6056477193491382,12
