protocol,length,gamma,mean_mutual_information,std_mutual_information,trajectories
qsd,32,0.0,0.9595160067430353,0.0,1
qsd,32,0.05,0.7254305913646915,0.3153054206278826,8
qsd,32,0.1,0.7317738916011456,0.3751138309963522,8
qsd,32,0.15,0.5980978219310822,0.22688138382476208,8
qsd,32,0.2,0.5467589688601723,0.16802171304083244,8
qsd,32,0.25,0.424734154687317,0.19748439874517068,8
qsd,32,0.3,0.5125096777038287,0.3010746511032589,8
qsd,32,0.35,0.28753785397275733,0.17069860357406857,8
qsd,32,0.4,0.2068249693553969,0.15622177910023805,8
qsd,32,0.5,0.3653201777368146,0.15201813332795666,8
qsd,32,0.6,0.3205425834968786,0.2412260464361337,8
qsd,32,0.8,0.16279833351814177,0.14560760338264656,8
qsd,32,1.0,0.13798271670817897,0.16461985196811102,8
qsd,32,2.0,0.02699138949819538,0.05235452517905175,8
qsd,32,4.0,1.1204391445248513e-05,3.144527963023785e-05,8
qsd,32,6.0,2.0891603876548037e-11,3.0217499454260325e-11,8
qsd,48,0.0,2.132294103327859,0.0,1
qsd,48,0.05,0.9791108015397707,0.24553358417206,8
qsd,48,0.1,0.890545554184492,0.307814129229302,8
qsd,48,0.15,0.6464709866382333,0.25072584703302603,8
qsd,48,0.2,0.5407829092466931,0.2688708908820334,8
qsd,48,0.25,0.45239443573851046,0.15785743112553655,8
qsd,48,0.3,0.4713386597022343,0.13818465171315042,8
qsd,48,0.35,0.37132012431388883,0.18279636025129944,8
qsd,48,0.4,0.38718550357931125,0.24565056823173448,8
qsd,48,0.5,0.3849848759317761,0.2373108513188177,8
qsd,48,0.6,0.23927853888725348,0.10004042374508959,8
qsd,48,0.8,0.19730388657945808,0.18874529912843674,8
qsd,48,1.0,0.1462169450753727,0.12782807396970491,8
qsd,48,2.0,0.014076134551121819,0.03639377843705026,8
qsd,48,4.0,7.451210481956849e-11,2.0659065694503935e-10,8
qsd,48,6.0,-1.1709383462843448e-15,5.720532540044027e-14,8
qsd,64,0.0,1.6132721864464425,0.0,1
qsd,64,0.05,1.1551201708660561,0.241954622723767,8
qsd,64,0.1,0.9368313367797749,0.15303598684552444,8
qsd,64,0.15,0.8562373771926957,0.16071899922835095,8
qsd,64,0.2,0.6370194296318981,0.049469344556984415,8
qsd,64,0.25,0.5349345946533591,0.18400289436047756,8
qsd,64,0.3,0.4739635444054038,0.1571391508119575,8
qsd,64,0.35,0.556855726469857,0.237740052863033,8
qsd,64,0.4,0.372068345015798,0.15791752368126188,8
qsd,64,0.5,0.22492151980018638,0.10525287443348344,8
qsd,64,0.6,0.18028784139286913,0.12265528576211426,8
qsd,64,0.8,0.11987162877813007,0.08755165538414122,8
qsd,64,1.0,0.22743991602803726,0.1594951719868527,8
qsd,64,2.0,7.639882940030374e-06,1.2876849917391892e-05,8
qsd,64,4.0,6.568079413682426e-13,1.827011177188971e-12,8
qsd,64,6.0,-1.457167719820518e-14,4.17113232505896e-14,8
qsd,96,0.0,4.097944333629776,0.0,1
qsd,96,0.05,1.659801780641876,0.1671532274679288,8
qsd,96,0.1,1.2768509210873125,0.31893119742528664,8
qsd,96,0.15,1.108706428574526,0.32695829242651936,8
qsd,96,0.2,0.738400535027028,0.20358286961501285,8
qsd,96,0.25,0.6784449007362285,0.22315338981671304,8
qsd,96,0.3,0.597663973808791,0.2756121798338868,8
qsd,96,0.35,0.5795228010423388,0.2339908105525358,8
qsd,96,0.4,0.3769721861407058,0.1687746873873053,8
qsd,96,0.5,0.19907908436341726,0.1180502603801423,8
qsd,96,0.6,0.1434052711987216,0.06405619844061061,8
qsd,96,0.8,0.09375967783467376,0.07962978458526992,8
qsd,96,1.0,0.08142057644864503,0.19335483828895567,8
qsd,96,2.0,2.284028697202567e-06,3.5927550757965467e-06,8
qsd,96,4.0,-2.41438813386452e-14,5.369157571514284e-14,8
qsd,96,6.0,-2.1501897484732524e-14,5.01662304568661e-14,8
qsdc,96,0.05,1.6854879483964407,0.11921649432929353,8
qsdc,96,0.1,1.4344820352811816,0.23742256608906373,8
qsdc,96,0.15,1.1632277106727786,0.14669484131833088,8
qsdc,96,0.2,1.1452678523701492,0.1306217403210564,8
qsdc,96,0.25,0.9211079284077657,0.15063797964897335,8
qsdc,96,0.35,0.7829834266664717,0.14536929960337244,8
qsdc,96,0.5,0.5558157936797186,0.09054526017597798,8
qsdc,96,0.8,0.40477592477233904,0.13005800402537668,8
qsdc,96,1.0,0.3740362611388397,0.16836498458501958,8
qsdc,96,2.0,0.255045557213171,0.21294757547807866,8
qsdc,96,4.0,0.13404176196050782,0.0862822564159677,8
qsdc,96,6.0,0.10893813493413718,0.10685458874949658,8
