length,gamma,distance,scaled_distance,independent_density_difference,direct_fock_correlation,trajectories_per_independent_set,direct_trajectories
64,0.35,1,0.9995984531496791,0.021104601151611224,0.02008304559701846,32,64
64,0.35,2,1.9967887860712368,0.012137203488128995,0.01244523204905185,32,64
64,0.35,3,2.9891686799091075,0.006121847806398822,0.008737325434623194,32,64
64,0.35,4,3.974347404576823,0.005057264335999095,0.006737918201262204,32,64
64,0.35,5,4.949951578235194,0.0030138929279903692,0.005387847476205601,32,64
64,0.35,6,5.913630884977044,0.0015427430335000492,0.004458956370272384,32,64
64,0.35,7,6.863063736944095,0.0014067285081241498,0.0036958961629502975,32,64
64,0.35,9,8.710080840133957,0.006952315863164665,0.0029760505876107696,32,64
64,0.35,10,9.603215465375593,0.009658819726454743,0.0025901597815946864,32,64
64,0.35,12,11.317983848932585,0.005400600990009052,0.0020231841651269966,32,64
64,0.35,14,12.923753860985036,0.005085154499611083,0.0016806758793210693,32,64
64,0.35,17,15.094532376287274,-0.0012055521195690477,0.0013146213468182958,32,64
64,0.35,20,16.93855985006744,-0.0006010520802783303,0.00108700889697253,32,64
64,0.35,23,18.415918656351273,0.0010241831308061278,0.0008662182661532836,32,64
64,0.35,27,19.76131441914081,0.002821085290302894,0.0008407512341659652,32,64
64,0.35,32,20.371832715762604,0.000643162653325785,0.0007920655503622482,32,64
