length,gamma,time,mean_entropy,std_entropy,trajectories
96,0.05,0.0,2.3006652277068017e-11,0.0,4
96,0.05,5.0,11.807113931204759,0.3294049912662779,4
96,0.05,10.0,20.44780365400366,0.5348930746217099,4
96,0.05,15.0,22.631132522067613,0.6486210062627111,4
96,0.05,20.0,20.86963741783679,0.4890695207400236,4
96,0.05,25.0,19.64898412816477,0.48630455887999474,4
96,0.05,30.0,19.663157445780932,0.4398107080763072,4
96,0.05,35.0,19.65669848518664,0.702763863943045,4
96,0.05,40.0,20.05486501023475,0.606858187962273,4
96,0.05,45.0,19.915544548929834,0.19997961880913742,4
96,0.05,50.0,19.840457657998872,0.7333174789365579,4
96,0.05,55.0,19.87089879577378,0.5972401904887252,4
96,0.05,60.0,19.391667469494898,0.37520797680054063,4
96,0.05,65.0,19.658196866871748,0.42231428833548124,4
96,0.05,70.0,19.84856022708541,0.6553603041458562,4
96,0.05,75.0,19.956708141956835,0.8292550859157423,4
96,0.05,80.0,20.35833153622315,0.25534856833141806,4
96,0.05,85.0,20.117516607553434,0.5984463079212002,4
96,0.05,90.0,19.63197755778656,0.203625568107188,4
96,0.05,95.0,19.556637816639014,0.4553832573176374,4
96,0.05,100.0,20.03990559060479,0.2879860349291955,4
96,0.05,105.0,19.712596315162273,0.4041851119257968,4
96,0.05,110.0,19.626610179537572,0.43539308647625163,4
96,0.05,115.0,20.225615280211514,0.6118506715780317,4
96,0.05,120.0,20.279022929229047,0.1015219736887769,4
96,0.05,125.0,19.811758926036774,0.1772722487078638,4
96,0.05,130.0,19.645798501382128,0.5249754058985386,4
96,0.05,135.0,19.859646310485495,0.748212360014182,4
96,0.05,140.0,19.699439338261058,0.3656684641447656,4
96,0.05,145.0,19.883793889401087,0.17474438656572155,4
96,0.05,150.0,20.100748043518728,0.40135443348095196,4
96,0.1,0.0,2.3006652277068017e-11,0.0,4
96,0.1,5.0,10.349823866372624,0.40070560445944153,4
96,0.1,10.0,16.46326783671266,0.6133812412761626,4
96,0.1,15.0,17.42670936859518,0.3076058058463427,4
96,0.1,20.0,16.984699131539397,0.9504862246591463,4
96,0.1,25.0,16.371055056807318,0.3058445101445721,4
96,0.1,30.0,16.030227876344156,0.7943289217829331,4
96,0.1,35.0,16.22629445561821,0.8871578305157872,4
96,0.1,40.0,16.488037583999166,0.7514560230394954,4
96,0.1,45.0,16.641968675671457,0.23658416694629256,4
96,0.1,50.0,16.010644981735286,0.9123307076777689,4
96,0.1,55.0,16.427241908149988,0.44472631204920704,4
96,0.1,60.0,16.40205852027858,0.7698598935190201,4
96,0.1,65.0,17.068397989124875,0.43489569363405417,4
96,0.1,70.0,16.865452785511096,0.7207062828809676,4
96,0.1,75.0,16.811862051476023,0.5431776657425793,4
96,0.1,80.0,16.206037034069062,1.0297675222734302,4
96,0.1,85.0,16.20207051896695,0.7402733392678936,4
96,0.1,90.0,15.878955555650355,0.6011790508327911,4
96,0.1,95.0,16.46266710915022,0.6819058605237593,4
