length,gamma,mean_mutual_information,std_mutual_information,trajectories
64,0.1,1.2329865403320406,0.31191796893282214,12
64,0.15,1.130851002284032,0.3253377957472012,12
64,0.2,0.7946421331182959,0.19714250203496583,12
64,0.25,0.6821184929712555,0.22424495888277352,12
64,0.3,0.668522071361488,0.27644276893068725,12
64,0.4,0.5498787599911966,0.19201286897901157,12
64,0.5,0.417647421477186,0.24186009022742344,12
64,0.6,0.21918688278020926,0.13033516068830125,12
64,0.8,0.17216870889044675,0.09042143963615569,12
64,1.0,0.09155361577803833,0.08171847511592994,12
64,2.0,0.00038521582521389153,0.0010093681732205283,12
