length,gamma,tau,mean_correlation,std_correlation,trajectories
64,0.15,0.0,0.2819246057389021,0.004612958287834323,12
64,0.15,0.25,0.2403415247189142,0.003995405730965271,12
64,0.15,0.5,0.15549101760424386,0.005591715516892785,12
64,0.15,0.75,0.07175671690230921,0.005600709580311731,12
64,0.15,1.0,0.021873283868628968,0.0030329006624962725,12
64,0.15,1.5,0.02700211149847107,0.00446824078943401,12
64,0.15,2.0,0.040481230934066824,0.0034735252571369006,12
64,0.15,3.0,0.013321162424802975,0.002184715842472756,12
64,0.15,5.0,0.016919916738722576,0.002154790302613715,12
64,0.15,8.0,0.010796452100311256,0.0015982333553153458,12
64,0.15,12.0,0.006748521613441524,0.001519190419654046,12
64,0.15,20.0,0.007523011026836768,0.0017976058942518755,12
64,0.15,35.0,0.008169621581562862,0.0015785915777617229,12
64,0.15,60.0,0.007673721245121733,0.001391245564236243,12
64,0.15,100.0,0.007514694428493278,0.001292295004222762,12
64,0.5,0.0,0.31791845851661227,0.005947799737572687,12
64,0.5,0.25,0.25471027563725684,0.007595334418371742,12
64,0.5,0.5,0.15889892244147202,0.008395721964276787,12
64,0.5,0.75,0.07666306354120832,0.010765399452731084,12
64,0.5,1.0,0.030599826150607315,0.007536150738118447,12
64,0.5,1.5,0.029625791008421432,0.0065113096516641504,12
64,0.5,2.0,0.03350159643188772,0.004583625278491157,12
64,0.5,3.0,0.01987924644190794,0.003514863741800724,12
64,0.5,5.0,0.015849908292929718,0.0033522298371641826,12
64,0.5,8.0,0.010722394129674226,0.0028494012670688225,12
64,0.5,12.0,0.009519632578973307,0.002468078583712445,12
64,0.5,20.0,0.007261902543421969,0.0019013788068733416,12
64,0.5,35.0,0.007725238498456424,0.0027137128582633264,12
64,0.5,60.0,0.007766842166170286,0.0022232497553059593,12
64,0.5,100.0,0.007020624036299931,0.0015354698567081391,12
64,2.0,0.0,0.4071664782874967,0.009529337780596024,12
64,2.0,0.25,0.2597778183933445,0.020720028977114915,12
64,2.0,0.5,0.14670701563363536,0.031033380312189652,12
64,2.0,0.75,0.07416163466340854,0.012102119642864,12
64,2.0,1.0,0.043643782942395265,0.012729402969325444,12
64,2.0,1.5,0.03966424024659177,0.013398334556312027,12
64,2.0,2.0,0.03517052289978202,0.010636082056518127,12
64,2.0,3.0,0.0272869347078198,0.009156090897703572,12
64,2.0,5.0,0.019343330636943427,0.005764686866380839,12
64,2.0,8.0,0.01316878469261403,0.007238159956362379,12
64,2.0,12.0,0.010580186413923958,0.005055421995735597,12
64,2.0,20.0,0.010272063570780718,0.003314965503088876,12
64,2.0,35.0,0.009102397019765831,0.003397684362667804,12
64,2.0,60.0,0.008146496590501385,0.005196350010857226,12
64,2.0,100.0,0.0069350261600846395,0.0032250991613214874,12
64,6.0,0.0,0.4696056565311361,0.009292716352900549,12
64,6.0,0.25,0.24929360200761133,0.03401521946606059,12
64,6.0,0.5,0.1396424115889003,0.032286332591312084,12
64,6.0,0.75,0.09904410197227591,0.02441986674704517,12
64,6.0,1.0,0.070981919344672,0.020855304490496045,12
64,6.0,1.5,0.056956387583891384,0.015786190929074156,12
64,6.0,2.0,0.04482811531124495,0.018576121130347366,12
64,6.0,3.0,0.035221994039425615,0.009365321150269073,12
64,6.0,5.0,0.01927044669367721,0.00499630079962969,12
64,6.0,8.0,0.01632940482880849,0.008320583050560647,12
64,6.0,12.0,0.01382099805506252,0.007537901592749175,12
64,6.0,20.0,0.010919655870171548,0.007988404190396033,12
64,6.0,35.0,0.010946402580819093,0.007989978982917397,12
64,6.0,60.0,0.007292819276028509,0.005126933179050781,12
64,6.0,100.0,0.0066632370186233275,0.005214240393541904,12
