protocol,length,gamma,central_charge,residual_entropy,r_squared,trajectories
qsd,32,0.0,11.136391564936918,-2.9375167197130776,0.943034290647594,1
qsd,32,0.05,8.202009604438793,-1.5992619599544076,0.9628554581704912,8
qsd,32,0.1,6.760640529008361,-1.033596586373087,0.9714837126845782,8
qsd,32,0.15,6.36597944118699,-0.8308635266474449,0.9839153506061421,8
qsd,32,0.2,5.627733766648459,-0.5903560757819025,0.9747026492317975,8
qsd,32,0.25,5.280816231644924,-0.4185927350232271,0.987310567471721,8
qsd,32,0.3,4.736331914484335,-0.4531020264137021,0.9850438155695773,8
qsd,32,0.35,4.7583743242358265,-0.502866545315135,0.9911239903816024,8
qsd,32,0.4,3.572613079164872,0.04120334489043008,0.9891389545463743,8
qsd,32,0.5,3.717655604501048,-0.11798423512557339,0.9777642448890259,8
qsd,32,0.6,2.5111859376791053,0.5122769083262623,0.9770929279827247,8
qsd,32,0.8,2.5459072595718792,0.1467979852280276,0.9761188585223876,8
qsd,32,1.0,1.5461223617854989,0.3649099776080418,0.975835195125308,8
qsd,32,2.0,0.25360585085002885,0.5161380226030557,0.29231260594798636,8
qsd,32,4.0,0.05330995059932475,0.262834362913939,0.022231479320889425,8
qsd,32,6.0,0.02305404098651472,0.11477451264997479,0.010133542344697988,8
qsd,48,0.0,11.077537105631427,-3.702062340564131,0.9234980878191144,1
qsd,48,0.05,10.370088016837673,-3.0755232596286044,0.9481868055439364,8
qsd,48,0.1,8.518594006483927,-1.989912822574429,0.9584878676453652,8
qsd,48,0.15,7.373493009073172,-1.8916449467743606,0.9632652812654583,8
qsd,48,0.2,6.415166499183063,-1.133119523398268,0.9840054249785247,8
qsd,48,0.25,5.718415729025976,-0.8829733014353727,0.9799906924872842,8
qsd,48,0.3,4.870640153471192,-0.269865434927992,0.9890463326225785,8
qsd,48,0.35,5.107532327274548,-0.6796995564974853,0.9841771912773037,8
qsd,48,0.4,4.346828922578798,-0.32785088773524795,0.972294962026321,8
qsd,48,0.5,3.950463677144643,-0.30256619349103925,0.9814108539308245,8
qsd,48,0.6,3.170381159736494,-0.013985783880554,0.987680368707208,8
qsd,48,0.8,2.0505979451565404,0.5213501849492104,0.934832785677756,8
qsd,48,1.0,1.3927592609539603,0.490762467489605,0.9746335414769085,8
qsd,48,2.0,0.207212911080053,0.6103307270828777,0.29823767032457615,8
qsd,48,4.0,-0.0597952151544527,0.330559738782195,0.031756696692317066,8
qsd,48,6.0,0.05169633051065332,0.2237743113104137,0.031162849397801784,8
qsd,64,0.0,16.314598298048455,-6.6184065657765325,0.9206179142526264,1
qsd,64,0.05,11.671482618753013,-4.109812487244174,0.9412876519426142,8
qsd,64,0.1,10.196565748369595,-3.3350547963329533,0.9407201887940682,8
