protocol,length,gamma,mean_entropy,std_entropy,trajectories,t_final
qsd,32,0.0,10.49895262080479,0.0,1,60.0
qsd,32,0.05,8.070822855741355,0.8081524558221965,8,120.0
qsd,32,0.1,6.969187070047548,0.5404094151753963,8,60.0
qsd,32,0.15,6.552684557301842,0.6815616226099688,8,40.0
qsd,32,0.2,5.946372113028447,0.663405884656101,8,30.0
qsd,32,0.25,5.54540643793523,0.3933044945957883,8,24.0
qsd,32,0.3,4.858489739882516,0.7501328259055905,8,20.0
qsd,32,0.35,4.891828071104226,0.692817225028141,8,20.0
qsd,32,0.4,3.920517634890251,0.5562617887375506,8,20.0
qsd,32,0.5,4.18342124651482,0.43034955587305074,8,20.0
qsd,32,0.6,3.2152263153066425,0.9472433247021188,8,20.0
qsd,32,0.8,2.797953010890091,0.47961521393695633,8,20.0
qsd,32,1.0,2.180927963645626,0.5225217175155435,8,20.0
qsd,32,2.0,0.8742445486715248,0.3895473649264418,8,20.0
qsd,32,4.0,0.17945422149884355,0.1606490789096028,8,20.0
qsd,32,6.0,0.12286649535667263,0.18053484067368328,8,20.0
qsd,48,0.0,12.484886218377126,0.0,1,60.0
qsd,48,0.05,11.416466238817048,0.4848620475363459,8,120.0
qsd,48,0.1,10.0127409804585,0.60790014957204,8,60.0
qsd,48,0.15,8.419111371188265,0.858064954822514,8,40.0
qsd,48,0.2,7.61488903035367,0.6343725338555306,8,30.0
qsd,48,0.25,6.9066087866672525,0.7332472645218563,8,24.0
qsd,48,0.3,6.2793742878798895,0.47129050278132084,8,20.0
qsd,48,0.35,6.331451147769714,0.8042047800115389,8,20.0
qsd,48,0.4,5.4299918515938685,0.7378471748547183,8,20.0
qsd,48,0.5,4.99379782157304,0.4437969701016422,8,20.0
qsd,48,0.6,4.065578772768493,0.42736577876808857,8,20.0
qsd,48,0.8,3.367172161371715,0.3305555627253486,8,20.0
qsd,48,1.0,2.2735264306492677,0.6606530303285222,8,20.0
qsd,48,2.0,0.7215524052833728,0.3513784922946559,8,20.0
qsd,48,4.0,0.4507765558300292,0.36408356829026484,8,20.0
qsd,48,6.0,0.23677708329747327,0.2718222941803543,8,20.0
qsd,64,0.0,19.360678931700903,0.0,1,60.0
qsd,64,0.05,14.212013192600075,0.7195498451430883,8,120.0
qsd,64,0.1,12.480715636252254,0.5870107031405308,8,60.0
qsd,64,0.15,10.84782139682813,0.7911860608028723,8,40.0
qsd,64,0.2,9.472289168728544,0.4416320188224372,8,30.0
qsd,64,0.25,8.24910037306895,0.5193315928853209,8,24.0
qsd,64,0.3,7.397450019410064,0.5705574375038314,8,20.0
qsd,64,0.35,7.221512182496729,0.7420632734886893,8,20.0
qsd,64,0.4,6.848037289015609,0.726492477216703,8,20.0
qsd,64,0.5,5.1511240650173065,0.707919627723493,8,20.0
qsd,64,0.6,4.53841335302678,1.0639445754921115,8,20.0
qsd,64,0.8,3.341366931594207,0.8427500324282495,8,20.0
qsd,64,1.0,3.020214937802956,0.6925647460608018,8,20.0
qsd,64,2.0,0.9859621768618603,0.4264465131197317,8,20.0
qsd,64,4.0,0.4939138068305957,0.3238966869892074,8,20.0
qsd,64,6.0,0.1969900846648317,0.13181412715310098,8,20.0
qsd,96,0.0,28.284731356416792,0.0,1,60.0
qsd,96,0.05,19.753949300445328,0.48037751386800953,8,120.0
qsd,96,0.1,16.24373368925896,0.8213589615695295,8,60.0
qsd,96,0.15,13.438575179544463,0.3281506944747574,8,40.0
qsd,96,0.2,11.790505524676053,0.8404368982798235,8,30.0
qsd,96,0.25,10.428387520755583,0.6612526316011419,8,24.0
qsd,96,0.3,9.003047301784004,0.5223266625704964,8,20.0
qsd,96,0.35,8.836342587944204,0.8852553637175568,8,20.0
qsd,96,0.4,7.343691964975085,0.9670132192247334,8,20.0
qsd,96,0.5,5.89996748394911,0.6750049360554428,8,20.0
qsd,96,0.6,5.509948091569438,0.6681730999783512,8,20.0
qsd,96,0.8,3.643134373145153,0.6713168574606758,8,20.0
qsd,96,1.0,2.604924679910285,0.6892867415415083,8,20.0
qsd,96,2.0,0.6924323457977507,0.5126941337094312,8,20.0
qsd,96,4.0,0.19694348593602837,0.3328289360529968,8,20.0
qsd,96,6.0,0.2821380854817375,0.3421575455224177,8,20.0
qsdc,96,0.05,20.724750691512952,0.33535891942695384,8,120.0
qsdc,96,0.1,17.950863439262598,0.542047427316121,8,60.0
qsdc,96,0.15,15.182394306330272,0.8509189207113103,8,40.0
qsdc,96,0.2,13.987264317421833,0.9608516247718871,8,30.0
qsdc,96,0.25,12.686086957783417,0.6218586384987802,8,24.0
qsdc,96,0.35,11.2130598291384,0.4905586440367452,8,20.0
qsdc,96,0.5,9.14580012399374,0.7464789747897361,8,20.0
qsdc,96,0.8,7.202638224490189,0.5483735889302901,8,20.0
qsdc,96,1.0,6.914325061953675,0.8553469713282127,8,20.0
qsdc,96,2.0,4.3934019511798486,0.4909614271208488,8,20.0
qsdc,96,4.0,3.2610609139132887,0.40690341298048854,8,20.0
qsdc,96,6.0,2.480699445668649,1.2579861809491186,8,20.0
