circuit,core_length,pass1_count_0,pass1_count_1,pass5_count_0,pass5_count_1,lambda,p_value,jsd_standard,jsd_entropy,notebook_compatibility_jsd,tvd,ict_significant,sstvd
{},1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx,1,45,55,42,58,0.18312416317975755,0.6687020181721577,0.0004578104079493939,0.0004578104079493439,0.0009156208158987878,0.02999999999999997,False,
Gy,1,41,59,51,49,2.016360591474024,0.15561172087868425,0.005040901478685061,0.005040901478685078,0.010081802957370121,0.1,False,
GxGx,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGx,1,53,47,62,38,1.659798379143913,0.19763054849820408,0.004149495947859782,0.004149495947859738,0.008298991895719565,0.08999999999999997,False,
GyGyGy,1,58,42,60,40,0.0826852536982976,0.7736908887389999,0.000206713134245744,0.00020671313424569515,0.000413426268491488,0.01999999999999999,False,
GxGy,1,47,53,58,42,2.4310438432534607,0.11895366393079887,0.006077609608133651,0.006077609608133638,0.012155219216267303,0.11000000000000001,False,
GxGxGxGx,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGyGyGy,1,41,59,42,58,0.020595596883643097,0.8858861023182817,5.148899220910774e-05,5.148899220919212e-05,0.00010297798441821548,0.010000000000000009,False,
GyGx,1,52,48,54,46,0.08029449102349373,0.7768987217772517,0.00020073622755873433,0.00020073622755878429,0.00040147245511746866,0.01999999999999999,False,
GyGy,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGxGx,1,43,57,44,56,0.020344179020379993,0.8865800161752766,5.0860447550949986e-05,5.086044755087116e-05,0.00010172089510189997,0.009999999999999953,False,
GyGxGxGx,1,41,59,46,54,0.5088259056581093,0.4756475546977017,0.0012720647641452732,0.0012720647641452087,0.0025441295282905463,0.04999999999999999,False,
GyGyGyGy,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGy,1,51,49,53,47,0.08013359074108761,0.7771164543852866,0.00020033397685271904,0.00020033397685270682,0.0004006679537054381,0.020000000000000018,False,
GxGxGxGxGx,1,39,61,46,54,1.0034744302715808,0.31647125541559135,0.002508686075678952,0.002508686075679001,0.005017372151357904,0.06999999999999998,False,
GxGxGyGyGy,1,47,53,43,57,0.3233229702543592,0.5696174716643128,0.0008083074256358979,0.000808307425635757,0.0016166148512717958,0.03999999999999995,False,
