data_set_1,data_set_2,comparison_significance,aggregate_significance,lambda_aggregate,aggregate_degrees_of_freedom,aggregate_p_value,n_sigma,n_sigma_threshold,aggregate_detected,ict_beta,hochberg_retained_rank,p_threshold,lambda_threshold,significant_circuits,detected,max_sstvd,max_sstvd_circuit
1,2,0.004545454545454546,0.002272727272727273,1515.5471824869064,1405,0.02039751841914163,2.0854247248943065,2.926387760552196,False,0.002272727272727273,0,1.6175994823681658e-06,23.002867427482524,0,False,,
1,3,0.004545454545454546,0.002272727272727273,1887.2634286636367,1405,8.763477466264605e-17,9.097690736410861,2.926387760552196,True,0.004545454545454546,0,3.2351989647363317e-06,21.67175530484782,0,True,,
1,4,0.004545454545454546,0.002272727272727273,2472.914513038091,1405,7.707182290848556e-62,20.145744825535274,2.926387760552196,True,0.004545454545454546,13,3.263068589701756e-06,21.655301749374875,13,True,0.41000000000000003,GxGxGx(Gx)^256GxGxGx
1,5,0.004545454545454546,0.002272727272727273,3213.038587195144,1405,6.643451064756505e-143,34.10786497201155,2.926387760552196,True,0.004545454545454546,25,3.2914225528273322e-06,21.63870632220615,25,True,0.54,GxGxGx(Gx)^256GxGxGx
2,3,0.004545454545454546,0.002272727272727273,1373.818171683297,1405,0.7190562850289253,-0.58823168782944,2.926387760552196,False,0.002272727272727273,0,1.6175994823681658e-06,23.002867427482524,0,False,,
2,4,0.004545454545454546,0.002272727272727273,1814.3466299421943,1405,6.668282418918228e-13,7.7221469053245455,2.926387760552196,True,0.004545454545454546,1,3.2351989647363317e-06,21.67175530484782,1,True,0.27999999999999997,GxGx(Gy)^256GxGx
2,5,0.004545454545454546,0.002272727272727273,2415.5254240452696,1405,1.6175668390848656e-56,19.063124514167637,2.926387760552196,True,0.004545454545454546,14,3.2654127481713694e-06,21.653924249486767,14,True,0.49,Gx(Gx)^256GxGxGx
3,4,0.004545454545454546,0.002272727272727273,1497.0548413530792,1405,0.04339819641509891,1.736574717557113,2.926387760552196,False,0.002272727272727273,0,1.6175994823681658e-06,23.002867427482524,0,False,,
3,5,0.004545454545454546,0.002272727272727273,1946.3868739061318,1405,2.926193439867918e-20,10.21302892736148,2.926387760552196,True,0.004545454545454546,3,3.2398107950495694e-06,21.669022794826883,3,True,0.42000000000000004,Gx(Gx)^256GxGxGx
4,5,0.004545454545454546,0.002272727272727273,1518.7116338222927,1405,0.01776213050398024,2.1451207289631666,2.926387760552196,False,0.002272727272727273,0,1.6175994823681658e-06,23.002867427482524,0,False,,
