qubit_cavity_detuning_over_g,probe_detuning_over_g,normalized_power
-3.0,-2.0,2.9261466756904596e-06
-3.0,-1.9833333333333334,2.983334152395171e-06
-3.0,-1.9666666666666666,3.0422301067653476e-06
-3.0,-1.95,3.102903587773841e-06
-3.0,-1.9333333333333333,3.165427176671118e-06
-3.0,-1.9166666666666667,3.229877206356659e-06
-3.0,-1.9,3.2963339968241857e-06
-3.0,-1.8833333333333333,3.364882108041705e-06
-3.0,-1.8666666666666667,3.435610611758364e-06
-3.0,-1.85,3.5086133838753972e-06
-3.0,-1.8333333333333333,3.5839894191795656e-06
-3.0,-1.8166666666666667,3.6618431704164365e-06
-3.0,-1.8,3.742284913879831e-06
-3.0,-1.7833333333333332,3.825431143915195e-06
-3.0,-1.7666666666666666,3.911404998981477e-06
-3.0,-1.75,4.000336722191463e-06
-3.0,-1.7333333333333334,4.09236415955804e-06
-3.0,-1.7166666666666668,4.187633299517944e-06
-3.0,-1.7,4.2862988576898155e-06
-3.0,-1.6833333333333333,4.3885249112553566e-06
-3.0,-1.6666666666666667,4.494485587837493e-06
-3.0,-1.65,4.604365814294817e-06
-3.0,-1.6333333333333333,4.718362131465729e-06
-3.0,-1.6166666666666667,4.836683581588008e-06
-3.0,-1.6,4.959552675901472e-06
-3.0,-1.5833333333333333,5.08720645082548e-06
-3.0,-1.5666666666666667,5.219897622104549e-06
-3.0,-1.55,5.357895847451327e-06
-3.0,-1.5333333333333332,5.501489109506939e-06
-3.0,-1.5166666666666666,5.650985232407857e-06
-3.0,-1.5,5.806713546923258e-06
-3.0,-1.4833333333333334,5.96902672103947e-06
-3.0,-1.4666666666666668,6.138302775056681e-06
-3.0,-1.45,6.314947302771099e-06
-3.0,-1.4333333333333333,6.499395923196546e-06
-3.0,-1.4166666666666665,6.692116990593541e-06
-3.0,-1.4,6.893614594395282e-06
-3.0,-1.3833333333333333,7.104431885034447e-06
-3.0,-1.3666666666666667,7.32515476678578e-06
-3.0,-1.35,7.556416004669581e-06
-3.0,-1.3333333333333335,7.798899799357669e-06
-3.0,-1.3166666666666667,8.05334689206127e-06
-3.0,-1.3,8.320560270772467e-06
-3.0,-1.2833333333333332,8.601411560230956e-06
-3.0,-1.2666666666666666,8.896848190905232e-06
-3.0,-1.25,9.207901457485773e-06
-3.0,-1.2333333333333334,9.535695595342007e-06
-3.0,-1.2166666666666668,9.881458024650665e-06
-3.0,-1.2,1.0246530937141274e-05
-3.0,-1.1833333333333333,1.0632384430459968e-05
-3.0,-1.1666666666666665,1.1040631431059387e-05
-3.0,-1.15,1.1473044689554468e-05
-3.0,-1.1333333333333333,1.1931576184233014e-05
-3.0,-1.1166666666666667,1.2418379330853826e-05
-3.0,-1.1,1.2935834472491038e-05
-3.0,-1.0833333333333335,1.3486578215115352e-05
-3.0,-1.0666666666666667,1.4073537286795745e-05
-3.0,-1.05,1.4699967735880567e-05
-3.0,-1.0333333333333332,1.5369500452688318e-05
-3.0,-1.0166666666666666,1.608619420833194e-05
-3.0,-1.0,1.6854597663933946e-05
-3.0,-0.9833333333333334,1.767982212743035e-05
-3.0,-0.9666666666666668,1.856762724137854e-05
-3.0,-0.95,1.9524522297264257e-05
-3.0,-0.9333333333333333,2.055788652090372e-05
-3.0,-0.9166666666666667,2.167611250110328e-05
-3.0,-0.8999999999999999,2.2888777995267735e-05
-3.0,-0.8833333333333333,2.420685271601999e-05
-3.0,-0.8666666666666667,2.5642948483910654e-05
-3.0,-0.8500000000000001,2.7211623462498104e-05
-3.0,-0.8333333333333333,2.8929754266385905e-05
-3.0,-0.8166666666666667,3.08169938193545e-05
-3.0,-0.8,3.2896338317614285e-05
-3.0,-0.7833333333333334,3.519483406187018e-05
-3.0,-0.7666666666666666,3.774446503723141e-05
