manifold_n,bare_center,analytic_lower,analytic_upper,numeric_lower,numeric_upper,splitting,expected_2g_sqrt_n,absolute_error
1,20.0,19.0,21.0,19.0,21.0,2.0,2.0,0.0
2,40.0,38.58578643762691,41.41421356237309,38.58578643762691,41.41421356237309,2.8284271247461845,2.8284271247461903,0.0
3,60.0,58.267949192431125,61.732050807568875,58.267949192431125,61.732050807568875,3.46410161513775,3.4641016151377544,0.0
4,80.0,78.0,82.0,78.0,82.0,4.0,4.0,0.0
