kind,x,p,wigner,r,phase_pi,variance,squeezing_dB
wigner,-3.5,-3.5,6.557159116025739e-49,,,,
wigner,-3.470833333333333,-3.5,1.6339210713420122e-48,,,,
wigner,-3.441666666666667,-3.5,4.0551621095966904e-48,,,,
wigner,-3.4125,-3.5,1.0024140902883663e-47,,,,
wigner,-3.3833333333333333,-3.5,2.4680156002836497e-47,,,,
wigner,-3.3541666666666665,-3.5,6.052160462012296e-47,,,,
wigner,-3.325,-3.5,1.4782053273283246e-46,,,,
wigner,-3.2958333333333334,-3.5,3.596009975065294e-46,,,,
wigner,-3.2666666666666666,-3.5,8.713021947692765e-46,,,,
wigner,-3.2375,-3.5,2.1027058541430756e-45,,,,
wigner,-3.2083333333333335,-3.5,5.0541722070326537e-45,,,,
wigner,-3.1791666666666667,-3.5,1.2099943494561975e-44,,,,
wigner,-3.15,-3.5,2.8852167498454307e-44,,,,
wigner,-3.1208333333333336,-3.5,6.852283818211235e-44,,,,
wigner,-3.091666666666667,-3.5,1.6208918427974698e-43,,,,
wigner,-3.0625,-3.5,3.818866934462141e-43,,,,
wigner,-3.033333333333333,-3.5,8.961419561304818e-43,,,,
wigner,-3.0041666666666664,-3.5,2.0945025399027222e-42,,,,
wigner,-2.975,-3.5,4.875809928886387e-42,,,,
wigner,-2.9458333333333333,-3.5,1.130510080090329e-41,,,,
wigner,-2.9166666666666665,-3.5,2.610741701732532e-41,,,,
wigner,-2.8875,-3.5,6.005029829598387e-41,,,,
wigner,-2.8583333333333334,-3.5,1.37571422347194e-40,,,,
wigner,-2.8291666666666666,-3.5,3.1390850416688843e-40,,,,
wigner,-2.8,-3.5,7.1341088434159584e-40,,,,
wigner,-2.7708333333333335,-3.5,1.6148722665125927e-39,,,,
wigner,-2.7416666666666667,-3.5,3.640813365703796e-39,,,,
wigner,-2.7125,-3.5,8.175615401502134e-39,,,,
wigner,-2.6833333333333336,-3.5,1.828539241596735e-38,,,,
wigner,-2.654166666666667,-3.5,4.073332970167639e-38,,,,
wigner,-2.625,-3.5,9.037687813013099e-38,,,,
