kind,x,p,wigner,r,phase_pi,variance,squeezing_dB
wigner,-2.595833333333333,-3.5,1.9972229788077053e-37,,,,
wigner,-2.5666666666666664,-3.5,4.395998831801563e-37,,,,
wigner,-2.5375,-3.5,9.63718904182308e-37,,,,
wigner,-2.5083333333333333,-3.5,2.1042870548491163e-36,,,,
wigner,-2.479166666666667,-3.5,4.576372681736265e-36,,,,
wigner,-2.45,-3.5,9.912873885455614e-36,,,,
wigner,-2.4208333333333334,-3.5,2.138649295942515e-35,,,,
wigner,-2.3916666666666666,-3.5,4.5955909001057955e-35,,,,
wigner,-2.3625,-3.5,9.83569253291365e-35,,,,
wigner,-2.333333333333333,-3.5,2.0966711672155493e-34,,,,
wigner,-2.3041666666666667,-3.5,4.45161397772309e-34,,,,
wigner,-2.275,-3.5,9.413832516650276e-34,,,,
wigner,-2.2458333333333336,-3.5,1.9827923426311518e-33,,,,
wigner,-2.216666666666667,-3.5,4.1595829963747614e-33,,,,
wigner,-2.1875,-3.5,8.691288195629692e-33,,,,
wigner,-2.158333333333333,-3.5,1.8087573268190602e-32,,,,
wigner,-2.1291666666666664,-3.5,3.749196917472872e-32,,,,
wigner,-2.1,-3.5,7.74030358819771e-32,,,,
wigner,-2.0708333333333333,-3.5,1.5916205355512447e-31,,,,
wigner,-2.041666666666667,-3.5,3.25973930108438e-31,,,,
wigner,-2.0125,-3.5,6.6494848190720795e-31,,,,
wigner,-1.9833333333333334,-3.5,1.3509986800182521e-30,,,,
wigner,-1.9541666666666666,-3.5,2.7339064280848305e-30,,,,
wigner,-1.925,-3.5,5.510286286038414e-30,,,,
wigner,-1.8958333333333333,-3.5,1.1061817159012337e-29,,,,
wigner,-1.8666666666666667,-3.5,2.2117731617202974e-29,,,,
wigner,-1.8375,-3.5,4.4047015547781556e-29,,,,
wigner,-1.8083333333333333,-3.5,8.736836068328124e-29,,,,
wigner,-1.7791666666666666,-3.5,1.7260512311505864e-28,,,,
wigner,-1.75,-3.5,3.3963698146872427e-28,,,,
wigner,-1.7208333333333332,-3.5,6.656379256295842e-28,,,,
wigner,-1.6916666666666667,-3.5,1.2993403943999186e-27,,,,
wigner,-1.6624999999999999,-3.5,2.526210974103198e-27,,,,
wigner,-1.6333333333333333,-3.5,4.8919058530991485e-27,,,,
wigner,-1.6041666666666667,-3.5,9.435140217093205e-27,,,,
wigner,-1.575,-3.5,1.8125100472341107e-26,,,,
wigner,-1.5458333333333334,-3.5,3.467961618028301e-26,,,,
wigner,-1.5166666666666666,-3.5,6.608911517182864e-26,,,,
wigner,-1.4874999999999998,-3.5,1.254432762539904e-25,,,,
wigner,-1.4583333333333335,-3.5,2.371519141989123e-25,,,,
wigner,-1.4291666666666667,-3.5,4.465475144530914e-25,,,,
wigner,-1.4,-3.5,8.374724205363383e-25,,,,
wigner,-1.3708333333333331,-3.5,1.5643543959674977e-24,,,,
wigner,-1.3416666666666668,-3.5,2.910459602247727e-24,,,,
wigner,-1.3125,-3.5,5.3932406571024216e-24,,,,
wigner,-1.2833333333333332,-3.5,9.954050039121905e-24,,,,
wigner,-1.2541666666666664,-3.5,1.829833755997527e-23,,,,
wigner,-1.225,-3.5,3.3503119468735975e-23,,,,
wigner,-1.1958333333333333,-3.5,6.109710784913567e-23,,,,
wigner,-1.1666666666666665,-3.5,1.109731349059739e-22,,,,
wigner,-1.1375000000000002,-3.5,2.007598453296161e-22,,,,
wigner,-1.1083333333333334,-3.5,3.617409257910318e-22,,,,
wigner,-1.0791666666666666,-3.5,6.492025762981859e-22,,,,
wigner,-1.0499999999999998,-3.5,1.1604451535256096e-21,,,,
wigner,-1.0208333333333335,-3.5,2.0660022927183342e-21,,,,
wigner,-0.9916666666666667,-3.5,3.663521754391807e-21,,,,
wigner,-0.9624999999999999,-3.5,6.4703615081518785e-21,,,,
wigner,-0.9333333333333331,-3.5,1.1382040138000286e-20,,,,
wigner,-0.9041666666666668,-3.5,1.994221872064543e-20,,,,
wigner,-0.875,-3.5,3.480075236287054e-20,,,,
wigner,-0.8458333333333332,-3.5,6.048749325277061e-20,,,,
wigner,-0.8166666666666664,-3.5,1.0471390021580225e-19,,,,
wigner,-0.7875000000000001,-3.5,1.8055307134573732e-19,,,,
wigner,-0.7583333333333333,-3.5,3.1007533444368295e-19,,,,
wigner,-0.7291666666666665,-3.5,5.303851508617838e-19,,,,
wigner,-0.7000000000000002,-3.5,9.036022176794346e-19,,,,
wigner,-0.6708333333333334,-3.5,1.5332925134252896e-18,,,,
wigner,-0.6416666666666666,-3.5,2.591400497323159e-18,,,,
wigner,-0.6124999999999998,-3.5,4.362202838137374e-18,,,,
wigner,-0.5833333333333335,-3.5,7.313730778940302e-18,,,,
wigner,-0.5541666666666667,-3.5,1.2213324020607722e-17,,,,
wigner,-0.5249999999999999,-3.5,2.0313772486942022e-17,,,,
wigner,-0.4958333333333331,-3.5,3.365186086188169e-17,,,,
wigner,-0.4666666666666668,-3.5,5.552510400541968e-17,,,,
wigner,-0.4375,-3.5,9.124970569235505e-17,,,,
wigner,-0.4083333333333332,-3.5,1.4936036273834842e-16,,,,
wigner,-0.37916666666666643,-3.5,2.43501164523096e-16,,,,
wigner,-0.3500000000000001,-3.5,3.9539258542099384e-16,,,,
wigner,-0.3208333333333333,-3.5,6.394664957977355e-16,,,,
wigner,-0.2916666666666665,-3.5,1.0300750418696292e-15,,,,
wigner,-0.26249999999999973,-3.5,1.6526532034370496e-15,,,,
wigner,-0.2333333333333334,-3.5,2.6409269626248663e-15,,,,
wigner,-0.2041666666666666,-3.5,4.203323800338084e-15,,,,
wigner,-0.17499999999999982,-3.5,6.6633265735807225e-15,,,,
wigner,-0.14583333333333348,-3.5,1.052085769385456e-14,,,,
wigner,-0.1166666666666667,-3.5,1.6545236881621657e-14,,,,
wigner,-0.08749999999999991,-3.5,2.5915323118723542e-14,,,,
wigner,-0.058333333333333126,-3.5,4.042984369868302e-14,,,,
wigner,-0.029166666666666785,-3.5,6.282164324705957e-14,,,,
wigner,0.0,-3.5,9.722508189165222e-14,,,,
wigner,0.029166666666666785,-3.5,1.4986807832408852e-13,,,,
wigner,0.05833333333333357,-3.5,2.300921251059042e-13,,,,
wigner,0.08749999999999991,-3.5,3.518488755060288e-13,,,,
wigner,0.1166666666666667,-3.5,5.358859554094987e-13,,,,
wigner,0.14583333333333348,-3.5,8.129248105361481e-13,,,,
wigner,0.17500000000000027,-3.5,1.2282596286666837e-12,,,,
wigner,0.2041666666666666,-3.5,1.8483821756478887e-12,,,,
wigner,0.2333333333333334,-3.5,2.7704809096713115e-12,,,,
wigner,0.2625000000000002,-3.5,4.135998262175728e-12,,,,
wigner,0.2916666666666665,-3.5,6.149889731130012e-12,,,,
wigner,0.3208333333333333,-3.5,9.10785495353632e-12,,,,
wigner,0.3500000000000001,-3.5,1.343465994291661e-11,,,,
wigner,0.3791666666666669,-3.5,1.9737813727342574e-11,,,,
wigner,0.4083333333333332,-3.5,2.8882395430163914e-11,,,,
wigner,0.4375,-3.5,4.209486962651394e-11,,,,
wigner,0.4666666666666668,-3.5,6.110643164612613e-11,,,,
wigner,0.49583333333333357,-3.5,8.834998372445368e-11,,,,
wigner,0.5250000000000004,-3.5,1.2722949979201632e-10,,,,
wigner,0.5541666666666671,-3.5,1.824865922339344e-10,,,,
wigner,0.583333333333333,-3.5,2.606969188263846e-10,,,,
wigner,0.6124999999999998,-3.5,3.7093911452598146e-10,,,,
wigner,0.6416666666666666,-3.5,5.256917472428904e-10,,,,
wigner,0.6708333333333334,-3.5,7.420300323854476e-10,,,,
wigner,0.7000000000000002,-3.5,1.0432144699858153e-09,,,,
wigner,0.729166666666667,-3.5,1.4607890922560526e-09,,,,
wigner,0.7583333333333337,-3.5,2.0373386672604994e-09,,,,
wigner,0.7874999999999996,-3.5,2.8300931749513166e-09,,,,
wigner,0.8166666666666664,-3.5,3.91561547047468e-09,,,,
wigner,0.8458333333333332,-3.5,5.395865715262586e-09,,,,
wigner,0.875,-3.5,7.406005426089131e-09,,,,
wigner,0.9041666666666668,-3.5,1.0124386460527647e-08,,,,
wigner,0.9333333333333336,-3.5,1.37852675159777e-08,,,,
wigner,0.9625000000000004,-3.5,1.869491427461174e-08,,,,
wigner,0.9916666666666671,-3.5,2.525187048813621e-08,,,,
wigner,1.020833333333333,-3.5,3.397233703737721e-08,,,,
wigner,1.0499999999999998,-3.5,4.552176478499584e-08,,,,
wigner,1.0791666666666666,-3.5,6.075395460816057e-08,,,,
wigner,1.1083333333333334,-3.5,8.075916313130796e-08,,,,
wigner,1.1375000000000002,-3.5,1.0692293291630811e-07,,,,
wigner,1.166666666666667,-3.5,1.409975972025161e-07,,,,
wigner,1.1958333333333337,-3.5,1.851886458475799e-07,,,,
wigner,1.2249999999999996,-3.5,2.4225837282795647e-07,,,,
wigner,1.2541666666666664,-3.5,3.156494459250341e-07,,,,
wigner,1.2833333333333332,-3.5,4.096312326559733e-07,,,,
wigner,1.3125,-3.5,5.294718666918254e-07,,,,
wigner,1.3416666666666668,-3.5,6.816391263722445e-07,,,,
wigner,1.3708333333333336,-3.5,8.740331987657375e-07,,,,
wigner,1.4000000000000004,-3.5,1.11625429336136e-06,,,,
wigner,1.4291666666666671,-3.5,1.419907820668343e-06,,,,
wigner,1.458333333333333,-3.5,1.7989494325840085e-06,,,,
wigner,1.4874999999999998,-3.5,2.2700716022376666e-06,,,,
wigner,1.5166666666666666,-3.5,2.8531325702990565e-06,,,,
wigner,1.5458333333333334,-3.5,3.5716273735364873e-06,,,,
wigner,1.5750000000000002,-3.5,4.453199274664042e-06,,,,
wigner,1.604166666666667,-3.5,5.530188211309869e-06,,,,
wigner,1.6333333333333337,-3.5,6.840210866027095e-06,,,,
wigner,1.6624999999999996,-3.5,8.426764629844845e-06,,,,
wigner,1.6916666666666664,-3.5,1.0339845104368981e-05,,,,
wigner,1.7208333333333332,-3.5,1.2636563894391077e-05,,,,
wigner,1.75,-3.5,1.5381750336465924e-05,,,,
wigner,1.7791666666666668,-3.5,1.864851756282465e-05,,,,
wigner,1.8083333333333336,-3.5,2.2518770011411993e-05,,,,
wigner,1.8375000000000004,-3.5,2.708362628268807e-05,,,,
wigner,1.8666666666666671,-3.5,3.2443728256377824e-05,,,,
wigner,1.895833333333333,-3.5,3.870940478225604e-05,,,,
wigner,1.9249999999999998,-3.5,4.6000656232074716e-05,,,,
wigner,1.9541666666666666,-3.5,5.444692494154402e-05,,,,
wigner,1.9833333333333334,-3.5,6.418661628481653e-05,,,,
wigner,2.0125,-3.5,7.536633600970752e-05,,,,
wigner,2.041666666666667,-3.5,8.813981170821065e-05,,,,
wigner,2.0708333333333337,-3.5,0.00010266647006827444,,,,
wigner,2.0999999999999996,-3.5,0.00011910964697794432,,,,
wigner,2.1291666666666664,-3.5,0.0001376344147120483,,,,
wigner,2.158333333333333,-3.5,0.00015840501934393918,,,,
wigner,2.1875,-3.5,0.00018158193213761096,,,,
wigner,2.216666666666667,-3.5,0.00020731853085434904,,,,
wigner,2.2458333333333336,-3.5,0.00023575744042987853,,,,
wigner,2.2750000000000004,-3.5,0.00026702657702786626,,,,
wigner,2.304166666666667,-3.5,0.00030123495464733525,,,,
wigner,2.333333333333333,-3.5,0.0003384683287631453,,,,
wigner,2.3625,-3.5,0.00037878476634345745,,,,
wigner,2.3916666666666666,-3.5,0.00042221024538983303,,,,
wigner,2.4208333333333334,-3.5,0.000468734399221294,,,,
wigner,2.45,-3.5,0.0005183065303972156,,,,
wigner,2.479166666666667,-3.5,0.0005708320257885371,,,,
wigner,2.5083333333333337,-3.5,0.0006261693072555244,,,,
wigner,2.5375000000000005,-3.5,0.0006841274511509754,,,,
wigner,2.5666666666666664,-3.5,0.0007444646040363992,,,,
wigner,2.595833333333333,-3.5,0.0008068873113207095,,,,
wigner,2.625,-3.5,0.0008710508599277235,,,,
wigner,2.654166666666667,-3.5,0.0009365607156904925,,,,
wigner,2.6833333333333336,-3.5,0.0010029751112858231,,,,
wigner,2.7125000000000004,-3.5,0.0010698088117073942,,,,
wigner,2.741666666666667,-3.5,0.001136538052282164,,,,
wigner,2.770833333333333,-3.5,0.0012026066100065884,,,,
wigner,2.8,-3.5,0.0012674329336230298,,,,
wigner,2.8291666666666666,-3.5,0.0013304182226035665,,,,
wigner,2.8583333333333334,-3.5,0.0013909553113667027,,,,
wigner,2.8875,-3.5,0.0014484381839550528,,,,
wigner,2.916666666666667,-3.5,0.0015022719173449384,,,,
wigner,2.9458333333333337,-3.5,0.0015518828297454445,,,,
wigner,2.9750000000000005,-3.5,0.001596728594720864,,,,
wigner,3.0041666666666664,-3.5,0.0016363080735786483,,,,
wigner,3.033333333333333,-3.5,0.0016701706177882697,,,,
wigner,3.0625,-3.5,0.0016979246005305413,,,,
wigner,3.091666666666667,-3.5,0.0017192449518021924,,,,
wigner,3.1208333333333336,-3.5,0.0017338794944749588,,,,
wigner,3.1500000000000004,-3.5,0.0017416539086737859,,,,
wigner,3.179166666666667,-3.5,0.0017424751878424185,,,,
wigner,3.208333333333333,-3.5,0.0017363334906968695,,,,
wigner,3.2375,-3.5,0.0017233023375084384,,,,
wigner,3.2666666666666666,-3.5,0.0017035371452430233,,,,
wigner,3.2958333333333334,-3.5,0.0016772721423636572,,,,
wigner,3.325,-3.5,0.001644815748924376,,,,
wigner,3.354166666666667,-3.5,0.0016065445493531826,,,,
wigner,3.3833333333333337,-3.5,0.0015628960225800527,,,,
wigner,3.4125000000000005,-3.5,0.0015143602256505089,,,,
wigner,3.4416666666666664,-3.5,0.0014614706516569292,,,,
wigner,3.470833333333333,-3.5,0.0014047944999898486,,,,
wigner,3.5,-3.5,0.001344922606141816,,,,
wigner,-3.5,-3.470833333333333,1.6339210713420122e-48,,,,
wigner,-3.470833333333333,-3.470833333333333,4.0567018678058e-48,,,,
wigner,-3.441666666666667,-3.470833333333333,1.0031754745753811e-47,,,,
wigner,-3.4125,-3.470833333333333,2.4708280084850827e-47,,,,
wigner,-3.3833333333333333,-3.470833333333333,6.06135779859247e-47,,,,
wigner,-3.3541666666666665,-3.470833333333333,1.4810138561261962e-46,,,,
wigner,-3.325,-3.470833333333333,3.6042102557247376e-46,,,,
wigner,-3.2958333333333334,-3.470833333333333,8.736206883418162e-46,,,,
wigner,-3.2666666666666666,-3.470833333333333,2.1091015828560296e-45,,,,
wigner,-3.2375,-3.470833333333333,5.071470233133854e-45,,,,
wigner,-3.2083333333333335,-3.470833333333333,1.2145965954785672e-44,,,,
wigner,-3.1791666666666667,-3.470833333333333,2.8972904423068196e-44,,,,
wigner,-3.15,-3.470833333333333,6.883571116613991e-44,,,,
wigner,-3.1208333333333336,-3.470833333333333,1.6289110487127566e-43,,,,
wigner,-3.091666666666667,-3.470833333333333,3.839217620034826e-43,,,,
wigner,-3.0625,-3.470833333333333,9.012595646895805e-43,,,,
wigner,-3.033333333333333,-3.470833333333333,2.107263471621259e-42,,,,
wigner,-3.0041666666666664,-3.470833333333333,4.907378848667835e-42,,,,
wigner,-2.975,-3.470833333333333,1.1382617184652792e-41,,,,
wigner,-2.9458333333333333,-3.470833333333333,2.629641040053356e-41,,,,
wigner,-2.9166666666666665,-3.470833333333333,6.050797287904732e-41,,,,
wigner,-2.8875,-3.470833333333333,1.3867256020654041e-40,,,,
wigner,-2.8583333333333334,-3.470833333333333,3.1654121089233965e-40,,,,
wigner,-2.8291666666666666,-3.470833333333333,7.1966731795768584e-40,,,,
wigner,-2.8,-3.470833333333333,1.6296528388108684e-39,,,,
wigner,-2.7708333333333335,-3.470833333333333,3.67553201504074e-39,,,,
wigner,-2.7416666666666667,-3.470833333333333,8.256711650303487e-39,,,,
wigner,-2.7125,-3.470833333333333,1.8473782304017956e-38,,,,
wigner,-2.6833333333333336,-3.470833333333333,4.1168621076666894e-38,,,,
wigner,-2.654166666666667,-3.470833333333333,9.137736187309074e-38,,,,
wigner,-2.625,-3.470833333333333,2.0200992428848523e-37,,,,
wigner,-2.595833333333333,-3.470833333333333,4.448039054877648e-37,,,,
wigner,-2.5666666666666664,-3.470833333333333,9.754977529013117e-37,,,,
wigner,-2.5375,-3.470833333333333,2.1308150247606815e-36,,,,
wigner,-2.5083333333333333,-3.470833333333333,4.6358248919879754e-36,,,,
wigner,-2.479166666666667,-3.470833333333333,1.0045466075706203e-35,,,,
wigner,-2.45,-3.470833333333333,2.1680782626861495e-35,,,,
wigner,-2.4208333333333334,-3.470833333333333,4.6605976796436586e-35,,,,
wigner,-2.3916666666666666,-3.470833333333333,9.978610469959308e-35,,,,
wigner,-2.3625,-3.470833333333333,2.1279446151010756e-34,,,,
wigner,-2.333333333333333,-3.470833333333333,4.5197286960944325e-34,,,,
wigner,-2.3041666666666667,-3.470833333333333,9.561503935558035e-34,,,,
wigner,-2.275,-3.470833333333333,2.0146603786566833e-33,,,,
wigner,-2.2458333333333336,-3.470833333333333,4.228041859607868e-33,,,,
wigner,-2.216666666666667,-3.470833333333333,8.83768477313007e-33,,,,
wigner,-2.1875,-3.470833333333333,1.8399225026437963e-32,,,,
wigner,-2.158333333333333,-3.470833333333333,3.815244286209559e-32,,,,
wigner,-2.1291666666666664,-3.470833333333333,7.879650699011367e-32,,,,
wigner,-2.1,-3.470833333333333,1.6208893796077822e-31,,,,
wigner,-2.0708333333333333,-3.470833333333333,3.320944235502082e-31,,,,
wigner,-2.041666666666667,-3.470833333333333,6.776907924638209e-31,,,,
wigner,-2.0125,-3.470833333333333,1.3774104789498647e-30,,,,
wigner,-1.9833333333333334,-3.470833333333333,2.788412210205067e-30,,,,
wigner,-1.9541666666666666,-3.470833333333333,5.622278628489753e-30,,,,
wigner,-1.925,-3.470833333333333,1.1290925682376725e-29,,,,
wigner,-1.8958333333333333,-3.470833333333333,2.2584398523767972e-29,,,,
wigner,-1.8666666666666667,-3.470833333333333,4.499345093637524e-29,,,,
wigner,-1.8375,-3.470833333333333,8.927952588569444e-29,,,,
wigner,-1.8083333333333333,-3.470833333333333,1.7644779761124376e-28,,,,
wigner,-1.7791666666666666,-3.470833333333333,3.473300862483048e-28,,,,
wigner,-1.75,-3.470833333333333,6.809737356039018e-28,,,,
wigner,-1.7208333333333332,-3.470833333333333,1.3297809753300872e-27,,,,
wigner,-1.6916666666666667,-3.470833333333333,2.5863760161649124e-27,,,,
wigner,-1.6624999999999999,-3.470833333333333,5.0103147456519934e-27,,,,
wigner,-1.6333333333333333,-3.470833333333333,9.667187655894064e-27,,,,
wigner,-1.6041666666666667,-3.470833333333333,1.8577919844519534e-26,,,,
wigner,-1.575,-3.470833333333333,3.555951394456936e-26,,,,
wigner,-1.5458333333333334,-3.470833333333333,6.779167161768188e-26,,,,
wigner,-1.5166666666666666,-3.470833333333333,1.287237447239718e-25,,,,
wigner,-1.4874999999999998,-3.470833333333333,2.4344607864482198e-25,,,,
wigner,-1.4583333333333335,-3.470833333333333,4.5857322856056125e-25,,,,
wigner,-1.4291666666666667,-3.470833333333333,8.60352462925644e-25,,,,
wigner,-1.4,-3.470833333333333,1.6077033291847131e-24,,,,
wigner,-1.3708333333333331,-3.470833333333333,2.9922454238095774e-24,,,,
wigner,-1.3416666666666668,-3.470833333333333,5.546899629224662e-24,,,,
wigner,-1.3125,-3.470833333333333,1.024153842972012e-23,,,,
wigner,-1.2833333333333332,-3.470833333333333,1.8833970510404263e-23,,,,
wigner,-1.2541666666666664,-3.470833333333333,3.4496923752238404e-23,,,,
wigner,-1.225,-3.470833333333333,6.293332055612328e-23,,,,
wigner,-1.1958333333333333,-3.470833333333333,1.143517251566793e-22,,,,
wigner,-1.1666666666666665,-3.470833333333333,2.0695055259606275e-22,,,,
wigner,-1.1375000000000002,-3.470833333333333,3.730372968475884e-22,,,,
wigner,-1.1083333333333334,-3.470833333333333,6.697299426262917e-22,,,,
wigner,-1.0791666666666666,-3.470833333333333,1.1975922371411357e-21,,,,
wigner,-1.0499999999999998,-3.470833333333333,2.1329468029323643e-21,,,,
wigner,-1.0208333333333335,-3.470833333333333,3.783666687612927e-21,,,,
wigner,-0.9916666666666667,-3.470833333333333,6.685093938218846e-21,,,,
wigner,-0.9624999999999999,-3.470833333333333,1.1764242084144189e-20,,,,
wigner,-0.9333333333333331,-3.470833333333333,2.0619692620340392e-20,,,,
wigner,-0.9041666666666668,-3.470833333333333,3.5996660878056016e-20,,,,
wigner,-0.875,-3.470833333333333,6.258986889962705e-20,,,,
wigner,-0.8458333333333332,-3.470833333333333,1.0839460391026577e-19,,,,
wigner,-0.8166666666666664,-3.470833333333333,1.869704955793176e-19,,,,
wigner,-0.7875000000000001,-3.470833333333333,3.2121830876643544e-19,,,,
wigner,-0.7583333333333333,-3.470833333333333,5.49653880991131e-19,,,,
wigner,-0.7291666666666665,-3.470833333333333,9.367853750056847e-19,,,,
wigner,-0.7000000000000002,-3.470833333333333,1.5902034843425879e-18,,,,
wigner,-0.6708333333333334,-3.470833333333333,2.688605576395971e-18,,,,
wigner,-0.6416666666666666,-3.470833333333333,4.527550311106233e-18,,,,
wigner,-0.6124999999999998,-3.470833333333333,7.593836993391889e-18,,,,
wigner,-0.5833333333333335,-3.470833333333333,1.2685893221705493e-17,,,,
wigner,-0.5541666666666667,-3.470833333333333,2.1107783365399103e-17,,,,
wigner,-0.5249999999999999,-3.470833333333333,3.4980499005456993e-17,,,,
wigner,-0.4958333333333331,-3.470833333333333,5.773925398801055e-17,,,,
wigner,-0.4666666666666668,-3.470833333333333,9.49244592400656e-17,,,,
wigner,-0.4375,-3.470833333333333,1.5543431040644432e-16,,,,
wigner,-0.4083333333333332,-3.470833333333333,2.5349969744601744e-16,,,,
wigner,-0.37916666666666643,-3.470833333333333,4.117843105633948e-16,,,,
wigner,-0.3500000000000001,-3.470833333333333,6.662296262845476e-16,,,,
wigner,-0.3208333333333333,-3.470833333333333,1.0735935226031843e-15,,,,
wigner,-0.2916666666666665,-3.470833333333333,1.723128317064153e-15,,,,
wigner,-0.26249999999999973,-3.470833333333333,2.754591176169746e-15,,,,
wigner,-0.2333333333333334,-3.470833333333333,4.385897522210404e-15,,,,
wigner,-0.2041666666666666,-3.470833333333333,6.955391875225295e-15,,,,
wigner,-0.17499999999999982,-3.470833333333333,1.0986175259722688e-14,,,,
wigner,-0.14583333333333348,-3.470833333333333,1.7283561437370388e-14,,,,
wigner,-0.1166666666666667,-3.470833333333333,2.7082063256527915e-14,,,,
wigner,-0.08749999999999991,-3.470833333333333,4.226608811777385e-14,,,,
wigner,-0.058333333333333126,-3.470833333333333,6.569981636754106e-14,,,,
wigner,-0.029166666666666785,-3.470833333333333,1.0171805631544475e-13,,,,
wigner,0.0,-3.470833333333333,1.568533308522334e-13,,,,
wigner,0.029166666666666785,-3.470833333333333,2.409080065048536e-13,,,,
wigner,0.05833333333333357,-3.470833333333333,3.6852802335754935e-13,,,,
wigner,0.08749999999999991,-3.470833333333333,5.615023746173101e-13,,,,
wigner,0.1166666666666667,-3.470833333333333,8.521076656989992e-13,,,,
wigner,0.14583333333333348,-3.470833333333333,1.2879504137249107e-12,,,,
wigner,0.17500000000000027,-3.470833333333333,1.9389455316642793e-12,,,,
wigner,0.2041666666666666,-3.470833333333333,2.907326929166854e-12,,,,
wigner,0.2333333333333334,-3.470833333333333,4.3419411055634744e-12,,,,
wigner,0.2625000000000002,-3.470833333333333,6.4585612312476695e-12,,,,
wigner,0.2916666666666665,-3.470833333333333,9.568622691134949e-12,,,,
wigner,0.3208333333333333,-3.470833333333333,1.411968064249775e-11,,,,
wigner,0.3500000000000001,-3.470833333333333,2.0752102971752895e-11,,,,
wigner,0.3791666666666669,-3.470833333333333,3.03781378840943e-11,,,,
wigner,0.4083333333333332,-3.470833333333333,4.429166228841122e-11,,,,
wigner,0.4375,-3.470833333333333,6.431978830286598e-11,,,,
wigner,0.4666666666666668,-3.470833333333333,9.303128685594392e-11,,,,
wigner,0.49583333333333357,-3.470833333333333,1.3402173812817642e-10,,,,
wigner,0.5250000000000004,-3.470833333333333,1.9230176007274483e-10,,,,
wigner,0.5541666666666671,-3.470833333333333,2.748229948613107e-10,,,,
wigner,0.583333333333333,-3.470833333333333,3.91187232897363e-10,,,,
wigner,0.6124999999999998,-3.470833333333333,5.545977104080785e-10,,,,
wigner,0.6416666666666666,-3.470833333333333,7.831289301201855e-10,,,,
wigner,0.6708333333333334,-3.470833333333333,1.1014131541841455e-09,,,,
wigner,0.7000000000000002,-3.470833333333333,1.5428689735714714e-09,,,,
wigner,0.729166666666667,-3.470833333333333,2.1526311867691537e-09,,,,
wigner,0.7583333333333337,-3.470833333333333,2.9913828936323526e-09,,,,
wigner,0.7874999999999996,-3.470833333333333,4.140341648165887e-09,,,,
wigner,0.8166666666666664,-3.470833333333333,5.707713273702249e-09,,,,
wigner,0.8458333333333332,-3.470833333333333,7.837001192746747e-09,,,,
wigner,0.875,-3.470833333333333,1.0717647596674802e-08,,,,
wigner,0.9041666666666668,-3.470833333333333,1.4598587216809067e-08,,,,
wigner,0.9333333333333336,-3.470833333333333,1.9805416513662903e-08,,,,
wigner,0.9625000000000004,-3.470833333333333,2.676202222977314e-08,,,,
wigner,0.9916666666666671,-3.470833333333333,3.601767455701287e-08,,,,
wigner,1.020833333333333,-3.470833333333333,4.828077221789732e-08,,,,
wigner,1.0499999999999998,-3.470833333333333,6.446062935729659e-08,,,,
wigner,1.0791666666666666,-3.470833333333333,8.571891606755408e-08,,,,
wigner,1.1083333333333334,-3.470833333333333,1.1353260308540144e-07,,,,
wigner,1.1375000000000002,-3.470833333333333,1.4977051251035818e-07,,,,
wigner,1.166666666666667,-3.470833333333333,1.9678583410520335e-07,,,,
wigner,1.1958333333333337,-3.470833333333333,2.575272222898516e-07,,,,
