EJ_over_EC,offset_charge,level,energy_GHz,EC_GHz,EJ_GHz
2.0,-0.575,0,0.0,1.25,2.5
2.0,-0.575,1,2.5791131043795503,1.25,2.5
2.0,-0.575,2,10.411173792063046,1.25,2.5
2.0,-0.5625,0,0.0,1.25,2.5
2.0,-0.5625,1,2.5438077055563633,1.25,2.5
2.0,-0.5625,2,10.57887733455749,1.25,2.5
2.0,-0.55,0,0.0,1.25,2.5
2.0,-0.55,1,2.514554800496203,1.25,2.5
2.0,-0.55,2,10.74970626446737,1.25,2.5
2.0,-0.5375,0,0.0,1.25,2.5
2.0,-0.5375,1,2.4915663836513593,1.25,2.5
2.0,-0.5375,2,10.923746476153422,1.25,2.5
2.0,-0.5249999999999999,0,0.0,1.25,2.5
2.0,-0.5249999999999999,1,2.4750160598909274,1.25,2.5
2.0,-0.5249999999999999,2,11.101032321963714,1.25,2.5
2.0,-0.5125,0,0.0,1.25,2.5
2.0,-0.5125,1,2.4650328111200714,1.25,2.5
2.0,-0.5125,2,11.281380880229332,1.25,2.5
2.0,-0.5,0,0.0,1.25,2.5
2.0,-0.5,1,2.461696111883074,1.25,2.5
2.0,-0.5,2,11.447485096001836,1.25,2.5
2.0,-0.48749999999999993,0,0.0,1.25,2.5
2.0,-0.48749999999999993,1,2.4650328111200697,1.25,2.5
2.0,-0.48749999999999993,2,11.281380880229326,1.25,2.5
2.0,-0.475,0,0.0,1.25,2.5
2.0,-0.475,1,2.475016059890928,1.25,2.5
2.0,-0.475,2,11.101032321963716,1.25,2.5
2.0,-0.4625,0,0.0,1.25,2.5
2.0,-0.4625,1,2.4915663836513584,1.25,2.5
2.0,-0.4625,2,10.923746476153422,1.25,2.5
2.0,-0.44999999999999996,0,0.0,1.25,2.5
2.0,-0.44999999999999996,1,2.514554800496203,1.25,2.5
2.0,-0.44999999999999996,2,10.74970626446737,1.25,2.5
2.0,-0.4375,0,0.0,1.25,2.5
2.0,-0.4375,1,2.5438077055563624,1.25,2.5
2.0,-0.4375,2,10.578877334557491,1.25,2.5
2.0,-0.42499999999999993,0,0.0,1.25,2.5
2.0,-0.42499999999999993,1,2.5791131043795503,1.25,2.5
2.0,-0.42499999999999993,2,10.411173792063044,1.25,2.5
2.0,-0.4125,0,0.0,1.25,2.5
2.0,-0.4125,1,2.620227702085863,1.25,2.5
2.0,-0.4125,2,10.246485142433583,1.25,2.5
2.0,-0.3999999999999999,0,0.0,1.25,2.5
2.0,-0.3999999999999999,1,2.666884344288197,1.25,2.5
2.0,-0.3999999999999999,2,10.084685902669229,1.25,2.5
