time,mean_photon_number,analytic_mean_photon_number,absolute_error,trace,hermiticity_error,minimum_density_eigenvalue
0.0,2.9999999999999996,3.0,4.440892098500626e-16,1.0,0.0,0.0
0.05,2.9435662189242446,2.9435662189242526,7.993605777301127e-15,0.9999999999999998,0.0,1.8195993026734623e-28
0.1,2.8882499015841097,2.888249901584121,1.1546319456101628e-14,0.9999999999999999,0.0,6.23277387985553e-25
0.15000000000000002,2.834028920715093,2.834028920715109,1.5987211554602254e-14,1.0,0.0,6.428885576235756e-23
0.2,2.780881587201909,2.780881587201912,3.1086244689504383e-15,0.9999999999999999,0.0,1.615205250531585e-21
0.25,2.728786641402469,2.728786641402485,1.5987211554602254e-14,1.0,0.0,1.8737278839155762e-20
0.30000000000000004,2.6777232446439,2.6777232446438988,1.3322676295501878e-15,1.0,0.0,1.3338242702479787e-19
0.35000000000000003,2.6276709708865575,2.6276709708865966,3.907985046680551e-14,1.0000000000000002,0.0,6.781235445484634e-19
0.4,2.5786097985536514,2.5786097985537024,5.10702591327572e-14,1.0,0.0,2.695711159797978e-18
0.45,2.5305201025220745,2.530520102522125,5.062616992290714e-14,1.0,0.0,8.883250415934264e-18
0.5,2.483382646272185,2.4833826462722484,6.350475700855895e-14,1.0,0.0,2.5253919730451523e-17
0.55,2.4371785741929717,2.4371785741930636,9.192646643896296e-14,1.0,0.0,6.372336716129757e-17
0.6000000000000001,2.391889404039581,2.391889404039677,9.636735853746359e-14,1.0000000000000002,0.0,1.4574788723313746e-16
0.65,2.347497019540164,2.347497019540164,0.0,1.0000000000000002,0.0,3.070183400161607e-16
0.7000000000000001,2.303983663148788,2.3039836631488178,2.9753977059954195e-14,1.0000000000000002,0.0,6.030684020765126e-16
0.75,2.261331928942714,2.261331928942896,1.8207657603852567e-13,0.9999999999999997,0.0,1.1155101802827382e-15
0.8,2.2195247556600393,2.219524755660019,2.042810365310288e-14,1.0000000000000002,0.0,1.958492328670826e-15
0.8500000000000001,2.1785454198732297,2.1785454198734375,2.078337502098293e-13,1.0000000000000002,0.0,3.284897376231902e-15
0.9,2.1383775293024656,2.1383775293024385,2.708944180085382e-14,1.0,0.0,5.291756933091156e-15
0.9500000000000001,2.0990050162549134,2.099005016255214,3.006483950684924e-13,1.0,0.0,8.224401225835739e-15
1.0,2.06041213120158,2.060412131201572,7.993605777301127e-15,0.9999999999999999,0.0,1.237890430982605e-14
1.05,2.022583436472667,2.0225834364729116,2.446931546273845e-13,1.0000000000000002,0.0,1.8102511885265283e-14
1.1,1.9855038000866159,1.9855038000869527,3.368416656712725e-13,1.0000000000000002,0.0,2.5791846346668486e-14
1.1500000000000001,1.9491583896947515,1.9491583896947389,1.2656542480726785e-14,1.0000000000000004,0.0,3.588883209940196e-14
1.2000000000000002,1.913532666647396,1.9135326666475014,1.0547118733938987e-13,0.9999999999999999,0.0,4.887441420418217e-14
1.25,1.878612380180441,1.8786123801810053,5.642153411145046e-13,1.0,0.0,6.52602713422755e-14
1.3,1.8443835617145836,1.844383561715054,4.702904732312163e-13,1.0000000000000002,0.0,8.55788219564996e-14
1.35,1.8108325192657415,1.8108325192658705,1.290079154614432e-13,0.9999999999999997,0.0,1.1037189915241192e-13
