artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1,14,0.6345591536762674
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.10250000000000001,13,0.6167399530235154
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.105,13,0.6167399530235154
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1075,13,0.6167399530235154
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.11,12,0.5974937501201928
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1125,12,0.5974937501201928
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.115,11,0.5765719364395496
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.11750000000000001,11,0.5765719364395496
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.12,9,0.5283208335737188
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1225,9,0.5283208335737188
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.125,7,0.46789248700960073
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1275,7,0.46789248700960073
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.13,7,0.46789248700960073
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1325,7,0.46789248700960073
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.135,7,0.46789248700960073
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1375,7,0.46789248700960073
