ensemble,output_pair,overlap,time,otoc
integrable_Poisson,1-2,0,0.05,9.932098533489182e-12
integrable_Poisson,1-2,0,0.09647058823529411,1.3738870987244267e-10
integrable_Poisson,1-2,0,0.14294117647058824,6.602560233802422e-10
integrable_Poisson,1-2,0,0.18941176470588234,2.0273422760943546e-09
integrable_Poisson,1-2,0,0.2358823529411765,4.8507264617485426e-09
integrable_Poisson,1-2,0,0.2823529411764706,9.895445028443417e-09
integrable_Poisson,1-2,0,0.3288235294117647,1.8066804163274322e-08
integrable_Poisson,1-2,0,0.37529411764705883,3.039566701853868e-08
integrable_Poisson,1-2,0,0.42176470588235293,4.802211491284184e-08
integrable_Poisson,1-2,0,0.468235294117647,7.217791740491865e-08
integrable_Poisson,1-2,0,0.5147058823529412,1.0416826729313015e-07
integrable_Poisson,1-2,0,0.5611764705882354,1.4535324275376982e-07
integrable_Poisson,1-2,0,0.6076470588235294,1.971294503030949e-07
integrable_Poisson,1-2,0,0.6541176470588236,2.609122799038056e-07
integrable_Poisson,1-2,0,0.7005882352941177,3.381191686643988e-07
integrable_Poisson,1-2,0,0.7470588235294118,4.3015422391462685e-07
integrable_Poisson,1-2,0,0.7935294117647059,5.38394501985714e-07
integrable_Poisson,1-2,0,0.8400000000000001,6.641781779691748e-07
integrable_Poisson,1-2,0,0.8864705882352941,8.087947763474546e-07
integrable_Poisson,1-2,0,0.9329411764705883,9.734775649508995e-07
integrable_Poisson,1-2,0,0.9794117647058824,1.159398147379693e-06
integrable_Poisson,1-2,0,1.0258823529411765,1.367663223864712e-06
integrable_Poisson,1-2,0,1.0723529411764707,1.5993134293544371e-06
integrable_Poisson,1-2,0,1.1188235294117648,1.8553241019952221e-06
integrable_Poisson,1-2,0,1.1652941176470588,2.1366077864510337e-06
integrable_Poisson,1-2,0,1.211764705882353,2.4440182357490304e-06
integrable_Poisson,1-2,0,1.2582352941176471,2.7783556433333275e-06
integrable_Poisson,1-2,0,1.3047058823529412,3.140372814289113e-06
integrable_Poisson,1-2,0,1.3511764705882354,3.5307819715344465e-06
integrable_Poisson,1-2,0,1.3976470588235295,3.95026188919178e-06
integrable_Poisson,1-2,0,1.4441176470588235,4.399465051131087e-06
integrable_Poisson,1-2,0,1.4905882352941178,4.879024547382116e-06
integrable_Poisson,1-2,0,1.5370588235294118,5.389560444088761e-06
integrable_Poisson,1-2,0,1.5835294117647059,5.931685393067193e-06
integrable_Poisson,1-2,0,1.6300000000000001,6.5060092837874865e-06
integrable_Poisson,1-2,0,1.6764705882352942,7.113142782518186e-06
integrable_Poisson,1-2,0,1.7229411764705882,7.753699649104426e-06
integrable_Poisson,1-2,0,1.7694117647058825,8.428297769935506e-06
integrable_Poisson,1-2,0,1.8158823529411765,9.137558894565482e-06
integrable_Poisson,1-2,0,1.8623529411764705,9.882107111620124e-06
integrable_Poisson,1-2,0,1.9088235294117648,1.0662566145511682e-05
