radius_pho,spin_up,spin_down
0.0,0.5,0.5
0.01,0.5000499950001667,0.5000499950001667
0.02,0.5001999200106662,0.5001999200106662
0.03,0.5004495951214863,0.5004495951214863
0.04,0.5007987206825302,0.5007987206825302
0.05,0.5012468776033524,0.5012468776033524
0.06,0.5017935277724982,0.5017935277724982
0.07,0.5024380145961449,0.5024380145961449
0.08,0.5031795636556695,0.5031795636556695
0.09,0.5040172834836749,0.5040172834836749
0.1,0.5049501664579196,0.5049501664579196
0.11,0.5059770898125137,0.5059770898125137
0.12,0.5070968167656495,0.5070968167656495
0.13,0.508307997763048,0.508307997763048
0.14,0.5096091718362105,0.5096091718362105
0.15,0.5109987680744755,0.5109987680744755
0.16,0.5124751072097814,0.5124751072097814
0.17,0.5140364033129441,0.5140364033129441
0.18,0.5156807656001632,0.5156807656001632
0.19,0.5174062003483677,0.5174062003483677
0.2,0.5192106129179154,0.5192106129179154
0.21,0.5210918098810591,0.5210918098810591
0.22,0.5230475012544861,0.5230475012544861
0.23,0.5250753028341397,0.5250753028341397
0.24,0.5271727386304165,0.5271727386304165
0.25,0.5293372434017339,0.5293372434017339
0.26,0.5315661652843499,0.5315661652843499
0.27,0.5338567685162078,0.5338567685162078
0.28,0.5362062362524671,0.5362062362524671
0.29,0.5386116734702727,0.5386116734702727
0.3,0.5410701099601989,0.5410701099601989
0.31,0.543578503401692,0.543578503401692
0.32,0.5461337425197249,0.5461337425197249
0.33,0.5487326503197605,0.5487326503197605
0.34,0.5513719873980062,0.5513719873980062
0.35000000000000003,0.5540484553238331,0.5540484553238331
0.36,0.5567587000911167,0.5567587000911167
0.37,0.5594993156351457,0.5594993156351457
0.38,0.5622668474116341,0.5622668474116341
0.39,0.5650577960342651,0.5650577960342651
0.4,0.5678686209670832,0.5678686209670832
0.41000000000000003,0.5706957442679508,0.5706957442679508
0.42,0.5735355543791776,0.5735355543791776
0.43,0.5763844099613359,0.5763844099613359
0.44,0.5792386437661714,0.5792386437661714
0.45,0.5820945665444326,0.5820945665444326
0.46,0.5849484709843445,0.5849484709843445
0.47000000000000003,0.587796635676372,0.587796635676372
0.48,0.590635329099834,0.590635329099834
0.49,0.5934608136268512,0.5934608136268512
0.5,0.5962693495390443,0.5962693495390443
0.51,0.5990571990523242,0.5990571990523242
0.52,0.6018206303450663,0.6018206303450663
0.53,0.6045559215848946,0.6045559215848946
0.54,0.6072593649492655,0.6072593649492655
0.55,0.6099272706349891,0.6099272706349891
0.56,0.6125559708517989,0.6125559708517989
0.5700000000000001,0.615141823795051,0.615141823795051
0.58,0.6176812175926142,0.6176812175926142
0.59,0.6201705742210011,0.6201705742210011
0.6,0.6226063533857881,0.6226063533857881
0.61,0.6249850563613734,0.6249850563613734
0.62,0.6273032297851384,0.6273032297851384
0.63,0.6295574694010986,0.6295574694010986
0.64,0.631744423748157,0.631744423748157
0.65,0.633860797788118,0.633860797788118
0.66,0.6359033564686618,0.6359033564686618
0.67,0.6378689282165408,0.6378689282165408
0.68,0.639754408356321,0.639754408356321
0.6900000000000001,0.641556762450073,0.641556762450073
0.7000000000000001,0.6432730295534914,0.6432730295534914
0.71,0.6449003253840264,0.6449003253840264
0.72,0.6464358453967025,0.6464358453967025
0.73,0.6478768677634175,0.6478768677634175
